Území,Ukazatel,Vybrané průmyslové výrobky,Roky,value
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",1993,252023.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",1994,231093.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",1995,223257.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",1996,235785.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",1997,245153.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",1998,233920.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",1999,236290.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2000,181512.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2001,192664.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2002,219943.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2003,227789.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2004,301585.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2005,284456.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2006,312355.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2007,253187.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2008,238377.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2009,227667.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2010,234859.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2011,224352.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2012,209238.2882
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2013,198493.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2014,212196.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2015,200345.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2016,229017.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2017,232307.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2018,229728.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2019,218792.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2020,227043.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2021,231223.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2022,232436.0
Česko,Produkce průmyslových výrobků,"Vepřové maso,čerstvé nebo chlazené (t)",2023,241274.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),1993,85774.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),1994,102784.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),1995,106116.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),1996,108615.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),1997,122449.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),1998,130819.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),1999,134905.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2000,137230.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2001,129545.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2002,124590.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2003,131677.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2004,149899.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2005,169218.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2006,187842.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2007,213307.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2008,212661.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2009,238364.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2010,222927.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2011,190153.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2012,185790.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2013,179842.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2014,172214.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2015,181834.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2016,195775.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2017,198564.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2018,189243.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2019,191364.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2020,195496.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2021,193370.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2022,193505.0
Česko,Produkce průmyslových výrobků,Mléčné výrobky kysané (t),2023,191500.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),1993,365865.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),1994,361854.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),1995,361052.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),1996,376276.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),1997,366448.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),1998,358993.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),1999,344325.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2000,335784.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2001,336972.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2002,341633.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2003,345828.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2004,346551.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2005,349452.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2006,338016.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2007,312693.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2008,341281.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2009,306657.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2010,295550.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2011,298136.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2012,306161.0
Česko,Produkce průmyslových výrobků,Chléb čerstvý (t),2013,295967.0
