Území;Ukazatel;PRODCOM;Roky;value
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2022;33425.037
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2021;29413.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2020;29651.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2019;37602.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2018;39335.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2017;39434.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2016;38646.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2015;38225.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2014;38321.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2013;40524.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2012;43781.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2011;46796.299
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2010;43848.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2009;45259.244
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2008;47222.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2007;48938.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2006;48600.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2005;48305.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2004;48047.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2003;49792.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2002;48391.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2001;50461.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);2000;49854.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);1999;44278.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);1998;51004.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);1997;56699.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);1996;58846.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);1995;57163.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);1994;58656.0
Česko;Produkce průmyslových výrobků;Uhlí hnědé neaglomerované (kromě lignitu) (tis.t);1993;65119.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2022;6320.404
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2021;6932.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2020;6489.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2019;7082.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2018;7027.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2017;7216.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2016;6850.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2015;6865.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2014;6771.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2013;5908.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2012;6219.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2011;7393.621
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2010;6679.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2009;6085.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2008;6203.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2007;6230.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2006;5757.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2005;7021.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2004;6727.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2003;6460.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2002;6586.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2001;6897.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);2000;6790.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);1999;6610.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);1998;6886.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);1997;7170.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);1996;5233.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);1995;4959.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);1994;5272.0
Česko;Produkce průmyslových výrobků;Vápenec (tis. t);1993;5515.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2022;1108.44957
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2021;1127.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2020;1004.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2019;1258.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2018;1173.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2017;1072.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2016;1418.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2015;1175.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2014;1161.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2013;1063.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2012;1219.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2011;1362.608
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2010;1314.15
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2009;953.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2008;1287.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2007;1319.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2006;1237.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2005;1463.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2004;1352.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2003;1286.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2002;1125.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2001;1140.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);2000;1242.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);1999;1049.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);1998;1101.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);1997;822.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);1996;742.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);1995;758.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);1994;652.0
Česko;Produkce průmyslových výrobků;Kaolin a kaolinitické jíly (tis. t);1993;702.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2022;75568.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2021;78649.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2020;74497.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2019;77429.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2018;70577.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2017;65715.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2016;68736.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2015;57890.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2014;56617.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2013;55201.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2012;56812.0883
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2011;62004.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2010;61105.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2009;55276.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2008;57947.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2007;55359.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2006;66036.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2005;62884.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2004;69653.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2003;78680.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2002;75289.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2001;63585.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);2000;74687.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);1999;78191.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);1998;87177.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);1997;101341.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);1996;101128.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);1995;99685.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);1994;111302.0
Česko;Produkce průmyslových výrobků;Hovězí a telecí maso, čerstvé nebo chlazené (t);1993;135965.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2022;232354.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2021;231223.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2020;227043.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2019;218792.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2018;229728.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2017;232307.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2016;229017.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2015;200345.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2014;212196.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2013;198493.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2012;209238.2882
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2011;224352.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2010;234859.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2009;227667.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2008;238377.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2007;253187.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2006;312355.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2005;284456.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2004;301585.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2003;227789.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2002;219943.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2001;192664.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);2000;181512.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);1999;236290.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);1998;233920.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);1997;245153.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);1996;235785.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);1995;223257.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);1994;231093.0
Česko;Produkce průmyslových výrobků;Vepřové maso, čerstvé nebo chlazené (t);1993;252023.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2022;49607.072
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2021;50449.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2020;49738.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2019;51121.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2018;48298.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2017;45876.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2016;46614.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2015;47137.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2014;48035.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2013;45483.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2012;46711.7803255
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2011;47817.934
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2010;50470.585
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2009;53619.095
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2008;63874.951
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2007;87766.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2006;80958.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2005;84550.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2004;78121.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2003;74208.0
Česko;Produkce průmyslových výrobků;Drůbež nedělená, čerstvá nebo chlazená (t);2002;36267.0
