Území,Ukazatel,Očištění,Typ indexu,Typ tržeb,Vybraná průmyslová činnost,Čtvrtletí,value
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2025,100.4361576069
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2025,100.1082910946
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2024,100.4645427468
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2024,106.3740638172
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2024,100.7967021982
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2024,100.134139124
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2023,102.7218834547
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2023,95.5557248858
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2023,103.6825491968
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2023,111.8056999008
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2022,115.5302738719
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2022,124.0703105859
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2022,113.6027686209
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2022,111.2120118661
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2021,104.2301046782
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2021,103.4374559251
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2021,135.7621691427
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2021,105.5255918427
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2020,104.0096195078
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2020,97.3790263875
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2020,77.0139879933
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2020,97.6958300891
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2019,96.585931519
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2019,102.6366814265
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2019,102.7005515131
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2019,102.6801559809
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2018,106.5324173292
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2018,105.2591769829
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2018,102.2227702385
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2018,100.2162153784
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2017,105.6055113124
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2017,105.7300961277
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2017,106.4036534737
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2017,110.9752505133
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2016,103.4232629598
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2016,98.4568139958
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2016,102.6036728361
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2016,100.1027670685
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2015,100.0323648838
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2015,100.3507175961
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2015,103.765718157
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2015,103.8792635085
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2014,106.4872417259
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2014,108.7054241857
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2014,109.9116418369
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2014,110.7638274005
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2013,106.2529816094
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2013,105.8869951074
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2013,99.2533821787
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2013,95.1220894658
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2012,98.0947919367
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2012,101.313780526
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2012,101.3694159749
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2012,106.2077114804
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2011,104.4937502566
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2011,104.1714269044
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2011,108.9544161618
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2011,113.1387396395
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2010,111.9393818887
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2010,111.58330261
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2010,111.7353101265
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2010,102.6972512192
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2009,93.6296303213
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2009,83.0883523156
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2009,79.6804847477
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2009,80.8582945751
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2008,88.0021620691
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2008,102.3380619052
