Území;Ukazatel;Typ indexu;Typ zakázek;Očištění;Vybraná odvětví průmyslu;Úhrn 12 měsíců;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;březen 2025;103.0232173145
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;únor 2025;102.494463087
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;leden 2025;103.7461200788
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;prosinec 2024;103.9159087276
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;listopad 2024;103.4856821917
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;říjen 2024;103.5520357831
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;září 2024;103.4395898285
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;srpen 2024;102.1956664463
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červenec 2024;101.2676061597
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červen 2024;100.738910748
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;květen 2024;100.1170652864
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;duben 2024;99.3491129723
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;březen 2024;98.4666055576
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;únor 2024;98.6938566649
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;leden 2024;97.8342853943
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;prosinec 2023;98.7223603995
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;listopad 2023;99.4738213816
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;říjen 2023;100.2868362214
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;září 2023;101.5226200817
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;srpen 2023;103.9326272911
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červenec 2023;105.8196182582
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červen 2023;106.1474416163
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;květen 2023;108.0972448548
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;duben 2023;109.9642410798
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;březen 2023;110.0161438265
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;únor 2023;110.4319050665
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;leden 2023;110.9846364643
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;prosinec 2022;110.9634587942
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;listopad 2022;111.033462093
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;říjen 2022;111.1598056815
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;září 2022;109.2898844613
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;srpen 2022;107.4103423366
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červenec 2022;106.3154903715
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červen 2022;107.2572368149
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;květen 2022;107.6185779068
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;duben 2022;109.9504153027
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;březen 2022;114.6338699022
