Území,Ukazatel,Typ indexu,Typ zakázek,Vybraná odvětví průmyslu,Měsíce,value
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2025,94.4624952006
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2025,106.486700986
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2025,96.7725478356
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2025,105.5030762791
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2025,107.3921651923
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2025,100.8181004488
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2025,98.7353864369
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2025,98.8699253525
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2024,101.317536184
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2024,99.2632738293
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2024,102.8852377846
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2024,105.1467804033
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2024,110.989965016
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2024,98.3409322831
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2024,105.0055120019
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2024,101.9813837878
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2024,104.8595647492
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2024,105.6717809318
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2024,108.4540092184
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2024,98.5533918606
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2023,100.014744332
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2023,100.1210606888
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2023,97.0985993688
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2023,94.2449739343
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2023,96.1401824094
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2023,95.1841280763
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2023,95.1580451988
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2023,95.4366464653
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2023,102.932193187
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2023,100.8017549479
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2023,99.799550234
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2023,108.0088631236
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2022,108.9408105944
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2022,110.0319319705
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2022,118.0173230143
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2022,123.0413443182
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,srpen 2022,119.6710531762
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červenec 2022,104.0570839936
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,červen 2022,115.996945275
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,květen 2022,110.0822656765
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,duben 2022,103.9675253962
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,březen 2022,104.6558262428
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,únor 2022,107.7516765388
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,leden 2022,108.282130666
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,prosinec 2021,105.320735801
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,listopad 2021,109.0081959011
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,říjen 2021,98.6028020051
Česko,Nové průmyslové zakázky (běžné ceny),"Meziroční index, kalendářní očištění",Celkem,Průmysl,září 2021,99.0514778553
