Území;Ukazatel;Typ indexu;Typ zakázek;Vybraná odvětví průmyslu;Roky;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2024;103.4939059888
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2023;98.6898397331
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2022;111.0314194684
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2021;115.4191291992
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2020;93.1605155376
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2019;100.4128398243
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2018;103.0556800836
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2017;107.7703236626
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2016;104.4866414857
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2015;106.5796916919
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2014;112.3022346972
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2013;103.8131631508
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2012;102.6012890849
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2011;104.1681559619
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2010;115.3422304765
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2009;83.3451423939
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2008;97.029801805
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2007;111.0997344831
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2006;120.1496720304
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2005;105.6589985526
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2004;120.63394021
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2003;103.4691839175
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2002;106.4285346505
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2001;136.7657701865
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2024;98.2862042204
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2023;92.2279895856
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2022;114.1798993261
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2021;111.172712358
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2020;94.8096896519
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2019;99.4246603751
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2018;95.1839388046
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2017;104.5114226487
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2016;100.7871617486
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2015;104.1920613045
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2014;108.1954450196
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2013;102.0101357506
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2012;103.4739827733
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2011;107.7405784735
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2010;104.3867322011
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2009;88.6757917306
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2008;85.7552975546
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2007;107.5459522346
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2006;105.5234372422
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2005;92.1244425758
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2004;102.3179649466
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2003;98.0635738576
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2002;94.7123286153
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2001;169.5921737857
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2024;102.1638847249
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2023;100.9878339593
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2022;116.5570323475
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2021;102.1185554263
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2020;96.2481932346
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2019;109.3027393831
