Území,Druh nemovitosti,Ukazatel,Tříleté období,value
Česko,Rodinné domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2006-2008,2091.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2007-2009,2317.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2008-2010,2489.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2009-2011,2559.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2010-2012,2578.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2011-2013,2571.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2012-2014,2531.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2013-2015,2503.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2014-2016,2482.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2015-2017,2494.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2016-2018,2534.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2017-2019,2645.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2006-2008,1703.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2007-2009,1921.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2008-2010,2111.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2009-2011,2250.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2010-2012,2301.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2011-2013,2321.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2012-2014,2250.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2013-2015,2127.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2014-2016,1911.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2015-2017,1881.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2016-2018,1846.0
Česko,Rodinné domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2017-2019,1863.0
Česko,Rodinné domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2006-2008,58.1
Česko,Rodinné domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2007-2009,56.1
Česko,Rodinné domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2008-2010,53.6
Česko,Rodinné domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2009-2011,51.9
Česko,Rodinné domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2010-2012,52.1
Česko,Rodinné domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2011-2013,52.9
Česko,Rodinné domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2012-2014,50.6
Česko,Rodinné domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2013-2015,44.5
Česko,Rodinné domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2014-2016,32.3
