"Kraje, SO ORP",Ekonomické subjekty ,Ukazatel,Čtvrtletí,value
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,3. čtvrtletí 2025,687339
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,2. čtvrtletí 2025,682141
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,1. čtvrtletí 2025,677479
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,4. čtvrtletí 2024,672224
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,3. čtvrtletí 2024,667456
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,2. čtvrtletí 2024,662642
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,1. čtvrtletí 2024,660279
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,4. čtvrtletí 2023,655855
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,3. čtvrtletí 2023,652281
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,2. čtvrtletí 2023,649952
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,1. čtvrtletí 2023,655170
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,4. čtvrtletí 2022,670392
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,3. čtvrtletí 2022,668865
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,2. čtvrtletí 2022,665192
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,1. čtvrtletí 2022,661357
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,4. čtvrtletí 2021,658390
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,3. čtvrtletí 2021,653692
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,2. čtvrtletí 2021,650849
Hlavní město Praha,Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,1. čtvrtletí 2021,647469
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,3. čtvrtletí 2025,375367
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,2. čtvrtletí 2025,372558
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,1. čtvrtletí 2025,370271
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,4. čtvrtletí 2024,367010
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,3. čtvrtletí 2024,364067
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,2. čtvrtletí 2024,360821
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,1. čtvrtletí 2024,360009
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,4. čtvrtletí 2023,357905
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,3. čtvrtletí 2023,356259
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,2. čtvrtletí 2023,355154
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,1. čtvrtletí 2023,361766
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,4. čtvrtletí 2022,378661
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,3. čtvrtletí 2022,378586
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,2. čtvrtletí 2022,376221
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,1. čtvrtletí 2022,373999
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,4. čtvrtletí 2021,372569
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,3. čtvrtletí 2021,369570
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,2. čtvrtletí 2021,367763
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzické osoby celkem,1. čtvrtletí 2021,366207
