ČR, kraje, okresy;Ukazatel;Odvětví ekonomické činnosti CZ-NACE;Roky;value
Česko;Počet ekonomických subjektů celkem;Celkem;2024;2836017.0
Česko;Počet ekonomických subjektů celkem;Celkem;2023;2800294.0
Česko;Počet ekonomických subjektů celkem;Celkem;2022;2996841.0
Česko;Počet ekonomických subjektů celkem;Celkem;2021;2976264.0
Česko;Počet ekonomických subjektů celkem;Celkem;2020;2932963.0
Česko;Počet ekonomických subjektů celkem;Celkem;2019;2892452.0
Česko;Počet ekonomických subjektů celkem;Celkem;2018;2889422.0
Česko;Počet ekonomických subjektů celkem;Celkem;2017;2848672.0
Česko;Počet ekonomických subjektů celkem;Celkem;2016;2807532.0
Česko;Počet ekonomických subjektů celkem;Celkem;2015;2768953.0
Česko;Počet ekonomických subjektů celkem;Celkem;2014;2733459.0
Česko;Počet ekonomických subjektů celkem;Celkem;2013;2694737.0
Česko;Počet ekonomických subjektů celkem;A Zemědělství, lesnictví, rybářství;2024;138074.0
Česko;Počet ekonomických subjektů celkem;A Zemědělství, lesnictví, rybářství;2023;137404.0
Česko;Počet ekonomických subjektů celkem;A Zemědělství, lesnictví, rybářství;2022;145062.0
Česko;Počet ekonomických subjektů celkem;A Zemědělství, lesnictví, rybářství;2021;141397.0
Česko;Počet ekonomických subjektů celkem;A Zemědělství, lesnictví, rybářství;2020;137788.0
Česko;Počet ekonomických subjektů celkem;A Zemědělství, lesnictví, rybářství;2019;134695.0
Česko;Počet ekonomických subjektů celkem;A Zemědělství, lesnictví, rybářství;2018;132268.0
Česko;Počet ekonomických subjektů celkem;A Zemědělství, lesnictví, rybářství;2017;128513.0
Česko;Počet ekonomických subjektů celkem;A Zemědělství, lesnictví, rybářství;2016;123678.0
Česko;Počet ekonomických subjektů celkem;A Zemědělství, lesnictví, rybářství;2015;118985.0
Česko;Počet ekonomických subjektů celkem;A Zemědělství, lesnictví, rybářství;2014;109286.0
Česko;Počet ekonomických subjektů celkem;A Zemědělství, lesnictví, rybářství;2013;105911.0
Česko;Počet ekonomických subjektů celkem;B-E Průmysl celkem;2024;344807.0
Česko;Počet ekonomických subjektů celkem;B-E Průmysl celkem;2023;340501.0
Česko;Počet ekonomických subjektů celkem;B-E Průmysl celkem;2022;369573.0
Česko;Počet ekonomických subjektů celkem;B-E Průmysl celkem;2021;363286.0
Česko;Počet ekonomických subjektů celkem;B-E Průmysl celkem;2020;355473.0
Česko;Počet ekonomických subjektů celkem;B-E Průmysl celkem;2019;350062.0
Česko;Počet ekonomických subjektů celkem;B-E Průmysl celkem;2018;343955.0
Česko;Počet ekonomických subjektů celkem;B-E Průmysl celkem;2017;337971.0
Česko;Počet ekonomických subjektů celkem;B-E Průmysl celkem;2016;330232.0
Česko;Počet ekonomických subjektů celkem;B-E Průmysl celkem;2015;325855.0
Česko;Počet ekonomických subjektů celkem;B-E Průmysl celkem;2014;323802.0
Česko;Počet ekonomických subjektů celkem;B-E Průmysl celkem;2013;319284.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2024;325420.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2023;320113.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2022;351930.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2021;345959.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2020;340410.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2019;335443.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2018;330521.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2017;326278.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2016;320543.0
