Kraje, SO ORP;Ukazatel;Počet zaměstnanců;Čtvrtletí;value
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;1. čtvrtletí 2025;677479
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;4. čtvrtletí 2024;672224
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;3. čtvrtletí 2024;667456
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2. čtvrtletí 2024;662642
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;1. čtvrtletí 2024;660279
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;4. čtvrtletí 2023;655855
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;3. čtvrtletí 2023;652281
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2. čtvrtletí 2023;649952
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;1. čtvrtletí 2023;655170
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;4. čtvrtletí 2022;670392
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;3. čtvrtletí 2022;668865
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2. čtvrtletí 2022;665192
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;1. čtvrtletí 2022;661357
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;4. čtvrtletí 2021;658390
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;3. čtvrtletí 2021;653692
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2. čtvrtletí 2021;650849
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;1. čtvrtletí 2021;647469
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;1. čtvrtletí 2025;383910
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;4. čtvrtletí 2024;381547
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;3. čtvrtletí 2024;387972
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2. čtvrtletí 2024;389762
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;1. čtvrtletí 2024;387304
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;4. čtvrtletí 2023;383384
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;3. čtvrtletí 2023;386702
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2. čtvrtletí 2023;384820
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;1. čtvrtletí 2023;390030
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;4. čtvrtletí 2022;404589
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;3. čtvrtletí 2022;408094
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2. čtvrtletí 2022;405004
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;1. čtvrtletí 2022;401783
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;4. čtvrtletí 2021;399875
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;3. čtvrtletí 2021;382043
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2. čtvrtletí 2021;379722
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;1. čtvrtletí 2021;376736
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;1. čtvrtletí 2025;194705
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;4. čtvrtletí 2024;196779
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;3. čtvrtletí 2024;188321
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2. čtvrtletí 2024;190251
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;1. čtvrtletí 2024;192052
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;4. čtvrtletí 2023;196740
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;3. čtvrtletí 2023;182096
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2. čtvrtletí 2023;183253
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;1. čtvrtletí 2023;184962
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;4. čtvrtletí 2022;187297
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;3. čtvrtletí 2022;178461
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2. čtvrtletí 2022;179459
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;1. čtvrtletí 2022;180483
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;4. čtvrtletí 2021;184973
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;3. čtvrtletí 2021;189795
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2. čtvrtletí 2021;190789
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;1. čtvrtletí 2021;191849
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;1. čtvrtletí 2025;67362
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;4. čtvrtletí 2024;63020
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;3. čtvrtletí 2024;62716
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2. čtvrtletí 2024;60098
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;1. čtvrtletí 2024;58640
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;4. čtvrtletí 2023;53690
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;3. čtvrtletí 2023;61333
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2. čtvrtletí 2023;59940
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;1. čtvrtletí 2023;58553
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;4. čtvrtletí 2022;56842
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;3. čtvrtletí 2022;60906
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2. čtvrtletí 2022;59585
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;1. čtvrtletí 2022;58096
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;4. čtvrtletí 2021;52699
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;3. čtvrtletí 2021;60933
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2. čtvrtletí 2021;59543
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;1. čtvrtletí 2021;58225
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;1. čtvrtletí 2025;10992
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;4. čtvrtletí 2024;10573
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;3. čtvrtletí 2024;9602
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2. čtvrtletí 2024;7432
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;1. čtvrtletí 2024;7379
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;4. čtvrtletí 2023;7260
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;3. čtvrtletí 2023;7411
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2. čtvrtletí 2023;7372
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;1. čtvrtletí 2023;7302
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;4. čtvrtletí 2022;7231
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;3. čtvrtletí 2022;7169
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2. čtvrtletí 2022;7061
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;1. čtvrtletí 2022;7083
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;4. čtvrtletí 2021;6957
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;3. čtvrtletí 2021;7119
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2. čtvrtletí 2021;7105
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;1. čtvrtletí 2021;7117
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;1. čtvrtletí 2025;9338
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;4. čtvrtletí 2024;9141
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;3. čtvrtletí 2024;8398
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2. čtvrtletí 2024;6687
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;1. čtvrtletí 2024;6591
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;4. čtvrtletí 2023;6497
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;3. čtvrtletí 2023;6541
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2. čtvrtletí 2023;6422
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;1. čtvrtletí 2023;6306
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;4. čtvrtletí 2022;6329
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;3. čtvrtletí 2022;6334
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2. čtvrtletí 2022;6268
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;1. čtvrtletí 2022;6208
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;4. čtvrtletí 2021;6204
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;3. čtvrtletí 2021;6224
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2. čtvrtletí 2021;6165
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;1. čtvrtletí 2021;6146
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;1. čtvrtletí 2025;2150
