Ukazatel;Počet zaměstnanců;Kraje, SO ORP;Čtvrtletí;value
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;1. čtvrtletí 2025;677479
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;4. čtvrtletí 2024;672224
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;3. čtvrtletí 2024;667456
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2. čtvrtletí 2024;662642
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;1. čtvrtletí 2024;660279
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;4. čtvrtletí 2023;655855
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;3. čtvrtletí 2023;652281
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2. čtvrtletí 2023;649952
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;1. čtvrtletí 2023;655170
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;4. čtvrtletí 2022;670392
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;3. čtvrtletí 2022;668865
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2. čtvrtletí 2022;665192
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;1. čtvrtletí 2022;661357
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;4. čtvrtletí 2021;658390
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;3. čtvrtletí 2021;653692
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2. čtvrtletí 2021;650849
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;1. čtvrtletí 2021;647469
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;1. čtvrtletí 2025;348055
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;4. čtvrtletí 2024;345959
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;3. čtvrtletí 2024;343882
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2. čtvrtletí 2024;341302
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;1. čtvrtletí 2024;341125
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;4. čtvrtletí 2023;339884
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;3. čtvrtletí 2023;338606
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2. čtvrtletí 2023;337932
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;1. čtvrtletí 2023;343094
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;4. čtvrtletí 2022;362031
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;3. čtvrtletí 2022;363319
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2. čtvrtletí 2022;361501
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;1. čtvrtletí 2022;359691
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;4. čtvrtletí 2021;358087
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;3. čtvrtletí 2021;356368
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2. čtvrtletí 2021;354777
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;1. čtvrtletí 2021;352945
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;1. čtvrtletí 2025;155065
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;4. čtvrtletí 2024;154509
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;3. čtvrtletí 2024;153877
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2. čtvrtletí 2024;153075
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;1. čtvrtletí 2024;153498
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;4. čtvrtletí 2023;153431
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;3. čtvrtletí 2023;153286
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2. čtvrtletí 2023;153294
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;1. čtvrtletí 2023;157942
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;4. čtvrtletí 2022;169260
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;3. čtvrtletí 2022;170067
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2. čtvrtletí 2022;169472
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;1. čtvrtletí 2022;168948
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;4. čtvrtletí 2021;168648
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;3. čtvrtletí 2021;168109
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2. čtvrtletí 2021;167627
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;1. čtvrtletí 2021;167113
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;1. čtvrtletí 2025;138473
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;4. čtvrtletí 2024;137926
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;3. čtvrtletí 2024;137457
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2. čtvrtletí 2024;136769
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;1. čtvrtletí 2024;137212
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;4. čtvrtletí 2023;137082
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;3. čtvrtletí 2023;136839
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2. čtvrtletí 2023;136838
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;1. čtvrtletí 2023;139859
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;4. čtvrtletí 2022;149980
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;3. čtvrtletí 2022;150623
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2. čtvrtletí 2022;150048
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;1. čtvrtletí 2022;149465
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;4. čtvrtletí 2021;149138
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;3. čtvrtletí 2021;148627
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2. čtvrtletí 2021;148218
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;1. čtvrtletí 2021;147764
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;1. čtvrtletí 2025;67801
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;4. čtvrtletí 2024;67730
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;3. čtvrtletí 2024;67493
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2. čtvrtletí 2024;67331
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;1. čtvrtletí 2024;67721
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;4. čtvrtletí 2023;67824
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;3. čtvrtletí 2023;67878
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2. čtvrtletí 2023;67988
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;1. čtvrtletí 2023;69451
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;4. čtvrtletí 2022;74396
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;3. čtvrtletí 2022;74454
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2. čtvrtletí 2022;74308
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;1. čtvrtletí 2022;74177
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;4. čtvrtletí 2021;74009
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;3. čtvrtletí 2021;73886
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2. čtvrtletí 2021;73741
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;1. čtvrtletí 2021;73784
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;1. čtvrtletí 2025;164655
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;4. čtvrtletí 2024;164198
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;3. čtvrtletí 2024;163862
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2. čtvrtletí 2024;163101
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;1. čtvrtletí 2024;163418
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;4. čtvrtletí 2023;163270
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;3. čtvrtletí 2023;163158
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2. čtvrtletí 2023;163014
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;1. čtvrtletí 2023;165768
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;4. čtvrtletí 2022;177707
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;3. čtvrtletí 2022;178692
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2. čtvrtletí 2022;178303
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;1. čtvrtletí 2022;177754
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;4. čtvrtletí 2021;177675
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;3. čtvrtletí 2021;177149
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2. čtvrtletí 2021;176520
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;1. čtvrtletí 2021;176291
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;1. čtvrtletí 2025;105665
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;4. čtvrtletí 2024;105477
