Kraje, SO ORP;Ukazatel;Počet zaměstnanců;Roky;value
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2024;672224
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2023;655855
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2022;670392
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2021;658390
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2020;644586
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2019;632250
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2018;622377
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2017;606843
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2016;590338
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2015;573682
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2014;557736
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2013;540360
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2024;381547
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2023;383384
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2022;404589
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2021;399875
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2020;374773
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2019;383383
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2018;380192
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2017;370601
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2016;359725
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2015;348290
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2014;334008
Hlavní město Praha;Počet ekonomických subjektů celkem;Neuvedeno;2013;321880
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2024;196779
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2023;196740
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2022;187297
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2021;184973
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2020;196237
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2019;170692
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2018;168436
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2017;162291
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2016;154176
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2015;150774
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2014;148907
Hlavní město Praha;Počet ekonomických subjektů celkem;Bez zaměstnanců;2013;148045
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2024;63020
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2023;53690
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2022;56842
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2021;52699
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2020;53048
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2019;57004
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2018;53049
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2017;53514
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2016;56317
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2015;54761
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2014;55236
Hlavní město Praha;Počet ekonomických subjektů celkem;1 - 5;2013;51222
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2024;10573
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2023;7260
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2022;7231
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2021;6957
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2020;7018
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2019;7216
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2018;6990
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2017;6891
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2016;6896
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2015;6896
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2014;6802
Hlavní město Praha;Počet ekonomických subjektů celkem;6 - 9 ;2013;6600
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2024;9141
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2023;6497
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2022;6329
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2021;6204
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2020;6136
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2019;6273
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2018;6193
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2017;6162
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2016;6031
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2015;5986
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2014;5853
Hlavní město Praha;Počet ekonomických subjektů celkem;10 - 19;2013;5720
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2024;2079
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2023;1479
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2022;1469
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2021;1374
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2020;1323
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2019;1401
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2018;1413
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2017;1388
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2016;1351
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2015;1304
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2014;1310
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2013;1312
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2024;4289
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2023;3051
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2022;2981
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2021;2814
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2020;2718
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2019;2800
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2018;2689
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2017;2637
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2016;2613
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2015;2497
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2014;2491
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2013;2472
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2024;2353
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2023;1802
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2022;1728
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2021;1687
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2020;1627
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2019;1668
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2018;1640
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2017;1616
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2016;1539
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2015;1547
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2014;1538
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2013;1518
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2024;1232
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2023;981
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2022;982
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2021;916
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2020;857
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2019;922
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2018;882
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2017;861
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2016;838
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2015;799
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2014;779
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2013;812
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2024;255
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2023;217
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2022;199
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2021;168
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2020;160
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2019;158
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2018;159
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2017;162
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2016;161
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2015;167
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2014;164
