Kraje, SO ORP;Ukazatel;Institucionální sektor;Roky;value
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2024;672224
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2023;655855
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2022;670392
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2021;658390
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2020;644586
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2019;632250
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2018;622377
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2017;606843
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2016;590338
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2015;573682
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2014;557736
Hlavní město Praha;Počet ekonomických subjektů celkem;Celkem;2013;540360
Hlavní město Praha;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2024;672169
Hlavní město Praha;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2023;655800
Hlavní město Praha;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2022;670337
Hlavní město Praha;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2021;658335
Hlavní město Praha;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2020;644531
Hlavní město Praha;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2019;632195
Hlavní město Praha;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2018;622322
Hlavní město Praha;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2017;606787
Hlavní město Praha;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2016;590282
Hlavní město Praha;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2015;573626
Hlavní město Praha;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2014;557679
Hlavní město Praha;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2013;540165
Hlavní město Praha;Počet ekonomických subjektů celkem;Nefinanční podniky;2024;263224
Hlavní město Praha;Počet ekonomických subjektů celkem;Nefinanční podniky;2023;256984
Hlavní město Praha;Počet ekonomických subjektů celkem;Nefinanční podniky;2022;250697
Hlavní město Praha;Počet ekonomických subjektů celkem;Nefinanční podniky;2021;244439
Hlavní město Praha;Počet ekonomických subjektů celkem;Nefinanční podniky;2020;237706
Hlavní město Praha;Počet ekonomických subjektů celkem;Nefinanční podniky;2019;233239
Hlavní město Praha;Počet ekonomických subjektů celkem;Nefinanční podniky;2018;227382
Hlavní město Praha;Počet ekonomických subjektů celkem;Nefinanční podniky;2017;219362
Hlavní město Praha;Počet ekonomických subjektů celkem;Nefinanční podniky;2016;211063
Hlavní město Praha;Počet ekonomických subjektů celkem;Nefinanční podniky;2015;201483
Hlavní město Praha;Počet ekonomických subjektů celkem;Nefinanční podniky;2014;190491
Hlavní město Praha;Počet ekonomických subjektů celkem;Nefinanční podniky;2013;200410
Hlavní město Praha;Počet ekonomických subjektů celkem;Finanční instituce;2024;3392
Hlavní město Praha;Počet ekonomických subjektů celkem;Finanční instituce;2023;2974
Hlavní město Praha;Počet ekonomických subjektů celkem;Finanční instituce;2022;2805
Hlavní město Praha;Počet ekonomických subjektů celkem;Finanční instituce;2021;2326
Hlavní město Praha;Počet ekonomických subjektů celkem;Finanční instituce;2020;2166
Hlavní město Praha;Počet ekonomických subjektů celkem;Finanční instituce;2019;2068
Hlavní město Praha;Počet ekonomických subjektů celkem;Finanční instituce;2018;1921
Hlavní město Praha;Počet ekonomických subjektů celkem;Finanční instituce;2017;1737
Hlavní město Praha;Počet ekonomických subjektů celkem;Finanční instituce;2016;1620
Hlavní město Praha;Počet ekonomických subjektů celkem;Finanční instituce;2015;1500
Hlavní město Praha;Počet ekonomických subjektů celkem;Finanční instituce;2014;1418
Hlavní město Praha;Počet ekonomických subjektů celkem;Finanční instituce;2013;1517
Hlavní město Praha;Počet ekonomických subjektů celkem;Vládní instituce;2024;1108
Hlavní město Praha;Počet ekonomických subjektů celkem;Vládní instituce;2023;1107
Hlavní město Praha;Počet ekonomických subjektů celkem;Vládní instituce;2022;1103
Hlavní město Praha;Počet ekonomických subjektů celkem;Vládní instituce;2021;1097
Hlavní město Praha;Počet ekonomických subjektů celkem;Vládní instituce;2020;1095
Hlavní město Praha;Počet ekonomických subjektů celkem;Vládní instituce;2019;1097
Hlavní město Praha;Počet ekonomických subjektů celkem;Vládní instituce;2018;1094
Hlavní město Praha;Počet ekonomických subjektů celkem;Vládní instituce;2017;1087
Hlavní město Praha;Počet ekonomických subjektů celkem;Vládní instituce;2016;1081
Hlavní město Praha;Počet ekonomických subjektů celkem;Vládní instituce;2015;1027
Hlavní město Praha;Počet ekonomických subjektů celkem;Vládní instituce;2014;1027
Hlavní město Praha;Počet ekonomických subjektů celkem;Vládní instituce;2013;1033
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;2024;380589
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;2023;371237
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;2022;391756
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;2021;385445
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;2020;377659
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;2019;370161
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;2018;366911
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;2017;360128
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;2016;352771
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;2015;346735
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;2014;342549
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;2013;316232
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2024;23856
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2023;23498
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2022;23976
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2021;25028
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2020;25905
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2019;25630
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2018;25014
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2017;24473
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2016;23747
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2015;22881
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2014;22194
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2013;20973
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2024;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2023;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2022;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2021;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2020;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2019;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2018;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2017;56
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2016;56
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2015;56
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2014;57
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2013;195
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2024;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2023;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2022;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2021;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2020;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2019;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2018;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2017;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2016;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2015;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2014;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2013;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2024;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2023;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2022;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2021;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2020;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2019;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2018;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2017;38
