ČR, kraje, okresy;Ukazatel;Právní forma;Roky;value
Česko;Počet vzniklých ekonomických subjektů;Celkem;2024;125391
Česko;Počet vzniklých ekonomických subjektů;Celkem;2023;112759
Česko;Počet vzniklých ekonomických subjektů;Celkem;2022;111099
Česko;Počet vzniklých ekonomických subjektů;Celkem;2021;102709
Česko;Počet vzniklých ekonomických subjektů;Celkem;2020;94490
Česko;Počet vzniklých ekonomických subjektů;Celkem;2019;100869
Česko;Počet vzniklých ekonomických subjektů;Celkem;2018;100567
Česko;Počet vzniklých ekonomických subjektů;Celkem;2017;101808
Česko;Počet vzniklých ekonomických subjektů;Celkem;2016;97859
Česko;Počet vzniklých ekonomických subjektů;Celkem;2015;96392
Česko;Počet vzniklých ekonomických subjektů;Celkem;2014;91889
Česko;Počet vzniklých ekonomických subjektů;Celkem;2013;99287
Česko;Počet vzniklých ekonomických subjektů;Celkem;2012;104952
Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;2024;89209
Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;2023;78308
Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;2022;77567
Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;2021;67976
Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;2020;62188
Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;2019;65153
Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;2018;63368
Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;2017;62615
Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;2016;61501
Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;2015;62813
Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;2014;61275
Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;2013;61534
Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;2012;65638
Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;2024;36182
Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;2023;34451
Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;2022;33532
Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;2021;34733
Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;2020;32302
Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;2019;35716
Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;2018;37199
Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;2017;39193
Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;2016;36358
Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;2015;33579
Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;2014;30614
Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;2013;37753
Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;2012;39314
Česko;Počet zaniklých ekonomických subjektů;Celkem;2024;99261
Česko;Počet zaniklých ekonomických subjektů;Celkem;2023;309787
Česko;Počet zaniklých ekonomických subjektů;Celkem;2022;99927
Česko;Počet zaniklých ekonomických subjektů;Celkem;2021;64521
Česko;Počet zaniklých ekonomických subjektů;Celkem;2020;61601
Česko;Počet zaniklých ekonomických subjektů;Celkem;2019;104524
Česko;Počet zaniklých ekonomických subjektů;Celkem;2018;66865
Česko;Počet zaniklých ekonomických subjektů;Celkem;2017;67701
Česko;Počet zaniklých ekonomických subjektů;Celkem;2016;62678
Česko;Počet zaniklých ekonomických subjektů;Celkem;2015;62755
Česko;Počet zaniklých ekonomických subjektů;Celkem;2014;61008
Česko;Počet zaniklých ekonomických subjektů;Celkem;2013;149910
Česko;Počet zaniklých ekonomických subjektů;Celkem;2012;57770
Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;2024;78676
Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;2023;289086
Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;2022;80163
Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;2021;45390
Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;2020;43311
Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;2019;86542
Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;2018;51016
Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;2017;53434
Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;2016;52178
Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;2015;54470
Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;2014;54826
Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;2013;104664
Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;2012;44477
Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;2024;20585
Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;2023;20701
Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;2022;19764
Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;2021;19131
Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;2020;18290
Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;2019;17982
Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;2018;15849
Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;2017;14267
Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;2016;10500
Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;2015;8285
Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;2014;6182
Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;2013;45246
Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;2012;13293
