Ukazatel,Právní forma,"ČR, kraje, okresy",Čtvrtletí,value
Počet vzniklých ekonomických subjektů,Celkem,Česko,2. čtvrtletí 2025,31041
Počet vzniklých ekonomických subjektů,Celkem,Česko,1. čtvrtletí 2025,35233
Počet vzniklých ekonomických subjektů,Celkem,Česko,4. čtvrtletí 2024,29255
Počet vzniklých ekonomických subjektů,Celkem,Česko,3. čtvrtletí 2024,32820
Počet vzniklých ekonomických subjektů,Celkem,Česko,2. čtvrtletí 2024,30245
Počet vzniklých ekonomických subjektů,Celkem,Česko,1. čtvrtletí 2024,34948
Počet vzniklých ekonomických subjektů,Celkem,Česko,4. čtvrtletí 2023,27801
Počet vzniklých ekonomických subjektů,Celkem,Česko,3. čtvrtletí 2023,27197
Počet vzniklých ekonomických subjektů,Celkem,Česko,2. čtvrtletí 2023,27332
Počet vzniklých ekonomických subjektů,Celkem,Česko,1. čtvrtletí 2023,32186
Počet vzniklých ekonomických subjektů,Celkem,Česko,4. čtvrtletí 2022,26747
Počet vzniklých ekonomických subjektů,Celkem,Česko,3. čtvrtletí 2022,27971
Počet vzniklých ekonomických subjektů,Celkem,Česko,2. čtvrtletí 2022,28243
Počet vzniklých ekonomických subjektů,Celkem,Česko,1. čtvrtletí 2022,29173
Počet vzniklých ekonomických subjektů,Celkem,Česko,4. čtvrtletí 2021,24242
Počet vzniklých ekonomických subjektů,Celkem,Česko,3. čtvrtletí 2021,25437
Počet vzniklých ekonomických subjektů,Celkem,Česko,2. čtvrtletí 2021,26256
Počet vzniklých ekonomických subjektů,Celkem,Česko,1. čtvrtletí 2021,27457
