Území;Institucionální sektor ;Právní forma;Ukazatel;Odvětví ekonomické činnosti;Roky;value
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Celkem;2022;344989.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Celkem;2021;334396.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Celkem;2020;315010.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Celkem;2019;306300.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Celkem;2018;294185.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Celkem;2017;281583.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Celkem;2016;269519.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Celkem;2015;257654.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Celkem;2014;254260.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Celkem;2013;240761.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Těžba a dobývání;2022;257.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Těžba a dobývání;2021;266.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Těžba a dobývání;2020;245.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Těžba a dobývání;2019;239.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Těžba a dobývání;2018;244.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Těžba a dobývání;2017;252.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Těžba a dobývání;2016;252.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Těžba a dobývání;2015;249.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Těžba a dobývání;2014;268.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Těžba a dobývání;2013;277.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zpracovatelský průmysl;2022;39847.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zpracovatelský průmysl;2021;38562.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zpracovatelský průmysl;2020;37317.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zpracovatelský průmysl;2019;36554.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zpracovatelský průmysl;2018;35193.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zpracovatelský průmysl;2017;33999.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zpracovatelský průmysl;2016;33397.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zpracovatelský průmysl;2015;32873.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zpracovatelský průmysl;2014;32630.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zpracovatelský průmysl;2013;29880.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2022;2244.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2021;2194.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2020;2151.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2019;2138.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2018;2101.0
