Území;Institucionální sektor ;Ukazatel;Odvětví ekonomické činnosti;Roky;value
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Celkem;2022;252750.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Celkem;2021;249816.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Celkem;2020;246653.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Celkem;2019;250790.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Celkem;2018;250668.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Celkem;2017;250855.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Celkem;2016;253457.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Celkem;2015;253423.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Těžba a dobývání;2022;211.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Těžba a dobývání;2021;226.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Těžba a dobývání;2020;219.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Těžba a dobývání;2019;216.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Těžba a dobývání;2018;220.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Těžba a dobývání;2017;230.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Těžba a dobývání;2016;225.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Těžba a dobývání;2015;210.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zpracovatelský průmysl;2022;35974.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zpracovatelský průmysl;2021;35933.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zpracovatelský průmysl;2020;35627.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zpracovatelský průmysl;2019;36271.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zpracovatelský průmysl;2018;36243.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zpracovatelský průmysl;2017;36190.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zpracovatelský průmysl;2016;36527.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zpracovatelský průmysl;2015;36601.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2022;1252.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2021;1251.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2020;1188.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2019;1195.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2018;1179.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2017;1161.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2016;1135.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2015;1100.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2022;2415.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2021;2608.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2020;2627.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2019;2699.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2018;2651.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2017;2620.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2016;2635.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2015;2579.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Stavebnictví;2022;30011.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Stavebnictví;2021;29335.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Stavebnictví;2020;28934.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Stavebnictví;2019;28958.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Stavebnictví;2018;28320.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Stavebnictví;2017;28112.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Stavebnictví;2016;27759.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Stavebnictví;2015;27847.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2022;55883.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2021;56258.0
