Území;Ukazatel;Velikostní skupina obcí;Roky;value
Česko;Počet obyvatel;Celkem;2015;10553843.0
Česko;Počet obyvatel;Celkem;2016;10578820.0
Česko;Počet obyvatel;Celkem;2017;10610055.0
Česko;Počet obyvatel;Celkem;2018;10649800.0
Česko;Počet obyvatel;Celkem;2019;10693939.0
Česko;Počet obyvatel;Celkem;2020;10701777.0
Česko;Počet obyvatel;Celkem;2021;10516707.0
Česko;Počet obyvatel;Celkem;2022;10827529.0
Česko;Počet obyvatel;Celkem;2023;10900555.0
Česko;Počet obyvatel;Celkem;2024;10909500.0
Česko;Počet obyvatel;méně než 200;2015;179810.0
Česko;Počet obyvatel;méně než 200;2016;179228.0
Česko;Počet obyvatel;méně než 200;2017;178327.0
Česko;Počet obyvatel;méně než 200;2018;177752.0
Česko;Počet obyvatel;méně než 200;2019;176826.0
Česko;Počet obyvatel;méně než 200;2020;175031.0
Česko;Počet obyvatel;méně než 200;2021;173101.0
Česko;Počet obyvatel;méně než 200;2022;170302.0
Česko;Počet obyvatel;méně než 200;2023;170125.0
Česko;Počet obyvatel;méně než 200;2024;
Česko;Počet obyvatel;200 až 499;2015;650879.0
Česko;Počet obyvatel;200 až 499;2016;653472.0
Česko;Počet obyvatel;200 až 499;2017;650760.0
Česko;Počet obyvatel;200 až 499;2018;655673.0
Česko;Počet obyvatel;200 až 499;2019;656264.0
Česko;Počet obyvatel;200 až 499;2020;654581.0
Česko;Počet obyvatel;200 až 499;2021;657116.0
Česko;Počet obyvatel;200 až 499;2022;658332.0
Česko;Počet obyvatel;200 až 499;2023;661947.0
Česko;Počet obyvatel;200 až 499;2024;
Česko;Počet obyvatel;500 až 999;2015;974125.0
Česko;Počet obyvatel;500 až 999;2016;971317.0
Česko;Počet obyvatel;500 až 999;2017;974837.0
Česko;Počet obyvatel;500 až 999;2018;966997.0
Česko;Počet obyvatel;500 až 999;2019;969036.0
Česko;Počet obyvatel;500 až 999;2020;971419.0
Česko;Počet obyvatel;500 až 999;2021;972131.0
Česko;Počet obyvatel;500 až 999;2022;980630.0
Česko;Počet obyvatel;500 až 999;2023;976424.0
Česko;Počet obyvatel;500 až 999;2024;
Česko;Počet obyvatel;1 000 až 1 9999;2015;1042491.0
Česko;Počet obyvatel;1 000 až 1 9999;2016;1043547.0
Česko;Počet obyvatel;1 000 až 1 9999;2017;1052794.0
Česko;Počet obyvatel;1 000 až 1 9999;2018;1072002.0
Česko;Počet obyvatel;1 000 až 1 9999;2019;1085253.0
Česko;Počet obyvatel;1 000 až 1 9999;2020;1088990.0
Česko;Počet obyvatel;1 000 až 1 9999;2021;1081260.0
Česko;Počet obyvatel;1 000 až 1 9999;2022;1107207.0
Česko;Počet obyvatel;1 000 až 1 9999;2023;1125010.0
Česko;Počet obyvatel;1 000 až 1 9999;2024;
Česko;Počet obyvatel;2 000 až 4 999;2015;1262906.0
Česko;Počet obyvatel;2 000 až 4 999;2016;1270684.0
Česko;Počet obyvatel;2 000 až 4 999;2017;1288242.0
Česko;Počet obyvatel;2 000 až 4 999;2018;1280006.0
Česko;Počet obyvatel;2 000 až 4 999;2019;1297845.0
Česko;Počet obyvatel;2 000 až 4 999;2020;1334099.0
Česko;Počet obyvatel;2 000 až 4 999;2021;1335338.0
Česko;Počet obyvatel;2 000 až 4 999;2022;1342457.0
Česko;Počet obyvatel;2 000 až 4 999;2023;1350592.0
Česko;Počet obyvatel;2 000 až 4 999;2024;
Česko;Počet obyvatel;5 000 až 9 9999;2015;964115.0
Česko;Počet obyvatel;5 000 až 9 9999;2016;984263.0
Česko;Počet obyvatel;5 000 až 9 9999;2017;969575.0
Česko;Počet obyvatel;5 000 až 9 9999;2018;1001254.0
Česko;Počet obyvatel;5 000 až 9 9999;2019;1007737.0
Česko;Počet obyvatel;5 000 až 9 9999;2020;985982.0
Česko;Počet obyvatel;5 000 až 9 9999;2021;972138.0
Česko;Počet obyvatel;5 000 až 9 9999;2022;1009180.0
Česko;Počet obyvatel;5 000 až 9 9999;2023;998934.0
Česko;Počet obyvatel;5 000 až 9 9999;2024;
Česko;Počet obyvatel;10 000 až 19 999;2015;970075.0
Česko;Počet obyvatel;10 000 až 19 999;2016;958400.0
Česko;Počet obyvatel;10 000 až 19 999;2017;967946.0
Česko;Počet obyvatel;10 000 až 19 999;2018;977836.0
Česko;Počet obyvatel;10 000 až 19 999;2019;967490.0
Česko;Počet obyvatel;10 000 až 19 999;2020;963747.0
Česko;Počet obyvatel;10 000 až 19 999;2021;942529.0
Česko;Počet obyvatel;10 000 až 19 999;2022;947318.0
Česko;Počet obyvatel;10 000 až 19 999;2023;920692.0
Česko;Počet obyvatel;10 000 až 19 999;2024;
Česko;Počet obyvatel;20 000 až 49 999;2015;1324522.0
Česko;Počet obyvatel;20 000 až 49 999;2016;1320691.0
Česko;Počet obyvatel;20 000 až 49 999;2017;1317144.0
Česko;Počet obyvatel;20 000 až 49 999;2018;1293656.0
Česko;Počet obyvatel;20 000 až 49 999;2019;1290888.0
Česko;Počet obyvatel;20 000 až 49 999;2020;1282905.0
Česko;Počet obyvatel;20 000 až 49 999;2021;1283658.0
Česko;Počet obyvatel;20 000 až 49 999;2022;1270692.0
Česko;Počet obyvatel;20 000 až 49 999;2023;1364515.0
Česko;Počet obyvatel;20 000 až 49 999;2024;
Česko;Počet obyvatel;50 000 až 99 999;2015;874462.0
Česko;Počet obyvatel;50 000 až 99 999;2016;872324.0
Česko;Počet obyvatel;50 000 až 99 999;2017;870531.0
Česko;Počet obyvatel;50 000 až 99 999;2018;868774.0
Česko;Počet obyvatel;50 000 až 99 999;2019;868702.0
Česko;Počet obyvatel;50 000 až 99 999;2020;862558.0
Česko;Počet obyvatel;50 000 až 99 999;2021;893089.0
Česko;Počet obyvatel;50 000 až 99 999;2022;914026.0
Česko;Počet obyvatel;50 000 až 99 999;2023;866379.0
Česko;Počet obyvatel;50 000 až 99 999;2024;
Česko;Počet obyvatel;100 000 a více;2015;2310458.0
Česko;Počet obyvatel;100 000 a více;2016;2324894.0
Česko;Počet obyvatel;100 000 a více;2017;2339899.0
Česko;Počet obyvatel;100 000 a více;2018;2355850.0
Česko;Počet obyvatel;100 000 a více;2019;2373898.0
Česko;Počet obyvatel;100 000 a více;2020;2382465.0
Česko;Počet obyvatel;100 000 a více;2021;2206347.0
Česko;Počet obyvatel;100 000 a více;2022;2427385.0
Česko;Počet obyvatel;100 000 a více;2023;2465937.0
Česko;Počet obyvatel;100 000 a více;2024;
Česko;Počet obcí;Celkem;2015;6253.0
Česko;Počet obcí;Celkem;2016;6258.0
Česko;Počet obcí;Celkem;2017;6258.0
Česko;Počet obcí;Celkem;2018;6258.0
Česko;Počet obcí;Celkem;2019;6258.0
Česko;Počet obcí;Celkem;2020;6258.0
Česko;Počet obcí;Celkem;2021;6258.0
Česko;Počet obcí;Celkem;2022;6258.0
Česko;Počet obcí;Celkem;2023;6258.0
Česko;Počet obcí;Celkem;2024;6258.0
Česko;Počet obcí;méně než 200;2015;1444.0
Česko;Počet obcí;méně než 200;2016;1440.0
Česko;Počet obcí;méně než 200;2017;1432.0
Česko;Počet obcí;méně než 200;2018;1423.0
Česko;Počet obcí;méně než 200;2019;1413.0
Česko;Počet obcí;méně než 200;2020;1400.0
Česko;Počet obcí;méně než 200;2021;1391.0
Česko;Počet obcí;méně než 200;2022;1359.0
Česko;Počet obcí;méně než 200;2023;1354.0
Česko;Počet obcí;méně než 200;2024;
Česko;Počet obcí;200 až 499;2015;1996.0
Česko;Počet obcí;200 až 499;2016;2000.0
Česko;Počet obcí;200 až 499;2017;1992.0
Česko;Počet obcí;200 až 499;2018;1997.0
Česko;Počet obcí;200 až 499;2019;1994.0
Česko;Počet obcí;200 až 499;2020;1990.0
Česko;Počet obcí;200 až 499;2021;2003.0
Česko;Počet obcí;200 až 499;2022;1995.0
Česko;Počet obcí;200 až 499;2023;1998.0
Česko;Počet obcí;200 až 499;2024;
Česko;Počet obcí;500 až 999;2015;1379.0
Česko;Počet obcí;500 až 999;2016;1374.0
Česko;Počet obcí;500 až 999;2017;1379.0
Česko;Počet obcí;500 až 999;2018;1366.0
Česko;Počet obcí;500 až 999;2019;1368.0
Česko;Počet obcí;500 až 999;2020;1373.0
Česko;Počet obcí;500 až 999;2021;1375.0
Česko;Počet obcí;500 až 999;2022;1382.0
Česko;Počet obcí;500 až 999;2023;1374.0
Česko;Počet obcí;500 až 999;2024;
Česko;Počet obcí;1 000 až 1 9999;2015;745.0
Česko;Počet obcí;1 000 až 1 9999;2016;748.0
Česko;Počet obcí;1 000 až 1 9999;2017;755.0
Česko;Počet obcí;1 000 až 1 9999;2018;769.0
Česko;Počet obcí;1 000 až 1 9999;2019;777.0
Česko;Počet obcí;1 000 až 1 9999;2020;782.0
Česko;Počet obcí;1 000 až 1 9999;2021;778.0
Česko;Počet obcí;1 000 až 1 9999;2022;795.0
Česko;Počet obcí;1 000 až 1 9999;2023;806.0
Česko;Počet obcí;1 000 až 1 9999;2024;
Česko;Počet obcí;2 000 až 4 999;2015;417.0
Česko;Počet obcí;2 000 až 4 999;2016;422.0
Česko;Počet obcí;2 000 až 4 999;2017;427.0
Česko;Počet obcí;2 000 až 4 999;2018;426.0
Česko;Počet obcí;2 000 až 4 999;2019;430.0
Česko;Počet obcí;2 000 až 4 999;2020;441.0
Česko;Počet obcí;2 000 až 4 999;2021;443.0
Česko;Počet obcí;2 000 až 4 999;2022;448.0
Česko;Počet obcí;2 000 až 4 999;2023;448.0
Česko;Počet obcí;2 000 až 4 999;2024;
Česko;Počet obcí;5 000 až 9 9999;2015;141.0
Česko;Počet obcí;5 000 až 9 9999;2016;144.0
Česko;Počet obcí;5 000 až 9 9999;2017;142.0
Česko;Počet obcí;5 000 až 9 9999;2018;147.0
Česko;Počet obcí;5 000 až 9 9999;2019;147.0
Česko;Počet obcí;5 000 až 9 9999;2020;143.0
Česko;Počet obcí;5 000 až 9 9999;2021;141.0
Česko;Počet obcí;5 000 až 9 9999;2022;148.0
Česko;Počet obcí;5 000 až 9 9999;2023;146.0
Česko;Počet obcí;5 000 až 9 9999;2024;
Česko;Počet obcí;10 000 až 19 999;2015;69.0
Česko;Počet obcí;10 000 až 19 999;2016;68.0
Česko;Počet obcí;10 000 až 19 999;2017;69.0
Česko;Počet obcí;10 000 až 19 999;2018;69.0
Česko;Počet obcí;10 000 až 19 999;2019;68.0
Česko;Počet obcí;10 000 až 19 999;2020;68.0
Česko;Počet obcí;10 000 až 19 999;2021;67.0
Česko;Počet obcí;10 000 až 19 999;2022;68.0
Česko;Počet obcí;10 000 až 19 999;2023;67.0
Česko;Počet obcí;10 000 až 19 999;2024;
Česko;Počet obcí;20 000 až 49 999;2015;44.0
Česko;Počet obcí;20 000 až 49 999;2016;44.0
Česko;Počet obcí;20 000 až 49 999;2017;44.0
Česko;Počet obcí;20 000 až 49 999;2018;43.0
Česko;Počet obcí;20 000 až 49 999;2019;43.0
Česko;Počet obcí;20 000 až 49 999;2020;43.0
Česko;Počet obcí;20 000 až 49 999;2021;43.0
Česko;Počet obcí;20 000 až 49 999;2022;44.0
Česko;Počet obcí;20 000 až 49 999;2023;47.0
Česko;Počet obcí;20 000 až 49 999;2024;
Česko;Počet obcí;50 000 až 99 999;2015;12.0
Česko;Počet obcí;50 000 až 99 999;2016;12.0
Česko;Počet obcí;50 000 až 99 999;2017;12.0
Česko;Počet obcí;50 000 až 99 999;2018;12.0
Česko;Počet obcí;50 000 až 99 999;2019;12.0
Česko;Počet obcí;50 000 až 99 999;2020;12.0
Česko;Počet obcí;50 000 až 99 999;2021;12.0
Česko;Počet obcí;50 000 až 99 999;2022;13.0
Česko;Počet obcí;50 000 až 99 999;2023;12.0
Česko;Počet obcí;50 000 až 99 999;2024;
Česko;Počet obcí;100 000 a více;2015;6.0
Česko;Počet obcí;100 000 a více;2016;6.0
Česko;Počet obcí;100 000 a více;2017;6.0
Česko;Počet obcí;100 000 a více;2018;6.0
Česko;Počet obcí;100 000 a více;2019;6.0
Česko;Počet obcí;100 000 a více;2020;6.0
Česko;Počet obcí;100 000 a více;2021;5.0
Česko;Počet obcí;100 000 a více;2022;6.0
Česko;Počet obcí;100 000 a více;2023;6.0
Česko;Počet obcí;100 000 a více;2024;
