Roky;Ukazatel;Území;Velikostní skupina obcí (město 3 000 a více obyvatel-venkov do 3 000 obyvatel);value
2024;Počet obyvatel;Česko;Celkem;10909500.0
2024;Počet obyvatel;Česko;méně než 200;
2024;Počet obyvatel;Česko;méně než 500;
2024;Počet obyvatel;Česko;méně než 1 000;
2024;Počet obyvatel;Česko;méně než 2 000;
2024;Počet obyvatel;Česko;méně než 3 000;
2024;Počet obyvatel;Česko;3 000 a více;
2024;Počet obyvatel;Česko;5 000 a více;
2024;Počet obyvatel;Česko;10 000 a více;
2024;Počet obyvatel;Česko;20 000 a více;
2024;Počet obyvatel;Česko;50 000 a více;
2024;Počet obyvatel;Česko;100 000 a více;
2024;Počet obyvatel;Hlavní město Praha;Celkem;1397880.0
2024;Počet obyvatel;Hlavní město Praha;méně než 200;
2024;Počet obyvatel;Hlavní město Praha;méně než 500;
2024;Počet obyvatel;Hlavní město Praha;méně než 1 000;
2024;Počet obyvatel;Hlavní město Praha;méně než 2 000;
2024;Počet obyvatel;Hlavní město Praha;méně než 3 000;
2024;Počet obyvatel;Hlavní město Praha;3 000 a více;
2024;Počet obyvatel;Hlavní město Praha;5 000 a více;
2024;Počet obyvatel;Hlavní město Praha;10 000 a více;
2024;Počet obyvatel;Hlavní město Praha;20 000 a více;
2024;Počet obyvatel;Hlavní město Praha;50 000 a více;
2024;Počet obyvatel;Hlavní město Praha;100 000 a více;
2024;Počet obyvatel;Středočeský kraj;Celkem;1466215.0
2024;Počet obyvatel;Středočeský kraj;méně než 200;
2024;Počet obyvatel;Středočeský kraj;méně než 500;
2024;Počet obyvatel;Středočeský kraj;méně než 1 000;
2024;Počet obyvatel;Středočeský kraj;méně než 2 000;
2024;Počet obyvatel;Středočeský kraj;méně než 3 000;
2024;Počet obyvatel;Středočeský kraj;3 000 a více;
2024;Počet obyvatel;Středočeský kraj;5 000 a více;
2024;Počet obyvatel;Středočeský kraj;10 000 a více;
2024;Počet obyvatel;Středočeský kraj;20 000 a více;
2024;Počet obyvatel;Středočeský kraj;50 000 a více;
2024;Počet obyvatel;Středočeský kraj;100 000 a více;
2024;Počet obyvatel;Jihočeský kraj;Celkem;653227.0
2024;Počet obyvatel;Jihočeský kraj;méně než 200;
2024;Počet obyvatel;Jihočeský kraj;méně než 500;
2024;Počet obyvatel;Jihočeský kraj;méně než 1 000;
2024;Počet obyvatel;Jihočeský kraj;méně než 2 000;
2024;Počet obyvatel;Jihočeský kraj;méně než 3 000;
2024;Počet obyvatel;Jihočeský kraj;3 000 a více;
2024;Počet obyvatel;Jihočeský kraj;5 000 a více;
2024;Počet obyvatel;Jihočeský kraj;10 000 a více;
2024;Počet obyvatel;Jihočeský kraj;20 000 a více;
2024;Počet obyvatel;Jihočeský kraj;50 000 a více;
2024;Počet obyvatel;Jihočeský kraj;100 000 a více;
2024;Počet obyvatel;Plzeňský kraj;Celkem;614640.0
2024;Počet obyvatel;Plzeňský kraj;méně než 200;
2024;Počet obyvatel;Plzeňský kraj;méně než 500;
2024;Počet obyvatel;Plzeňský kraj;méně než 1 000;
2024;Počet obyvatel;Plzeňský kraj;méně než 2 000;
2024;Počet obyvatel;Plzeňský kraj;méně než 3 000;
2024;Počet obyvatel;Plzeňský kraj;3 000 a více;
2024;Počet obyvatel;Plzeňský kraj;5 000 a více;
2024;Počet obyvatel;Plzeňský kraj;10 000 a více;
2024;Počet obyvatel;Plzeňský kraj;20 000 a více;
2024;Počet obyvatel;Plzeňský kraj;50 000 a více;
2024;Počet obyvatel;Plzeňský kraj;100 000 a více;
2024;Počet obyvatel;Karlovarský kraj;Celkem;293195.0
2024;Počet obyvatel;Karlovarský kraj;méně než 200;
2024;Počet obyvatel;Karlovarský kraj;méně než 500;
2024;Počet obyvatel;Karlovarský kraj;méně než 1 000;
2024;Počet obyvatel;Karlovarský kraj;méně než 2 000;
2024;Počet obyvatel;Karlovarský kraj;méně než 3 000;
2024;Počet obyvatel;Karlovarský kraj;3 000 a více;
2024;Počet obyvatel;Karlovarský kraj;5 000 a více;
2024;Počet obyvatel;Karlovarský kraj;10 000 a více;
2024;Počet obyvatel;Karlovarský kraj;20 000 a více;
2024;Počet obyvatel;Karlovarský kraj;50 000 a více;
2024;Počet obyvatel;Karlovarský kraj;100 000 a více;
2024;Počet obyvatel;Ústecký kraj;Celkem;808356.0
2024;Počet obyvatel;Ústecký kraj;méně než 200;
2024;Počet obyvatel;Ústecký kraj;méně než 500;
2024;Počet obyvatel;Ústecký kraj;méně než 1 000;
2024;Počet obyvatel;Ústecký kraj;méně než 2 000;
2024;Počet obyvatel;Ústecký kraj;méně než 3 000;
2024;Počet obyvatel;Ústecký kraj;3 000 a více;
2024;Počet obyvatel;Ústecký kraj;5 000 a více;
2024;Počet obyvatel;Ústecký kraj;10 000 a více;
2024;Počet obyvatel;Ústecký kraj;20 000 a více;
2024;Počet obyvatel;Ústecký kraj;50 000 a více;
2024;Počet obyvatel;Ústecký kraj;100 000 a více;
2024;Počet obyvatel;Liberecký kraj;Celkem;449494.0
2024;Počet obyvatel;Liberecký kraj;méně než 200;
2024;Počet obyvatel;Liberecký kraj;méně než 500;
2024;Počet obyvatel;Liberecký kraj;méně než 1 000;
2024;Počet obyvatel;Liberecký kraj;méně než 2 000;
2024;Počet obyvatel;Liberecký kraj;méně než 3 000;
2024;Počet obyvatel;Liberecký kraj;3 000 a více;
2024;Počet obyvatel;Liberecký kraj;5 000 a více;
2024;Počet obyvatel;Liberecký kraj;10 000 a více;
2024;Počet obyvatel;Liberecký kraj;20 000 a více;
2024;Počet obyvatel;Liberecký kraj;50 000 a více;
2024;Počet obyvatel;Liberecký kraj;100 000 a více;
2024;Počet obyvatel;Královéhradecký kraj;Celkem;555923.0
2024;Počet obyvatel;Královéhradecký kraj;méně než 200;
2024;Počet obyvatel;Královéhradecký kraj;méně než 500;
2024;Počet obyvatel;Královéhradecký kraj;méně než 1 000;
2024;Počet obyvatel;Královéhradecký kraj;méně než 2 000;
2024;Počet obyvatel;Královéhradecký kraj;méně než 3 000;
2024;Počet obyvatel;Královéhradecký kraj;3 000 a více;
2024;Počet obyvatel;Královéhradecký kraj;5 000 a více;
2024;Počet obyvatel;Královéhradecký kraj;10 000 a více;
2024;Počet obyvatel;Královéhradecký kraj;20 000 a více;
2024;Počet obyvatel;Královéhradecký kraj;50 000 a více;
2024;Počet obyvatel;Královéhradecký kraj;100 000 a více;
2024;Počet obyvatel;Pardubický kraj;Celkem;530469.0
2024;Počet obyvatel;Pardubický kraj;méně než 200;
2024;Počet obyvatel;Pardubický kraj;méně než 500;
2024;Počet obyvatel;Pardubický kraj;méně než 1 000;
2024;Počet obyvatel;Pardubický kraj;méně než 2 000;
2024;Počet obyvatel;Pardubický kraj;méně než 3 000;
2024;Počet obyvatel;Pardubický kraj;3 000 a více;
2024;Počet obyvatel;Pardubický kraj;5 000 a více;
2024;Počet obyvatel;Pardubický kraj;10 000 a více;
2024;Počet obyvatel;Pardubický kraj;20 000 a více;
2024;Počet obyvatel;Pardubický kraj;50 000 a více;
2024;Počet obyvatel;Pardubický kraj;100 000 a více;
2024;Počet obyvatel;Kraj Vysočina;Celkem;517647.0
2024;Počet obyvatel;Kraj Vysočina;méně než 200;
2024;Počet obyvatel;Kraj Vysočina;méně než 500;
2024;Počet obyvatel;Kraj Vysočina;méně než 1 000;
2024;Počet obyvatel;Kraj Vysočina;méně než 2 000;
2024;Počet obyvatel;Kraj Vysočina;méně než 3 000;
2024;Počet obyvatel;Kraj Vysočina;3 000 a více;
2024;Počet obyvatel;Kraj Vysočina;5 000 a více;
2024;Počet obyvatel;Kraj Vysočina;10 000 a více;
2024;Počet obyvatel;Kraj Vysočina;20 000 a více;
2024;Počet obyvatel;Kraj Vysočina;50 000 a více;
2024;Počet obyvatel;Kraj Vysočina;100 000 a více;
2024;Počet obyvatel;Jihomoravský kraj;Celkem;1229343.0
2024;Počet obyvatel;Jihomoravský kraj;méně než 200;
2024;Počet obyvatel;Jihomoravský kraj;méně než 500;
2024;Počet obyvatel;Jihomoravský kraj;méně než 1 000;
2024;Počet obyvatel;Jihomoravský kraj;méně než 2 000;
2024;Počet obyvatel;Jihomoravský kraj;méně než 3 000;
2024;Počet obyvatel;Jihomoravský kraj;3 000 a více;
2024;Počet obyvatel;Jihomoravský kraj;5 000 a více;
2024;Počet obyvatel;Jihomoravský kraj;10 000 a více;
2024;Počet obyvatel;Jihomoravský kraj;20 000 a více;
2024;Počet obyvatel;Jihomoravský kraj;50 000 a více;
2024;Počet obyvatel;Jihomoravský kraj;100 000 a více;
2024;Počet obyvatel;Olomoucký kraj;Celkem;631500.0
2024;Počet obyvatel;Olomoucký kraj;méně než 200;
2024;Počet obyvatel;Olomoucký kraj;méně než 500;
2024;Počet obyvatel;Olomoucký kraj;méně než 1 000;
2024;Počet obyvatel;Olomoucký kraj;méně než 2 000;
2024;Počet obyvatel;Olomoucký kraj;méně než 3 000;
2024;Počet obyvatel;Olomoucký kraj;3 000 a více;
2024;Počet obyvatel;Olomoucký kraj;5 000 a více;
2024;Počet obyvatel;Olomoucký kraj;10 000 a více;
2024;Počet obyvatel;Olomoucký kraj;20 000 a více;
2024;Počet obyvatel;Olomoucký kraj;50 000 a více;
2024;Počet obyvatel;Olomoucký kraj;100 000 a více;
2024;Počet obyvatel;Zlínský kraj;Celkem;578998.0
2024;Počet obyvatel;Zlínský kraj;méně než 200;
2024;Počet obyvatel;Zlínský kraj;méně než 500;
2024;Počet obyvatel;Zlínský kraj;méně než 1 000;
2024;Počet obyvatel;Zlínský kraj;méně než 2 000;
2024;Počet obyvatel;Zlínský kraj;méně než 3 000;
2024;Počet obyvatel;Zlínský kraj;3 000 a více;
2024;Počet obyvatel;Zlínský kraj;5 000 a více;
2024;Počet obyvatel;Zlínský kraj;10 000 a více;
2024;Počet obyvatel;Zlínský kraj;20 000 a více;
2024;Počet obyvatel;Zlínský kraj;50 000 a více;
2024;Počet obyvatel;Zlínský kraj;100 000 a více;
2024;Počet obyvatel;Moravskoslezský kraj;Celkem;1182613.0
2024;Počet obyvatel;Moravskoslezský kraj;méně než 200;
2024;Počet obyvatel;Moravskoslezský kraj;méně než 500;
2024;Počet obyvatel;Moravskoslezský kraj;méně než 1 000;
2024;Počet obyvatel;Moravskoslezský kraj;méně než 2 000;
2024;Počet obyvatel;Moravskoslezský kraj;méně než 3 000;
2024;Počet obyvatel;Moravskoslezský kraj;3 000 a více;
