Území;Ukazatel;Typ ploch;Roky;value
Česko;Plocha území (ha);Celková výměra;2023;7887143.0091
Česko;Plocha území (ha);Celková výměra;2022;7887146.6974
Česko;Plocha území (ha);Celková výměra;2021;7887104.0542
Česko;Plocha území (ha);Celková výměra;2020;7887101.2617
Česko;Plocha území (ha);Celková výměra;2019;7887003.7261
Česko;Plocha území (ha);Celková výměra;2018;7887100.8418
Česko;Plocha území (ha);Celková výměra;2017;7887026.8365
Česko;Plocha území (ha);Celková výměra;2016;7887040.8301
Česko;Plocha území (ha);Zemědělská půda;2023;4194176.2957
Česko;Plocha území (ha);Zemědělská půda;2022;4196623.8474
Česko;Plocha území (ha);Zemědělská půda;2021;4198728.2074
Česko;Plocha území (ha);Zemědělská půda;2020;4200203.5925
Česko;Plocha území (ha);Zemědělská půda;2019;4202112.4352
Česko;Plocha území (ha);Zemědělská půda;2018;4203725.7098
Česko;Plocha území (ha);Zemědělská půda;2017;4205288.2202
Česko;Plocha území (ha);Zemědělská půda;2016;4208374.3863
Česko;Plocha území (ha);Orná půda;2023;2900704.8987
Česko;Plocha území (ha);Orná půda;2022;2910698.5999
Česko;Plocha území (ha);Orná půda;2021;2921945.3977
Česko;Plocha území (ha);Orná půda;2020;2931713.2338
Česko;Plocha území (ha);Orná půda;2019;2940926.7118
Česko;Plocha území (ha);Orná půda;2018;2951394.5092
Česko;Plocha území (ha);Orná půda;2017;2958603.0267
Česko;Plocha území (ha);Orná půda;2016;2965606.0397
Česko;Plocha území (ha);Chmelnice;2023;8697.9828
Česko;Plocha území (ha);Chmelnice;2022;8843.3071
Česko;Plocha území (ha);Chmelnice;2021;9100.1769
Česko;Plocha území (ha);Chmelnice;2020;9547.8744
Česko;Plocha území (ha);Chmelnice;2019;9827.0168
Česko;Plocha území (ha);Chmelnice;2018;9898.5355
Česko;Plocha území (ha);Chmelnice;2017;10065.5849
Česko;Plocha území (ha);Chmelnice;2016;10127.2351
Česko;Plocha území (ha);Vinice;2023;20554.7746
Česko;Plocha území (ha);Vinice;2022;20306.9291
Česko;Plocha území (ha);Vinice;2021;20189.9368
Česko;Plocha území (ha);Vinice;2020;20178.9209
Česko;Plocha území (ha);Vinice;2019;20141.3101
Česko;Plocha území (ha);Vinice;2018;20001.1339
Česko;Plocha území (ha);Vinice;2017;20007.709
Česko;Plocha území (ha);Vinice;2016;19834.6377
Česko;Plocha území (ha);Zahrada;2023;182634.8823
Česko;Plocha území (ha);Zahrada;2022;178877.3721
Česko;Plocha území (ha);Zahrada;2021;175346.1261
Česko;Plocha území (ha);Zahrada;2020;172055.6539
Česko;Plocha území (ha);Zahrada;2019;169286.2586
Česko;Plocha území (ha);Zahrada;2018;166350.2116
Česko;Plocha území (ha);Zahrada;2017;164814.8865
Česko;Plocha území (ha);Zahrada;2016;164024.1166
Česko;Plocha území (ha);Ovocný sad;2023;42423.7319
Česko;Plocha území (ha);Ovocný sad;2022;43040.9341
