Území,Ukazatel,Roky,value
Česko,Počet osob pod hranicí deprivace (v tis.),2019,554.2
Česko,Počet osob pod hranicí deprivace (v tis.),2020,518.52788
Česko,Počet osob pod hranicí deprivace (v tis.),2021,504.98919
Česko,Počet osob pod hranicí deprivace (v tis.),2022,494.85319
Česko,Počet osob pod hranicí deprivace (v tis.),2023,651.0
Česko,Počet osob pod hranicí deprivace (v tis.),2024,641.5
Česko,Míra deprivace (v %),2019,5.3
Česko,Míra deprivace (v %),2020,4.958
Česko,Míra deprivace (v %),2021,4.82
Česko,Míra deprivace (v %),2022,4.8
Česko,Míra deprivace (v %),2023,6.3
Česko,Míra deprivace (v %),2024,6.1
