Území,Ukazatel,Věk,Roky,value
Česko,Podíl osob pod hranicí deprivace,do 18 let,2019,6.1
Česko,Podíl osob pod hranicí deprivace,do 18 let,2020,6.565
Česko,Podíl osob pod hranicí deprivace,do 18 let,2021,6.98
Česko,Podíl osob pod hranicí deprivace,do 18 let,2022,6.4
Česko,Podíl osob pod hranicí deprivace,do 18 let,2023,8.9
Česko,Podíl osob pod hranicí deprivace,do 18 let,2024,9.0
Česko,Podíl osob pod hranicí deprivace,18-64,2019,5.0
Česko,Podíl osob pod hranicí deprivace,18-64,2020,4.678
Česko,Podíl osob pod hranicí deprivace,18-64,2021,4.51
Česko,Podíl osob pod hranicí deprivace,18-64,2022,4.4
Česko,Podíl osob pod hranicí deprivace,18-64,2023,5.6
Česko,Podíl osob pod hranicí deprivace,18-64,2024,5.5
Česko,Podíl osob pod hranicí deprivace,65 a více,2019,5.5
Česko,Podíl osob pod hranicí deprivace,65 a více,2020,4.236
Česko,Podíl osob pod hranicí deprivace,65 a více,2021,3.64
Česko,Podíl osob pod hranicí deprivace,65 a více,2022,4.6
Česko,Podíl osob pod hranicí deprivace,65 a více,2023,5.5
Česko,Podíl osob pod hranicí deprivace,65 a více,2024,5.2
Česko,Podíl osob pod hranicí deprivace,18-24,2019,4.4
Česko,Podíl osob pod hranicí deprivace,18-24,2020,4.969
Česko,Podíl osob pod hranicí deprivace,18-24,2021,4.34
Česko,Podíl osob pod hranicí deprivace,18-24,2022,4.5
Česko,Podíl osob pod hranicí deprivace,18-24,2023,7.0
Česko,Podíl osob pod hranicí deprivace,18-24,2024,6.4
Česko,Podíl osob pod hranicí deprivace,25-49,2019,4.5
Česko,Podíl osob pod hranicí deprivace,25-49,2020,4.355
Česko,Podíl osob pod hranicí deprivace,25-49,2021,4.46
Česko,Podíl osob pod hranicí deprivace,25-49,2022,3.9
Česko,Podíl osob pod hranicí deprivace,25-49,2023,5.0
Česko,Podíl osob pod hranicí deprivace,25-49,2024,5.1
Česko,Podíl osob pod hranicí deprivace,50-64,2019,6.3
Česko,Podíl osob pod hranicí deprivace,50-64,2020,5.202
Česko,Podíl osob pod hranicí deprivace,50-64,2021,4.67
Česko,Podíl osob pod hranicí deprivace,50-64,2022,5.3
Česko,Podíl osob pod hranicí deprivace,50-64,2023,6.3
Česko,Podíl osob pod hranicí deprivace,50-64,2024,5.8
