Území,Ukazatel,Právní forma užívání bytu,Roky,value
Česko,Podíl osob pod hranicí deprivace,Vlastnictví a bezplatné užívání,2019,3.2
Česko,Podíl osob pod hranicí deprivace,Vlastnictví a bezplatné užívání,2020,2.607
Česko,Podíl osob pod hranicí deprivace,Vlastnictví a bezplatné užívání,2021,2.3
Česko,Podíl osob pod hranicí deprivace,Vlastnictví a bezplatné užívání,2022,2.4
Česko,Podíl osob pod hranicí deprivace,Vlastnictví a bezplatné užívání,2023,3.1
Česko,Podíl osob pod hranicí deprivace,Vlastnictví a bezplatné užívání,2024,2.7
Česko,Podíl osob pod hranicí deprivace,Nájemní ,2019,15.7
Česko,Podíl osob pod hranicí deprivace,Nájemní ,2020,16.648
Česko,Podíl osob pod hranicí deprivace,Nájemní ,2021,17.01
Česko,Podíl osob pod hranicí deprivace,Nájemní ,2022,16.2
Česko,Podíl osob pod hranicí deprivace,Nájemní ,2023,19.5
Česko,Podíl osob pod hranicí deprivace,Nájemní ,2024,20.1
