Ukazatel;Rok sčítání;Území;Rodinný stav;Pohlaví;value
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Celkem;Celkem;10524167
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Celkem;Ženy;5337619
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Celkem;Muži;5186548
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Svobodní/svobodné;Celkem;4508591
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Svobodní/svobodné;Ženy;2031554
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Svobodní/svobodné;Muži;2477037
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Ženatí/vdané;Celkem;4007342
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Ženatí/vdané;Ženy;1997604
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Ženatí/vdané;Muži;2009738
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Rozvedení/rozvedené;Celkem;1233112
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Rozvedení/rozvedené;Ženy;688825
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Rozvedení/rozvedené;Muži;544287
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Ovdovělí/ovdovělé;Celkem;720575
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Ovdovělí/ovdovělé;Ženy;595672
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Ovdovělí/ovdovělé;Muži;124903
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Registrované partnerství trvající;Celkem;5268
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Registrované partnerství trvající;Ženy;2051
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Registrované partnerství trvající;Muži;3217
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Nezjištěno;Celkem;47815
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Nezjištěno;Ženy;21203
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Nezjištěno;Muži;26612
