Ukazatel;Rok sčítání;Území;Státní občanství;Pohlaví;value
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Obyvatelstvo celkem;Celkem;10524167
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Obyvatelstvo celkem;Ženy;5337619
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Obyvatelstvo celkem;Muži;5186548
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Obyvatelstvo s českým státním občanstvím;Celkem;9998510
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Obyvatelstvo s českým státním občanstvím;Ženy;5099503
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Obyvatelstvo s českým státním občanstvím;Muži;4899007
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Obyvatelstvo s cizím státním občanstvím;Celkem;496250
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Obyvatelstvo s cizím státním občanstvím;Ženy;224913
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Obyvatelstvo s cizím státním občanstvím;Muži;271337
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Obyvatelstvo celkem;Celkem;1301432
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Obyvatelstvo celkem;Ženy;667983
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Obyvatelstvo celkem;Muži;633449
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Obyvatelstvo s českým státním občanstvím;Celkem;1109566
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Obyvatelstvo s českým státním občanstvím;Ženy;577172
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Obyvatelstvo s českým státním občanstvím;Muži;532394
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Obyvatelstvo s cizím státním občanstvím;Celkem;180387
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Obyvatelstvo s cizím státním občanstvím;Ženy;85371
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Obyvatelstvo s cizím státním občanstvím;Muži;95016
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Obyvatelstvo celkem;Celkem;1415463
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Obyvatelstvo celkem;Ženy;712922
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Obyvatelstvo celkem;Muži;702541
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Obyvatelstvo s českým státním občanstvím;Celkem;1337760
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Obyvatelstvo s českým státním občanstvím;Ženy;679031
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Obyvatelstvo s českým státním občanstvím;Muži;658729
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Obyvatelstvo s cizím státním občanstvím;Celkem;74540
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Obyvatelstvo s cizím státním občanstvím;Ženy;32587
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Obyvatelstvo s cizím státním občanstvím;Muži;41953
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Obyvatelstvo celkem;Celkem;631803
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Obyvatelstvo celkem;Ženy;319635
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Obyvatelstvo celkem;Muži;312168
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Obyvatelstvo s českým státním občanstvím;Celkem;611955
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Obyvatelstvo s českým státním občanstvím;Ženy;310941
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Obyvatelstvo s českým státním občanstvím;Muži;301014
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Obyvatelstvo s cizím státním občanstvím;Celkem;19128
