Ukazatel,Rok sčítání,Pohlaví,Území,Bydliště v době narození,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Obyvatelstvo celkem,10524167
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,V obci obvyklého pobytu,5304731
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,V jiné obci okresu,1535916
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,V jiném okrese kraje,865893
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,V jiném kraji,1801354
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,"V ČR, místo nezjištěno",336645
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,V zahraničí,679072
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,z toho ve Slovenské republice,245710
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Nezjištěno,556
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Obyvatelstvo celkem,1301432
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,V obci obvyklého pobytu,699027
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,V jiné obci okresu,0
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,V jiném okrese kraje,0
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,V jiném kraji,362861
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,"V ČR, místo nezjištěno",36942
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,V zahraničí,202470
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,z toho ve Slovenské republice,41863
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Nezjištěno,132
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Obyvatelstvo celkem,1415463
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,V obci obvyklého pobytu,588701
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,V jiné obci okresu,200965
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,V jiném okrese kraje,103851
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,V jiném kraji,386199
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,"V ČR, místo nezjištěno",44550
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,V zahraničí,91124
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,z toho ve Slovenské republice,32655
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Nezjištěno,73
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Obyvatelstvo celkem,631803
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,V obci obvyklého pobytu,302741
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,V jiné obci okresu,119628
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,V jiném okrese kraje,66060
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,V jiném kraji,95630
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,"V ČR, místo nezjištěno",20762
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,V zahraničí,26959
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,z toho ve Slovenské republice,9724
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Nezjištěno,23
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Obyvatelstvo celkem,581436
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,V obci obvyklého pobytu,278528
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,V jiné obci okresu,77137
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,V jiném okrese kraje,86149
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,V jiném kraji,80013
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,"V ČR, místo nezjištěno",19568
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,V zahraničí,39979
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,z toho ve Slovenské republice,12628
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Nezjištěno,62
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Obyvatelstvo celkem,279103
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,V obci obvyklého pobytu,129091
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,V jiné obci okresu,46603
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,V jiném okrese kraje,17960
