Ukazatel;Rok sčítání;Pohlaví;Území;Bydliště rok před sčítáním;value
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Obyvatelstvo celkem;10524167
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;V obci obvyklého pobytu;9973254
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;V jiné obci okresu;131718
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;V jiném okrese kraje;78910
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;V jiném kraji;137738
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;V ČR, místo nezjištěno;3433
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;V zahraničí;51883
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;z toho ve Slovenské republice;4054
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Nezjištěno;38045
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Obyvatelstvo celkem;1301432
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;V obci obvyklého pobytu;1236317
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;V jiné obci okresu;0
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;V jiném okrese kraje;0
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;V jiném kraji;26254
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;V ČR, místo nezjištěno;1892
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;V zahraničí;13121
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;z toho ve Slovenské republice;732
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Nezjištěno;9416
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Obyvatelstvo celkem;1415463
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;V obci obvyklého pobytu;1324216
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;V jiné obci okresu;20239
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;V jiném okrese kraje;11075
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;V jiném kraji;32898
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;V ČR, místo nezjištěno;434
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;V zahraničí;6346
