Ukazatel,Rok sčítání,Pohlaví,Území,Národnost,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Obyvatelstvo celkem,10524167
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Česká,6033014
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Moravská,359621
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Slezská,12451
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Slovenská,96041
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Německá,9128
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Polská,26802
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Romská,4458
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Ruská,25296
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Ukrajinská,78068
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Vietnamská,31469
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Neuvedena,3321058
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Obyvatelstvo celkem,1301432
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Česká,755444
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Moravská,2861
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Slezská,289
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Slovenská,21562
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Německá,1219
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Polská,1955
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Romská,313
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Ruská,15328
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Ukrajinská,27881
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Vietnamská,7740
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Neuvedena,369317
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Obyvatelstvo celkem,1415463
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Česká,877135
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Moravská,1994
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Slezská,129
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Slovenská,14180
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Německá,593
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Polská,1363
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Romská,430
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Ruská,3180
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Ukrajinská,13748
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Vietnamská,3219
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Neuvedena,457574
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Obyvatelstvo celkem,631803
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Česká,397953
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Moravská,1192
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Slezská,45
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Slovenská,3630
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Německá,367
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Polská,274
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Romská,241
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Ruská,436
