Ukazatel;Rok sčítání;Pohlaví;Území;Mateřský jazyk;value
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Obyvatelstvo celkem;10524167
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Český;8996475
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Moravský;16523
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Slovenský;150738
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Polský;30183
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Německý;10151
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Romský;4280
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Ruský;59560
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Ukrajinský;88873
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Vietnamský;43822
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Maďarský;8533
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Anglický;13997
Počet obyvatel (obvyklý pobyt);2021;Celkem;Česká republika;Nezjištěno;759394
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Obyvatelstvo celkem;1301432
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Český;991200
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Moravský;139
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Slovenský;30224
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Polský;2607
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Německý;1754
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Romský;356
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Ruský;33546
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Ukrajinský;30988
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Vietnamský;10997
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Maďarský;1841
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Anglický;7529
Počet obyvatel (obvyklý pobyt);2021;Celkem;Hlavní město Praha;Nezjištěno;100661
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Obyvatelstvo celkem;1415463
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Český;1221454
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Moravský;94
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Slovenský;21599
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Polský;2210
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Německý;716
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Romský;445
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Ruský;7870
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Ukrajinský;15869
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Vietnamský;4575
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Maďarský;1299
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Anglický;1587
Počet obyvatel (obvyklý pobyt);2021;Celkem;Středočeský kraj;Nezjištěno;98617
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihočeský kraj;Obyvatelstvo celkem;631803
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihočeský kraj;Český;560214
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihočeský kraj;Moravský;65
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihočeský kraj;Slovenský;5880
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihočeský kraj;Polský;470
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihočeský kraj;Německý;570
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihočeský kraj;Romský;248
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihočeský kraj;Ruský;1373
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihočeský kraj;Ukrajinský;3612
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihočeský kraj;Vietnamský;2455
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihočeský kraj;Maďarský;359
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihočeský kraj;Anglický;448
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihočeský kraj;Nezjištěno;43449
Počet obyvatel (obvyklý pobyt);2021;Celkem;Plzeňský kraj;Obyvatelstvo celkem;581436
Počet obyvatel (obvyklý pobyt);2021;Celkem;Plzeňský kraj;Český;498888
Počet obyvatel (obvyklý pobyt);2021;Celkem;Plzeňský kraj;Moravský;20
Počet obyvatel (obvyklý pobyt);2021;Celkem;Plzeňský kraj;Slovenský;7684
Počet obyvatel (obvyklý pobyt);2021;Celkem;Plzeňský kraj;Polský;672
Počet obyvatel (obvyklý pobyt);2021;Celkem;Plzeňský kraj;Německý;710
Počet obyvatel (obvyklý pobyt);2021;Celkem;Plzeňský kraj;Romský;239
