Ukazatel,Rok sčítání,Území,Ekonomická aktivita,value
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Obyvatelstvo celkem,10524167
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Pracovní síla,5563258
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Zaměstnaní,5290071
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Pracující důchodci,565811
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Osoby na mateřské dovolené,40097
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Nezaměstnaní,273187
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Mimo pracovní sílu,4830885
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Nepracující důchodci,2281067
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Osoby na rodičovské dovolené,218485
Počet obyvatel (obvyklý pobyt),2021,Česká republika,"Žáci, studenti",1465320
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Nezjištěno,130024
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Obyvatelstvo celkem,1301432
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Pracovní síla,766484
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Zaměstnaní,733840
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Pracující důchodci,76668
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Osoby na mateřské dovolené,5822
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Nezaměstnaní,32644
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Mimo pracovní sílu,512729
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Nepracující důchodci,209297
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Osoby na rodičovské dovolené,23920
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,"Žáci, studenti",167620
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Nezjištěno,22219
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Obyvatelstvo celkem,1415463
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Pracovní síla,758515
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Zaměstnaní,726887
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Pracující důchodci,74609
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Osoby na mateřské dovolené,5815
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Nezaměstnaní,31628
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Mimo pracovní sílu,642233
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Nepracující důchodci,274052
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Osoby na rodičovské dovolené,30872
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,"Žáci, studenti",211476
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Nezjištěno,14715
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Obyvatelstvo celkem,631803
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Pracovní síla,327520
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Zaměstnaní,314154
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Pracující důchodci,35759
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Osoby na mateřské dovolené,2404
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Nezaměstnaní,13366
