Ukazatel,Rok sčítání,Pohlaví,Ekonomická aktivita,Území,Postavení v zaměstnání,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Česká republika,Zaměstnaní celkem,5290071
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Česká republika,Zaměstnanci,4027988
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Česká republika,Zaměstnavatelé,53454
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Česká republika,Osoby pracující na vlastní účet,718346
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Česká republika,Nezjištěno,490283
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Hlavní město Praha,Zaměstnaní celkem,733840
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Hlavní město Praha,Zaměstnanci,517049
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Hlavní město Praha,Zaměstnavatelé,4261
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Hlavní město Praha,Osoby pracující na vlastní účet,135918
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Hlavní město Praha,Nezjištěno,76612
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Středočeský kraj,Zaměstnaní celkem,726887
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Středočeský kraj,Zaměstnanci,552556
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Středočeský kraj,Zaměstnavatelé,7315
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Středočeský kraj,Osoby pracující na vlastní účet,107754
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Středočeský kraj,Nezjištěno,59262
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Jihočeský kraj,Zaměstnaní celkem,314154
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Jihočeský kraj,Zaměstnanci,235802
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Jihočeský kraj,Zaměstnavatelé,3539
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Jihočeský kraj,Osoby pracující na vlastní účet,42230
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Jihočeský kraj,Nezjištěno,32583
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Plzeňský kraj,Zaměstnaní celkem,295810
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Plzeňský kraj,Zaměstnanci,226188
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Plzeňský kraj,Zaměstnavatelé,2935
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Plzeňský kraj,Osoby pracující na vlastní účet,34339
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Plzeňský kraj,Nezjištěno,32348
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Karlovarský kraj,Zaměstnaní celkem,130956
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Karlovarský kraj,Zaměstnanci,91750
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Karlovarský kraj,Zaměstnavatelé,1543
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Karlovarský kraj,Osoby pracující na vlastní účet,15419
