Ukazatel;Rok sčítání;Ekonomická aktivita;Pohlaví;Území;Hlavní třídy zaměstnání;value
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Zaměstnaní celkem;5290071
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Zákonodárci a řídící pracovníci;264676
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Specialisté;991028
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Techničtí a odborní pracovníci;858593
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Úředníci;366646
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Pracovníci ve službách a prodeji;678471
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;52986
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Řemeslníci a opraváři;610941
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Obsluha strojů a zařízení, montéři;645114
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Pomocní a nekvalifikovaní pracovníci;228405
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Zaměstnanci v ozbrojených silách;21970
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Nezjištěno;571241
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Zaměstnaní celkem;733840
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Zákonodárci a řídící pracovníci;49052
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Specialisté;226007
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Techničtí a odborní pracovníci;134179
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Úředníci;59550
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Pracovníci ve službách a prodeji;84095
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2142
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Řemeslníci a opraváři;40524
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Obsluha strojů a zařízení, montéři;31941
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Pomocní a nekvalifikovaní pracovníci;20857
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Zaměstnanci v ozbrojených silách;1213
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Nezjištěno;84280
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Zaměstnaní celkem;726887
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Zákonodárci a řídící pracovníci;41617
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Specialisté;134418
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Techničtí a odborní pracovníci;125114
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Úředníci;59422
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Pracovníci ve službách a prodeji;90974
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;7346
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Řemeslníci a opraváři;75606
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Obsluha strojů a zařízení, montéři;82752
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Pomocní a nekvalifikovaní pracovníci;27217
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Zaměstnanci v ozbrojených silách;2996
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Nezjištěno;79425
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Zaměstnaní celkem;314154
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Zákonodárci a řídící pracovníci;14266
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Specialisté;48352
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Techničtí a odborní pracovníci;48507
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Úředníci;18916
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Pracovníci ve službách a prodeji;41653
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;5455
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Řemeslníci a opraváři;42934
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Obsluha strojů a zařízení, montéři;42467
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Pomocní a nekvalifikovaní pracovníci;14913
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Zaměstnanci v ozbrojených silách;2351
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Nezjištěno;34340
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Zaměstnaní celkem;295810
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Zákonodárci a řídící pracovníci;12650
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Specialisté;46008
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Techničtí a odborní pracovníci;46142
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Úředníci;20657
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Pracovníci ve službách a prodeji;36767
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;3414
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Řemeslníci a opraváři;38215
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Obsluha strojů a zařízení, montéři;43978
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Pomocní a nekvalifikovaní pracovníci;13068
