Území podle okresů;Ukazatel;Rok sčítání;value
Česká republika;Obyvatelstvo;2011;10436560.0
Česká republika;Obyvatelstvo;2021;10524167.0
Praha;Obyvatelstvo;2011;
Praha;Obyvatelstvo;2021;1301432.0
Střední Čechy;Obyvatelstvo;2011;
Střední Čechy;Obyvatelstvo;2021;1415463.0
Jihozápad;Obyvatelstvo;2011;
Jihozápad;Obyvatelstvo;2021;1213239.0
Severozápad;Obyvatelstvo;2011;
Severozápad;Obyvatelstvo;2021;1068201.0
Severovýchod;Obyvatelstvo;2011;
Severovýchod;Obyvatelstvo;2021;1483560.0
Jihovýchod;Obyvatelstvo;2011;
Jihovýchod;Obyvatelstvo;2021;1695312.0
Střední Morava;Obyvatelstvo;2011;
Střední Morava;Obyvatelstvo;2021;1184119.0
Moravskoslezsko;Obyvatelstvo;2011;
Moravskoslezsko;Obyvatelstvo;2021;1162841.0
