Rok sčítání;Ukazatel;Území podle okresů;Pohlaví;Věkové skupiny (desetiletky);value
2021;Obyvatelstvo;Česká republika;celkem;celkem;10524167
2021;Obyvatelstvo;Česká republika;celkem;0 - 9 let;1110656
2021;Obyvatelstvo;Česká republika;celkem;10 - 19 let;1070940
2021;Obyvatelstvo;Česká republika;celkem;20 - 29 let;1078231
2021;Obyvatelstvo;Česká republika;celkem;30 - 39 let;1409650
2021;Obyvatelstvo;Česká republika;celkem;40 - 49 let;1735533
2021;Obyvatelstvo;Česká republika;muž;celkem;5186548
2021;Obyvatelstvo;Česká republika;muž;0 - 9 let;568961
2021;Obyvatelstvo;Česká republika;muž;10 - 19 let;548907
2021;Obyvatelstvo;Česká republika;muž;20 - 29 let;555938
2021;Obyvatelstvo;Česká republika;muž;30 - 39 let;728753
2021;Obyvatelstvo;Česká republika;muž;40 - 49 let;893989
2021;Obyvatelstvo;Česká republika;žena;celkem;5337619
2021;Obyvatelstvo;Česká republika;žena;0 - 9 let;541695
2021;Obyvatelstvo;Česká republika;žena;10 - 19 let;522033
2021;Obyvatelstvo;Česká republika;žena;20 - 29 let;522293
2021;Obyvatelstvo;Česká republika;žena;30 - 39 let;680897
2021;Obyvatelstvo;Česká republika;žena;40 - 49 let;841544
2021;Obyvatelstvo;Praha;celkem;celkem;1301432
2021;Obyvatelstvo;Praha;celkem;0 - 9 let;136700
2021;Obyvatelstvo;Praha;celkem;10 - 19 let;113535
2021;Obyvatelstvo;Praha;celkem;20 - 29 let;164962
2021;Obyvatelstvo;Praha;celkem;30 - 39 let;221565
2021;Obyvatelstvo;Praha;celkem;40 - 49 let;217127
2021;Obyvatelstvo;Praha;muž;celkem;633449
2021;Obyvatelstvo;Praha;muž;0 - 9 let;69980
2021;Obyvatelstvo;Praha;muž;10 - 19 let;58120
2021;Obyvatelstvo;Praha;muž;20 - 29 let;81217
2021;Obyvatelstvo;Praha;muž;30 - 39 let;112975
2021;Obyvatelstvo;Praha;muž;40 - 49 let;111429
2021;Obyvatelstvo;Praha;žena;celkem;667983
2021;Obyvatelstvo;Praha;žena;0 - 9 let;66720
2021;Obyvatelstvo;Praha;žena;10 - 19 let;55415
2021;Obyvatelstvo;Praha;žena;20 - 29 let;83745
2021;Obyvatelstvo;Praha;žena;30 - 39 let;108590
2021;Obyvatelstvo;Praha;žena;40 - 49 let;105698
2021;Obyvatelstvo;Střední Čechy;celkem;celkem;1415463
2021;Obyvatelstvo;Střední Čechy;celkem;0 - 9 let;166508
2021;Obyvatelstvo;Střední Čechy;celkem;10 - 19 let;155217
2021;Obyvatelstvo;Střední Čechy;celkem;20 - 29 let;128695
2021;Obyvatelstvo;Střední Čechy;celkem;30 - 39 let;190289
2021;Obyvatelstvo;Střední Čechy;celkem;40 - 49 let;252601
2021;Obyvatelstvo;Střední Čechy;muž;celkem;702541
2021;Obyvatelstvo;Střední Čechy;muž;0 - 9 let;85181
2021;Obyvatelstvo;Střední Čechy;muž;10 - 19 let;79948
2021;Obyvatelstvo;Střední Čechy;muž;20 - 29 let;66849
2021;Obyvatelstvo;Střední Čechy;muž;30 - 39 let;95928
2021;Obyvatelstvo;Střední Čechy;muž;40 - 49 let;130174
2021;Obyvatelstvo;Střední Čechy;žena;celkem;712922
2021;Obyvatelstvo;Střední Čechy;žena;0 - 9 let;81327
2021;Obyvatelstvo;Střední Čechy;žena;10 - 19 let;75269
2021;Obyvatelstvo;Střední Čechy;žena;20 - 29 let;61846
2021;Obyvatelstvo;Střední Čechy;žena;30 - 39 let;94361
2021;Obyvatelstvo;Střední Čechy;žena;40 - 49 let;122427
2021;Obyvatelstvo;Jihozápad;celkem;celkem;1213239
2021;Obyvatelstvo;Jihozápad;celkem;0 - 9 let;125511
2021;Obyvatelstvo;Jihozápad;celkem;10 - 19 let;123299
2021;Obyvatelstvo;Jihozápad;celkem;20 - 29 let;121231
2021;Obyvatelstvo;Jihozápad;celkem;30 - 39 let;156924
2021;Obyvatelstvo;Jihozápad;celkem;40 - 49 let;197696
2021;Obyvatelstvo;Jihozápad;muž;celkem;601047
2021;Obyvatelstvo;Jihozápad;muž;0 - 9 let;64322
2021;Obyvatelstvo;Jihozápad;muž;10 - 19 let;62970
2021;Obyvatelstvo;Jihozápad;muž;20 - 29 let;63078
2021;Obyvatelstvo;Jihozápad;muž;30 - 39 let;81521
2021;Obyvatelstvo;Jihozápad;muž;40 - 49 let;101377
2021;Obyvatelstvo;Jihozápad;žena;celkem;612192
2021;Obyvatelstvo;Jihozápad;žena;0 - 9 let;61189
2021;Obyvatelstvo;Jihozápad;žena;10 - 19 let;60329
2021;Obyvatelstvo;Jihozápad;žena;20 - 29 let;58153
2021;Obyvatelstvo;Jihozápad;žena;30 - 39 let;75403
2021;Obyvatelstvo;Jihozápad;žena;40 - 49 let;96319
2021;Obyvatelstvo;Severozápad;celkem;celkem;1068201
2021;Obyvatelstvo;Severozápad;celkem;0 - 9 let;107478
2021;Obyvatelstvo;Severozápad;celkem;10 - 19 let;116017
