Ukazatel;Rok sčítání;Území;Obydlenost domu;value
Počet domů;2021;Česká republika;Domy celkem;2317276
Počet domů;2021;Česká republika;Obydlené;1952668
Počet domů;2021;Česká republika;Neobydlené;364608
Počet domů;2021;Hlavní město Praha;Domy celkem;106154
Počet domů;2021;Hlavní město Praha;Obydlené;98217
Počet domů;2021;Hlavní město Praha;Neobydlené;7937
Počet domů;2021;Středočeský kraj;Domy celkem;398487
Počet domů;2021;Středočeský kraj;Obydlené;331341
Počet domů;2021;Středočeský kraj;Neobydlené;67146
Počet domů;2021;Jihočeský kraj;Domy celkem;174815
Počet domů;2021;Jihočeský kraj;Obydlené;133404
Počet domů;2021;Jihočeský kraj;Neobydlené;41411
Počet domů;2021;Plzeňský kraj;Domy celkem;142762
Počet domů;2021;Plzeňský kraj;Obydlené;115802
Počet domů;2021;Plzeňský kraj;Neobydlené;26960
Počet domů;2021;Karlovarský kraj;Domy celkem;48308
Počet domů;2021;Karlovarský kraj;Obydlené;42406
Počet domů;2021;Karlovarský kraj;Neobydlené;5902
Počet domů;2021;Ústecký kraj;Domy celkem;144024
Počet domů;2021;Ústecký kraj;Obydlené;123776
Počet domů;2021;Ústecký kraj;Neobydlené;20248
Počet domů;2021;Liberecký kraj;Domy celkem;98458
Počet domů;2021;Liberecký kraj;Obydlené;79493
Počet domů;2021;Liberecký kraj;Neobydlené;18965
Počet domů;2021;Královéhradecký kraj;Domy celkem;142677
Počet domů;2021;Královéhradecký kraj;Obydlené;116863
Počet domů;2021;Královéhradecký kraj;Neobydlené;25814
Počet domů;2021;Pardubický kraj;Domy celkem;137176
Počet domů;2021;Pardubický kraj;Obydlené;113293
Počet domů;2021;Pardubický kraj;Neobydlené;23883
Počet domů;2021;Kraj Vysočina;Domy celkem;143143
Počet domů;2021;Kraj Vysočina;Obydlené;114230
Počet domů;2021;Kraj Vysočina;Neobydlené;28913
Počet domů;2021;Jihomoravský kraj;Domy celkem;276562
Počet domů;2021;Jihomoravský kraj;Obydlené;241367
Počet domů;2021;Jihomoravský kraj;Neobydlené;35195
Počet domů;2021;Olomoucký kraj;Domy celkem;145651
Počet domů;2021;Olomoucký kraj;Obydlené;126126
Počet domů;2021;Olomoucký kraj;Neobydlené;19525
Počet domů;2021;Zlínský kraj;Domy celkem;147205
Počet domů;2021;Zlínský kraj;Obydlené;125469
Počet domů;2021;Zlínský kraj;Neobydlené;21736
Počet domů;2021;Moravskoslezský kraj;Domy celkem;211854
Počet domů;2021;Moravskoslezský kraj;Obydlené;190881
Počet domů;2021;Moravskoslezský kraj;Neobydlené;20973
