Ukazatel;Rok sčítání;Území;Období výstavby domu;value
Počet obydlených domů;2021;Česká republika;Obydlené domy celkem;1952668
Počet obydlených domů;2021;Česká republika;1919 a dříve;195896
Počet obydlených domů;2021;Česká republika;1920 - 1945;279456
Počet obydlených domů;2021;Česká republika;1946 - 1970;300552
Počet obydlených domů;2021;Česká republika;1971 - 1980;257936
Počet obydlených domů;2021;Česká republika;1981 - 1990;205033
Počet obydlených domů;2021;Česká republika;1991 - 2000;171954
Počet obydlených domů;2021;Česká republika;2001 - 2010;254774
Počet obydlených domů;2021;Česká republika;2011 - 2015;94761
Počet obydlených domů;2021;Česká republika;2016 a později;108849
Počet obydlených domů;2021;Česká republika;Nezjištěno;83457
Počet obydlených domů;2021;Hlavní město Praha;Obydlené domy celkem;98217
Počet obydlených domů;2021;Hlavní město Praha;1919 a dříve;9308
Počet obydlených domů;2021;Hlavní město Praha;1920 - 1945;24625
Počet obydlených domů;2021;Hlavní město Praha;1946 - 1970;12667
Počet obydlených domů;2021;Hlavní město Praha;1971 - 1980;9888
Počet obydlených domů;2021;Hlavní město Praha;1981 - 1990;8356
Počet obydlených domů;2021;Hlavní město Praha;1991 - 2000;9113
Počet obydlených domů;2021;Hlavní město Praha;2001 - 2010;13414
Počet obydlených domů;2021;Hlavní město Praha;2011 - 2015;4040
Počet obydlených domů;2021;Hlavní město Praha;2016 a později;4292
Počet obydlených domů;2021;Hlavní město Praha;Nezjištěno;2514
Počet obydlených domů;2021;Středočeský kraj;Obydlené domy celkem;331341
Počet obydlených domů;2021;Středočeský kraj;1919 a dříve;32071
Počet obydlených domů;2021;Středočeský kraj;1920 - 1945;45299
Počet obydlených domů;2021;Středočeský kraj;1946 - 1970;39048
Počet obydlených domů;2021;Středočeský kraj;1971 - 1980;35818
Počet obydlených domů;2021;Středočeský kraj;1981 - 1990;28182
Počet obydlených domů;2021;Středočeský kraj;1991 - 2000;27562
Počet obydlených domů;2021;Středočeský kraj;2001 - 2010;57383
Počet obydlených domů;2021;Středočeský kraj;2011 - 2015;21950
Počet obydlených domů;2021;Středočeský kraj;2016 a později;26705
Počet obydlených domů;2021;Středočeský kraj;Nezjištěno;17323
