Ukazatel;Rok sčítání;Území;Vodovod;value
Počet obydlených domů;2021;Česká republika;Obydlené domy celkem;1952668
Počet obydlených domů;2021;Česká republika;Vodovod v domě;1911566
Počet obydlených domů;2021;Česká republika;Pouze z veřejné sítě;1573089
Počet obydlených domů;2021;Česká republika;Pouze ze soukromého zdroje;208533
Počet obydlených domů;2021;Česká republika;Z veřejné sítě i soukromého zdroje;129944
Počet obydlených domů;2021;Hlavní město Praha;Obydlené domy celkem;98217
Počet obydlených domů;2021;Hlavní město Praha;Vodovod v domě;96885
Počet obydlených domů;2021;Hlavní město Praha;Pouze z veřejné sítě;92778
Počet obydlených domů;2021;Hlavní město Praha;Pouze ze soukromého zdroje;807
Počet obydlených domů;2021;Hlavní město Praha;Z veřejné sítě i soukromého zdroje;3300
Počet obydlených domů;2021;Středočeský kraj;Obydlené domy celkem;331341
Počet obydlených domů;2021;Středočeský kraj;Vodovod v domě;321793
Počet obydlených domů;2021;Středočeský kraj;Pouze z veřejné sítě;234980
Počet obydlených domů;2021;Středočeský kraj;Pouze ze soukromého zdroje;55365
Počet obydlených domů;2021;Středočeský kraj;Z veřejné sítě i soukromého zdroje;31448
Počet obydlených domů;2021;Jihočeský kraj;Obydlené domy celkem;133404
Počet obydlených domů;2021;Jihočeský kraj;Vodovod v domě;130170
Počet obydlených domů;2021;Jihočeský kraj;Pouze z veřejné sítě;101776
Počet obydlených domů;2021;Jihočeský kraj;Pouze ze soukromého zdroje;18447
Počet obydlených domů;2021;Jihočeský kraj;Z veřejné sítě i soukromého zdroje;9947
Počet obydlených domů;2021;Plzeňský kraj;Obydlené domy celkem;115802
Počet obydlených domů;2021;Plzeňský kraj;Vodovod v domě;112762
Počet obydlených domů;2021;Plzeňský kraj;Pouze z veřejné sítě;80594
Počet obydlených domů;2021;Plzeňský kraj;Pouze ze soukromého zdroje;23362
Počet obydlených domů;2021;Plzeňský kraj;Z veřejné sítě i soukromého zdroje;8806
Počet obydlených domů;2021;Karlovarský kraj;Obydlené domy celkem;42406
Počet obydlených domů;2021;Karlovarský kraj;Vodovod v domě;41261
Počet obydlených domů;2021;Karlovarský kraj;Pouze z veřejné sítě;36260
Počet obydlených domů;2021;Karlovarský kraj;Pouze ze soukromého zdroje;3889
Počet obydlených domů;2021;Karlovarský kraj;Z veřejné sítě i soukromého zdroje;1112
Počet obydlených domů;2021;Ústecký kraj;Obydlené domy celkem;123776
Počet obydlených domů;2021;Ústecký kraj;Vodovod v domě;120764
Počet obydlených domů;2021;Ústecký kraj;Pouze z veřejné sítě;110754
Počet obydlených domů;2021;Ústecký kraj;Pouze ze soukromého zdroje;6409
Počet obydlených domů;2021;Ústecký kraj;Z veřejné sítě i soukromého zdroje;3601
Počet obydlených domů;2021;Liberecký kraj;Obydlené domy celkem;79493
Počet obydlených domů;2021;Liberecký kraj;Vodovod v domě;77188
Počet obydlených domů;2021;Liberecký kraj;Pouze z veřejné sítě;63529
Počet obydlených domů;2021;Liberecký kraj;Pouze ze soukromého zdroje;10185
Počet obydlených domů;2021;Liberecký kraj;Z veřejné sítě i soukromého zdroje;3474
Počet obydlených domů;2021;Královéhradecký kraj;Obydlené domy celkem;116863
Počet obydlených domů;2021;Královéhradecký kraj;Vodovod v domě;114306
Počet obydlených domů;2021;Královéhradecký kraj;Pouze z veřejné sítě;92704
Počet obydlených domů;2021;Královéhradecký kraj;Pouze ze soukromého zdroje;13310
Počet obydlených domů;2021;Královéhradecký kraj;Z veřejné sítě i soukromého zdroje;8292
Počet obydlených domů;2021;Pardubický kraj;Obydlené domy celkem;113293
Počet obydlených domů;2021;Pardubický kraj;Vodovod v domě;111258
Počet obydlených domů;2021;Pardubický kraj;Pouze z veřejné sítě;97824
Počet obydlených domů;2021;Pardubický kraj;Pouze ze soukromého zdroje;6769
Počet obydlených domů;2021;Pardubický kraj;Z veřejné sítě i soukromého zdroje;6665
Počet obydlených domů;2021;Kraj Vysočina;Obydlené domy celkem;114230
Počet obydlených domů;2021;Kraj Vysočina;Vodovod v domě;112267
Počet obydlených domů;2021;Kraj Vysočina;Pouze z veřejné sítě;91405
Počet obydlených domů;2021;Kraj Vysočina;Pouze ze soukromého zdroje;11745
Počet obydlených domů;2021;Kraj Vysočina;Z veřejné sítě i soukromého zdroje;9117
Počet obydlených domů;2021;Jihomoravský kraj;Obydlené domy celkem;241367
Počet obydlených domů;2021;Jihomoravský kraj;Vodovod v domě;237352
Počet obydlených domů;2021;Jihomoravský kraj;Pouze z veřejné sítě;208584
Počet obydlených domů;2021;Jihomoravský kraj;Pouze ze soukromého zdroje;13857
Počet obydlených domů;2021;Jihomoravský kraj;Z veřejné sítě i soukromého zdroje;14911
Počet obydlených domů;2021;Olomoucký kraj;Obydlené domy celkem;126126
Počet obydlených domů;2021;Olomoucký kraj;Vodovod v domě;124003
Počet obydlených domů;2021;Olomoucký kraj;Pouze z veřejné sítě;96846
Počet obydlených domů;2021;Olomoucký kraj;Pouze ze soukromého zdroje;15058
Počet obydlených domů;2021;Olomoucký kraj;Z veřejné sítě i soukromého zdroje;12099
Počet obydlených domů;2021;Zlínský kraj;Obydlené domy celkem;125469
