Ukazatel;Rok sčítání;Území;Počet nadzemních podlaží;value
Počet obydlených domů;2021;Česká republika;Obydlené domy celkem;1952668
Počet obydlených domů;2021;Česká republika;1;671780
Počet obydlených domů;2021;Česká republika;2;987153
Počet obydlených domů;2021;Česká republika;3;105494
Počet obydlených domů;2021;Česká republika;4;52113
Počet obydlených domů;2021;Česká republika;5;26474
Počet obydlených domů;2021;Česká republika;6;13693
Počet obydlených domů;2021;Česká republika;7;7425
Počet obydlených domů;2021;Česká republika;8;16985
Počet obydlených domů;2021;Česká republika;9 a více;9359
Počet obydlených domů;2021;Česká republika;Nezjištěno;62192
Počet obydlených domů;2021;Hlavní město Praha;Obydlené domy celkem;98217
Počet obydlených domů;2021;Hlavní město Praha;1;12364
Počet obydlených domů;2021;Hlavní město Praha;2;41782
Počet obydlených domů;2021;Hlavní město Praha;3;12760
Počet obydlených domů;2021;Hlavní město Praha;4;7715
Počet obydlených domů;2021;Hlavní město Praha;5;7341
Počet obydlených domů;2021;Hlavní město Praha;6;4840
Počet obydlených domů;2021;Hlavní město Praha;7;2835
Počet obydlených domů;2021;Hlavní město Praha;8;3290
Počet obydlených domů;2021;Hlavní město Praha;9 a více;2848
Počet obydlených domů;2021;Hlavní město Praha;Nezjištěno;2442
Počet obydlených domů;2021;Středočeský kraj;Obydlené domy celkem;331341
Počet obydlených domů;2021;Středočeský kraj;1;129730
Počet obydlených domů;2021;Středočeský kraj;2;167491
Počet obydlených domů;2021;Středočeský kraj;3;11365
Počet obydlených domů;2021;Středočeský kraj;4;4304
Počet obydlených domů;2021;Středočeský kraj;5;1484
Počet obydlených domů;2021;Středočeský kraj;6;575
Počet obydlených domů;2021;Středočeský kraj;7;412
Počet obydlených domů;2021;Středočeský kraj;8;1126
Počet obydlených domů;2021;Středočeský kraj;9 a více;698
Počet obydlených domů;2021;Středočeský kraj;Nezjištěno;14156
Počet obydlených domů;2021;Jihočeský kraj;Obydlené domy celkem;133404
Počet obydlených domů;2021;Jihočeský kraj;1;52323
Počet obydlených domů;2021;Jihočeský kraj;2;61422
Počet obydlených domů;2021;Jihočeský kraj;3;6965
Počet obydlených domů;2021;Jihočeský kraj;4;2333
Počet obydlených domů;2021;Jihočeský kraj;5;2155
Počet obydlených domů;2021;Jihočeský kraj;6;348
Počet obydlených domů;2021;Jihočeský kraj;7;538
Počet obydlených domů;2021;Jihočeský kraj;8;128
Počet obydlených domů;2021;Jihočeský kraj;9 a více;937
Počet obydlených domů;2021;Jihočeský kraj;Nezjištěno;6255
Počet obydlených domů;2021;Plzeňský kraj;Obydlené domy celkem;115802
Počet obydlených domů;2021;Plzeňský kraj;1;43303
Počet obydlených domů;2021;Plzeňský kraj;2;55708
Počet obydlených domů;2021;Plzeňský kraj;3;5793
Počet obydlených domů;2021;Plzeňský kraj;4;3268
Počet obydlených domů;2021;Plzeňský kraj;5;1038
Počet obydlených domů;2021;Plzeňský kraj;6;880
Počet obydlených domů;2021;Plzeňský kraj;7;289
Počet obydlených domů;2021;Plzeňský kraj;8;966
Počet obydlených domů;2021;Plzeňský kraj;9 a více;307
Počet obydlených domů;2021;Plzeňský kraj;Nezjištěno;4250
Počet obydlených domů;2021;Karlovarský kraj;Obydlené domy celkem;42406
Počet obydlených domů;2021;Karlovarský kraj;1;8313
Počet obydlených domů;2021;Karlovarský kraj;2;22271
Počet obydlených domů;2021;Karlovarský kraj;3;4866
Počet obydlených domů;2021;Karlovarský kraj;4;2735
Počet obydlených domů;2021;Karlovarský kraj;5;1316
Počet obydlených domů;2021;Karlovarský kraj;6;611
Počet obydlených domů;2021;Karlovarský kraj;7;331
Počet obydlených domů;2021;Karlovarský kraj;8;520
Počet obydlených domů;2021;Karlovarský kraj;9 a více;138
Počet obydlených domů;2021;Karlovarský kraj;Nezjištěno;1305
Počet obydlených domů;2021;Ústecký kraj;Obydlené domy celkem;123776
Počet obydlených domů;2021;Ústecký kraj;1;35058
Počet obydlených domů;2021;Ústecký kraj;2;61448
Počet obydlených domů;2021;Ústecký kraj;3;11112
Počet obydlených domů;2021;Ústecký kraj;4;5461
Počet obydlených domů;2021;Ústecký kraj;5;1755
Počet obydlených domů;2021;Ústecký kraj;6;923
Počet obydlených domů;2021;Ústecký kraj;7;461
Počet obydlených domů;2021;Ústecký kraj;8;3145
Počet obydlených domů;2021;Ústecký kraj;9 a více;506
Počet obydlených domů;2021;Ústecký kraj;Nezjištěno;3907
Počet obydlených domů;2021;Liberecký kraj;Obydlené domy celkem;79493
Počet obydlených domů;2021;Liberecký kraj;1;15898
Počet obydlených domů;2021;Liberecký kraj;2;47815
Počet obydlených domů;2021;Liberecký kraj;3;6774
Počet obydlených domů;2021;Liberecký kraj;4;2416
Počet obydlených domů;2021;Liberecký kraj;5;822
Počet obydlených domů;2021;Liberecký kraj;6;358
Počet obydlených domů;2021;Liberecký kraj;7;234
Počet obydlených domů;2021;Liberecký kraj;8;1155
Počet obydlených domů;2021;Liberecký kraj;9 a více;343
Počet obydlených domů;2021;Liberecký kraj;Nezjištěno;3678
Počet obydlených domů;2021;Královéhradecký kraj;Obydlené domy celkem;116863
Počet obydlených domů;2021;Královéhradecký kraj;1;38365
Počet obydlených domů;2021;Královéhradecký kraj;2;62974
Počet obydlených domů;2021;Královéhradecký kraj;3;6099
Počet obydlených domů;2021;Královéhradecký kraj;4;2611
Počet obydlených domů;2021;Královéhradecký kraj;5;908
Počet obydlených domů;2021;Královéhradecký kraj;6;536
Počet obydlených domů;2021;Královéhradecký kraj;7;253
Počet obydlených domů;2021;Královéhradecký kraj;8;477
Počet obydlených domů;2021;Královéhradecký kraj;9 a více;370
Počet obydlených domů;2021;Královéhradecký kraj;Nezjištěno;4270
Počet obydlených domů;2021;Pardubický kraj;Obydlené domy celkem;113293
Počet obydlených domů;2021;Pardubický kraj;1;43682
Počet obydlených domů;2021;Pardubický kraj;2;57323
Počet obydlených domů;2021;Pardubický kraj;3;4671
Počet obydlených domů;2021;Pardubický kraj;4;2051
Počet obydlených domů;2021;Pardubický kraj;5;748
Počet obydlených domů;2021;Pardubický kraj;6;500
Počet obydlených domů;2021;Pardubický kraj;7;221
Počet obydlených domů;2021;Pardubický kraj;8;498
Počet obydlených domů;2021;Pardubický kraj;9 a více;300
Počet obydlených domů;2021;Pardubický kraj;Nezjištěno;3299
Počet obydlených domů;2021;Kraj Vysočina;Obydlené domy celkem;114230
Počet obydlených domů;2021;Kraj Vysočina;1;44836
Počet obydlených domů;2021;Kraj Vysočina;2;57198
Počet obydlených domů;2021;Kraj Vysočina;3;4555
Počet obydlených domů;2021;Kraj Vysočina;4;1788
Počet obydlených domů;2021;Kraj Vysočina;5;1248
Počet obydlených domů;2021;Kraj Vysočina;6;376
Počet obydlených domů;2021;Kraj Vysočina;7;158
Počet obydlených domů;2021;Kraj Vysočina;8;240
Počet obydlených domů;2021;Kraj Vysočina;9 a více;245
Počet obydlených domů;2021;Kraj Vysočina;Nezjištěno;3586
Počet obydlených domů;2021;Jihomoravský kraj;Obydlené domy celkem;241367
Počet obydlených domů;2021;Jihomoravský kraj;1;104988
Počet obydlených domů;2021;Jihomoravský kraj;2;107240
Počet obydlených domů;2021;Jihomoravský kraj;3;10587
Počet obydlených domů;2021;Jihomoravský kraj;4;5458
Počet obydlených domů;2021;Jihomoravský kraj;5;2973
Počet obydlených domů;2021;Jihomoravský kraj;6;1351
Počet obydlených domů;2021;Jihomoravský kraj;7;874
Počet obydlených domů;2021;Jihomoravský kraj;8;1393
Počet obydlených domů;2021;Jihomoravský kraj;9 a více;1055
Počet obydlených domů;2021;Jihomoravský kraj;Nezjištěno;5448
Počet obydlených domů;2021;Olomoucký kraj;Obydlené domy celkem;126126
Počet obydlených domů;2021;Olomoucký kraj;1;44236
Počet obydlených domů;2021;Olomoucký kraj;2;67145
Počet obydlených domů;2021;Olomoucký kraj;3;5546
Počet obydlených domů;2021;Olomoucký kraj;4;2682
Počet obydlených domů;2021;Olomoucký kraj;5;1467
Počet obydlených domů;2021;Olomoucký kraj;6;392
Počet obydlených domů;2021;Olomoucký kraj;7;190
Počet obydlených domů;2021;Olomoucký kraj;8;1203
Počet obydlených domů;2021;Olomoucký kraj;9 a více;265
Počet obydlených domů;2021;Olomoucký kraj;Nezjištěno;3000
Počet obydlených domů;2021;Zlínský kraj;Obydlené domy celkem;125469
Počet obydlených domů;2021;Zlínský kraj;1;43157
Počet obydlených domů;2021;Zlínský kraj;2;70355
Počet obydlených domů;2021;Zlínský kraj;3;4743
Počet obydlených domů;2021;Zlínský kraj;4;2210
Počet obydlených domů;2021;Zlínský kraj;5;854
Počet obydlených domů;2021;Zlínský kraj;6;313
Počet obydlených domů;2021;Zlínský kraj;7;106
Počet obydlených domů;2021;Zlínský kraj;8;670
Počet obydlených domů;2021;Zlínský kraj;9 a více;221
Počet obydlených domů;2021;Zlínský kraj;Nezjištěno;2840
Počet obydlených domů;2021;Moravskoslezský kraj;Obydlené domy celkem;190881
Počet obydlených domů;2021;Moravskoslezský kraj;1;55527
Počet obydlených domů;2021;Moravskoslezský kraj;2;106981
Počet obydlených domů;2021;Moravskoslezský kraj;3;9658
Počet obydlených domů;2021;Moravskoslezský kraj;4;7081
Počet obydlených domů;2021;Moravskoslezský kraj;5;2365
Počet obydlených domů;2021;Moravskoslezský kraj;6;1690
Počet obydlených domů;2021;Moravskoslezský kraj;7;523
Počet obydlených domů;2021;Moravskoslezský kraj;8;2174
Počet obydlených domů;2021;Moravskoslezský kraj;9 a více;1126
Počet obydlených domů;2021;Moravskoslezský kraj;Nezjištěno;3756
