Ukazatel;Rok sčítání;ČR a kraje;Právní důvod užívání bytu;value
Počet  obydlených bytů;2021;Česká republika;Obydlené byty celkem ;4480139
Počet  obydlených bytů;2021;Česká republika;Byt ve vlastním domě;1595698
Počet  obydlených bytů;2021;Česká republika;Byt v osobním vlastnictví;1121375
Počet  obydlených bytů;2021;Česká republika;Byt družstevní;140821
Počet  obydlených bytů;2021;Česká republika;Jiné bezplatné užívání bytu;260225
Počet  obydlených bytů;2021;Česká republika;Byt nájemní / pronajatý;890802
Počet  obydlených bytů;2021;Česká republika;Jiný důvod užívání bytu;133474
Počet  obydlených bytů;2021;Česká republika;Nezjištěno;337744
Počet  obydlených bytů;2021;Kraj Vysočina;Obydlené byty celkem ;195098
Počet  obydlených bytů;2021;Kraj Vysočina;Byt ve vlastním domě;96800
Počet  obydlených bytů;2021;Kraj Vysočina;Byt v osobním vlastnictví;42204
Počet  obydlených bytů;2021;Kraj Vysočina;Byt družstevní;3845
Počet  obydlených bytů;2021;Kraj Vysočina;Jiné bezplatné užívání bytu;13087
Počet  obydlených bytů;2021;Kraj Vysočina;Byt nájemní / pronajatý;23218
Počet  obydlených bytů;2021;Kraj Vysočina;Jiný důvod užívání bytu;5730
Počet  obydlených bytů;2021;Kraj Vysočina;Nezjištěno;10214
Počet  obydlených bytů;2021;Pardubický kraj;Obydlené byty celkem ;209133
Počet  obydlených bytů;2021;Pardubický kraj;Byt ve vlastním domě;94902
Počet  obydlených bytů;2021;Pardubický kraj;Byt v osobním vlastnictví;47564
Počet  obydlených bytů;2021;Pardubický kraj;Byt družstevní;3255
Počet  obydlených bytů;2021;Pardubický kraj;Jiné bezplatné užívání bytu;13396
Počet  obydlených bytů;2021;Pardubický kraj;Byt nájemní / pronajatý;31191
Počet  obydlených bytů;2021;Pardubický kraj;Jiný důvod užívání bytu;6238
Počet  obydlených bytů;2021;Pardubický kraj;Nezjištěno;12587
Počet  obydlených bytů;2021;Plzeňský kraj;Obydlené byty celkem ;247030
Počet  obydlených bytů;2021;Plzeňský kraj;Byt ve vlastním domě;92920
Počet  obydlených bytů;2021;Plzeňský kraj;Byt v osobním vlastnictví;63803
Počet  obydlených bytů;2021;Plzeňský kraj;Byt družstevní;1562
Počet  obydlených bytů;2021;Plzeňský kraj;Jiné bezplatné užívání bytu;16092
Počet  obydlených bytů;2021;Plzeňský kraj;Byt nájemní / pronajatý;45716
Počet  obydlených bytů;2021;Plzeňský kraj;Jiný důvod užívání bytu;7094
Počet  obydlených bytů;2021;Plzeňský kraj;Nezjištěno;19843
Počet  obydlených bytů;2021;Olomoucký kraj;Obydlené byty celkem ;259885
Počet  obydlených bytů;2021;Olomoucký kraj;Byt ve vlastním domě;105851
Počet  obydlených bytů;2021;Olomoucký kraj;Byt v osobním vlastnictví;66674
Počet  obydlených bytů;2021;Olomoucký kraj;Byt družstevní;4804
Počet  obydlených bytů;2021;Olomoucký kraj;Jiné bezplatné užívání bytu;16178
Počet  obydlených bytů;2021;Olomoucký kraj;Byt nájemní / pronajatý;43167
Počet  obydlených bytů;2021;Olomoucký kraj;Jiný důvod užívání bytu;8045
Počet  obydlených bytů;2021;Olomoucký kraj;Nezjištěno;15166
Počet  obydlených bytů;2021;Jihomoravský kraj;Obydlené byty celkem ;490005
Počet  obydlených bytů;2021;Jihomoravský kraj;Byt ve vlastním domě;200629
Počet  obydlených bytů;2021;Jihomoravský kraj;Byt v osobním vlastnictví;116150
Počet  obydlených bytů;2021;Jihomoravský kraj;Byt družstevní;5535
Počet  obydlených bytů;2021;Jihomoravský kraj;Jiné bezplatné užívání bytu;28543
Počet  obydlených bytů;2021;Jihomoravský kraj;Byt nájemní / pronajatý;93783
Počet  obydlených bytů;2021;Jihomoravský kraj;Jiný důvod užívání bytu;16383
Počet  obydlených bytů;2021;Jihomoravský kraj;Nezjištěno;28982
Počet  obydlených bytů;2021;Moravskoslezský kraj;Obydlené byty celkem ;503041
Počet  obydlených bytů;2021;Moravskoslezský kraj;Byt ve vlastním domě;159279
Počet  obydlených bytů;2021;Moravskoslezský kraj;Byt v osobním vlastnictví;111256
Počet  obydlených bytů;2021;Moravskoslezský kraj;Byt družstevní;34046
Počet  obydlených bytů;2021;Moravskoslezský kraj;Jiné bezplatné užívání bytu;22005
Počet  obydlených bytů;2021;Moravskoslezský kraj;Byt nájemní / pronajatý;123465
Počet  obydlených bytů;2021;Moravskoslezský kraj;Jiný důvod užívání bytu;16558
Počet  obydlených bytů;2021;Moravskoslezský kraj;Nezjištěno;36432
Počet  obydlených bytů;2021;Zlínský kraj;Obydlené byty celkem ;226219
Počet  obydlených bytů;2021;Zlínský kraj;Byt ve vlastním domě;108706
Počet  obydlených bytů;2021;Zlínský kraj;Byt v osobním vlastnictví;56397
Počet  obydlených bytů;2021;Zlínský kraj;Byt družstevní;1349
Počet  obydlených bytů;2021;Zlínský kraj;Jiné bezplatné užívání bytu;14308
Počet  obydlených bytů;2021;Zlínský kraj;Byt nájemní / pronajatý;26798
Počet  obydlených bytů;2021;Zlínský kraj;Jiný důvod užívání bytu;7086
Počet  obydlených bytů;2021;Zlínský kraj;Nezjištěno;11575
Počet  obydlených bytů;2021;Středočeský kraj;Obydlené byty celkem ;561642
Počet  obydlených bytů;2021;Středočeský kraj;Byt ve vlastním domě;276434
Počet  obydlených bytů;2021;Středočeský kraj;Byt v osobním vlastnictví;106306
Počet  obydlených bytů;2021;Středočeský kraj;Byt družstevní;8916
Počet  obydlených bytů;2021;Středočeský kraj;Jiné bezplatné užívání bytu;35220
Počet  obydlených bytů;2021;Středočeský kraj;Byt nájemní / pronajatý;74312
Počet  obydlených bytů;2021;Středočeský kraj;Jiný důvod užívání bytu;16556
Počet  obydlených bytů;2021;Středočeský kraj;Nezjištěno;43898
Počet  obydlených bytů;2021;Hlavní město Praha;Obydlené byty celkem ;627705
Počet  obydlených bytů;2021;Hlavní město Praha;Byt ve vlastním domě;63124
Počet  obydlených bytů;2021;Hlavní město Praha;Byt v osobním vlastnictví;219058
Počet  obydlených bytů;2021;Hlavní město Praha;Byt družstevní;35107
Počet  obydlených bytů;2021;Hlavní město Praha;Jiné bezplatné užívání bytu;36630
Počet  obydlených bytů;2021;Hlavní město Praha;Byt nájemní / pronajatý;200753
Počet  obydlených bytů;2021;Hlavní město Praha;Jiný důvod užívání bytu;16766
Počet  obydlených bytů;2021;Hlavní město Praha;Nezjištěno;56267
Počet  obydlených bytů;2021;Jihočeský kraj;Obydlené byty celkem ;265601
Počet  obydlených bytů;2021;Jihočeský kraj;Byt ve vlastním domě;108336
Počet  obydlených bytů;2021;Jihočeský kraj;Byt v osobním vlastnictví;59399
Počet  obydlených bytů;2021;Jihočeský kraj;Byt družstevní;8267
Počet  obydlených bytů;2021;Jihočeský kraj;Jiné bezplatné užívání bytu;16554
Počet  obydlených bytů;2021;Jihočeský kraj;Byt nájemní / pronajatý;46435
Počet  obydlených bytů;2021;Jihočeský kraj;Jiný důvod užívání bytu;7683
Počet  obydlených bytů;2021;Jihočeský kraj;Nezjištěno;18927
Počet  obydlených bytů;2021;Ústecký kraj;Obydlené byty celkem ;353285
Počet  obydlených bytů;2021;Ústecký kraj;Byt ve vlastním domě;96529
Počet  obydlených bytů;2021;Ústecký kraj;Byt v osobním vlastnictví;90612
Počet  obydlených bytů;2021;Ústecký kraj;Byt družstevní;26124
Počet  obydlených bytů;2021;Ústecký kraj;Jiné bezplatné užívání bytu;15565
Počet  obydlených bytů;2021;Ústecký kraj;Byt nájemní / pronajatý;77275
Počet  obydlených bytů;2021;Ústecký kraj;Jiný důvod užívání bytu;9571
Počet  obydlených bytů;2021;Ústecký kraj;Nezjištěno;37609
Počet  obydlených bytů;2021;Karlovarský kraj;Obydlené byty celkem ;125299
Počet  obydlených bytů;2021;Karlovarský kraj;Byt ve vlastním domě;31200
Počet  obydlených bytů;2021;Karlovarský kraj;Byt v osobním vlastnictví;45028
Počet  obydlených bytů;2021;Karlovarský kraj;Byt družstevní;665
Počet  obydlených bytů;2021;Karlovarský kraj;Jiné bezplatné užívání bytu;6594
Počet  obydlených bytů;2021;Karlovarský kraj;Byt nájemní / pronajatý;25106
Počet  obydlených bytů;2021;Karlovarský kraj;Jiný důvod užívání bytu;3701
Počet  obydlených bytů;2021;Karlovarský kraj;Nezjištěno;13005
Počet  obydlených bytů;2021;Královéhradecký kraj;Obydlené byty celkem ;228569
Počet  obydlených bytů;2021;Královéhradecký kraj;Byt ve vlastním domě;96649
Počet  obydlených bytů;2021;Královéhradecký kraj;Byt v osobním vlastnictví;51152
Počet  obydlených bytů;2021;Královéhradecký kraj;Byt družstevní;3687
Počet  obydlených bytů;2021;Královéhradecký kraj;Jiné bezplatné užívání bytu;15645
Počet  obydlených bytů;2021;Královéhradecký kraj;Byt nájemní / pronajatý;38684
Počet  obydlených bytů;2021;Královéhradecký kraj;Jiný důvod užívání bytu;6659
Počet  obydlených bytů;2021;Královéhradecký kraj;Nezjištěno;16093
Počet  obydlených bytů;2021;Liberecký kraj;Obydlené byty celkem ;187627
Počet  obydlených bytů;2021;Liberecký kraj;Byt ve vlastním domě;64339
Počet  obydlených bytů;2021;Liberecký kraj;Byt v osobním vlastnictví;45772
Počet  obydlených bytů;2021;Liberecký kraj;Byt družstevní;3659
Počet  obydlených bytů;2021;Liberecký kraj;Jiné bezplatné užívání bytu;10408
Počet  obydlených bytů;2021;Liberecký kraj;Byt nájemní / pronajatý;40899
Počet  obydlených bytů;2021;Liberecký kraj;Jiný důvod užívání bytu;5404
Počet  obydlených bytů;2021;Liberecký kraj;Nezjištěno;17146
