Rok sčítání,Území,Ukazatel,value
2021,Česká republika,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,3.9387421066
2021,Hlavní město Praha,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,3.2043581311
2021,Středočeský kraj,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,4.201782463
2021,Jihočeský kraj,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,4.137600279
2021,Plzeňský kraj,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,4.0012950287
2021,Karlovarský kraj,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,3.7991098055
2021,Ústecký kraj,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,3.892678259
2021,Liberecký kraj,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,3.9664948302
2021,Královéhradecký kraj,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,4.0576160969
2021,Pardubický kraj,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,4.1231839022
2021,Kraj Vysočina,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,4.2913739161
2021,Jihomoravský kraj,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,3.9933134328
2021,Olomoucký kraj,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,4.0377179573
2021,Zlínský kraj,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,4.2416647226
2021,Moravskoslezský kraj,Průměrný počet obytných místností (včetně kuchyně) na obydlený byt,3.9511809678
