Rok sčítání;Ukazatel;Území;Vybavenost kuchyní;value
2021;Počet  obydlených bytů;Česká republika;Obydlené byty celkem;4480139
2021;Počet  obydlených bytů;Česká republika;S kuchyní;2941884
2021;Počet  obydlených bytů;Česká republika;S kuchyňským koutem;1188981
2021;Počet  obydlených bytů;Česká republika;Bez kuchyně i kuchyňského koutu;22533
2021;Počet  obydlených bytů;Česká republika;Nezjištěno;326741
2021;Počet  obydlených bytů;Hlavní město Praha;Obydlené byty celkem;627705
2021;Počet  obydlených bytů;Hlavní město Praha;S kuchyní;284612
2021;Počet  obydlených bytů;Hlavní město Praha;S kuchyňským koutem;283728
2021;Počet  obydlených bytů;Hlavní město Praha;Bez kuchyně i kuchyňského koutu;4822
2021;Počet  obydlených bytů;Hlavní město Praha;Nezjištěno;54543
2021;Počet  obydlených bytů;Středočeský kraj;Obydlené byty celkem;561642
2021;Počet  obydlených bytů;Středočeský kraj;S kuchyní;328644
2021;Počet  obydlených bytů;Středočeský kraj;S kuchyňským koutem;187195
2021;Počet  obydlených bytů;Středočeský kraj;Bez kuchyně i kuchyňského koutu;2790
2021;Počet  obydlených bytů;Středočeský kraj;Nezjištěno;43013
2021;Počet  obydlených bytů;Jihočeský kraj;Obydlené byty celkem;265601
2021;Počet  obydlených bytů;Jihočeský kraj;S kuchyní;181714
2021;Počet  obydlených bytů;Jihočeský kraj;S kuchyňským koutem;64078
2021;Počet  obydlených bytů;Jihočeský kraj;Bez kuchyně i kuchyňského koutu;1377
2021;Počet  obydlených bytů;Jihočeský kraj;Nezjištěno;18432
2021;Počet  obydlených bytů;Plzeňský kraj;Obydlené byty celkem;247030
2021;Počet  obydlených bytů;Plzeňský kraj;S kuchyní;171582
2021;Počet  obydlených bytů;Plzeňský kraj;S kuchyňským koutem;54743
2021;Počet  obydlených bytů;Plzeňský kraj;Bez kuchyně i kuchyňského koutu;1244
2021;Počet  obydlených bytů;Plzeňský kraj;Nezjištěno;19461
2021;Počet  obydlených bytů;Karlovarský kraj;Obydlené byty celkem;125299
2021;Počet  obydlených bytů;Karlovarský kraj;S kuchyní;91072
2021;Počet  obydlených bytů;Karlovarský kraj;S kuchyňským koutem;20864
2021;Počet  obydlených bytů;Karlovarský kraj;Bez kuchyně i kuchyňského koutu;700
2021;Počet  obydlených bytů;Karlovarský kraj;Nezjištěno;12663
2021;Počet  obydlených bytů;Ústecký kraj;Obydlené byty celkem;353285
2021;Počet  obydlených bytů;Ústecký kraj;S kuchyní;249911
2021;Počet  obydlených bytů;Ústecký kraj;S kuchyňským koutem;65899
2021;Počet  obydlených bytů;Ústecký kraj;Bez kuchyně i kuchyňského koutu;1635
2021;Počet  obydlených bytů;Ústecký kraj;Nezjištěno;35840
2021;Počet  obydlených bytů;Liberecký kraj;Obydlené byty celkem;187627
2021;Počet  obydlených bytů;Liberecký kraj;S kuchyní;121480
2021;Počet  obydlených bytů;Liberecký kraj;S kuchyňským koutem;48416
2021;Počet  obydlených bytů;Liberecký kraj;Bez kuchyně i kuchyňského koutu;1105
2021;Počet  obydlených bytů;Liberecký kraj;Nezjištěno;16626
2021;Počet  obydlených bytů;Královéhradecký kraj;Obydlené byty celkem;228569
2021;Počet  obydlených bytů;Královéhradecký kraj;S kuchyní;150732
2021;Počet  obydlených bytů;Královéhradecký kraj;S kuchyňským koutem;60765
2021;Počet  obydlených bytů;Královéhradecký kraj;Bez kuchyně i kuchyňského koutu;1244
2021;Počet  obydlených bytů;Královéhradecký kraj;Nezjištěno;15828
2021;Počet  obydlených bytů;Pardubický kraj;Obydlené byty celkem;209133
2021;Počet  obydlených bytů;Pardubický kraj;S kuchyní;141589
2021;Počet  obydlených bytů;Pardubický kraj;S kuchyňským koutem;54192
2021;Počet  obydlených bytů;Pardubický kraj;Bez kuchyně i kuchyňského koutu;987
2021;Počet  obydlených bytů;Pardubický kraj;Nezjištěno;12365
2021;Počet  obydlených bytů;Kraj Vysočina;Obydlené byty celkem;195098
2021;Počet  obydlených bytů;Kraj Vysočina;S kuchyní;141873
2021;Počet  obydlených bytů;Kraj Vysočina;S kuchyňským koutem;42642
2021;Počet  obydlených bytů;Kraj Vysočina;Bez kuchyně i kuchyňského koutu;654
2021;Počet  obydlených bytů;Kraj Vysočina;Nezjištěno;9929
2021;Počet  obydlených bytů;Jihomoravský kraj;Obydlené byty celkem;490005
2021;Počet  obydlených bytů;Jihomoravský kraj;S kuchyní;331894
2021;Počet  obydlených bytů;Jihomoravský kraj;S kuchyňským koutem;127764
2021;Počet  obydlených bytů;Jihomoravský kraj;Bez kuchyně i kuchyňského koutu;2074
2021;Počet  obydlených bytů;Jihomoravský kraj;Nezjištěno;28273
2021;Počet  obydlených bytů;Olomoucký kraj;Obydlené byty celkem;259885
2021;Počet  obydlených bytů;Olomoucký kraj;S kuchyní;191655
2021;Počet  obydlených bytů;Olomoucký kraj;S kuchyňským koutem;52538
2021;Počet  obydlených bytů;Olomoucký kraj;Bez kuchyně i kuchyňského koutu;1022
2021;Počet  obydlených bytů;Olomoucký kraj;Nezjištěno;14670
2021;Počet  obydlených bytů;Zlínský kraj;Obydlené byty celkem;226219
2021;Počet  obydlených bytů;Zlínský kraj;S kuchyní;167884
2021;Počet  obydlených bytů;Zlínský kraj;S kuchyňským koutem;46214
2021;Počet  obydlených bytů;Zlínský kraj;Bez kuchyně i kuchyňského koutu;792
2021;Počet  obydlených bytů;Zlínský kraj;Nezjištěno;11329
2021;Počet  obydlených bytů;Moravskoslezský kraj;Obydlené byty celkem;503041
2021;Počet  obydlených bytů;Moravskoslezský kraj;S kuchyní;387242
2021;Počet  obydlených bytů;Moravskoslezský kraj;S kuchyňským koutem;79943
2021;Počet  obydlených bytů;Moravskoslezský kraj;Bez kuchyně i kuchyňského koutu;2087
2021;Počet  obydlených bytů;Moravskoslezský kraj;Nezjištěno;33769
