Rok sčítání;Ukazatel;Území;Počet osob v bytě;value
2021;Počet  obydlených bytů;Česká republika;Obydlené byty celkem;4480139
2021;Počet  obydlených bytů;Česká republika;1;1597474
2021;Počet  obydlených bytů;Česká republika;2;1338078
2021;Počet  obydlených bytů;Česká republika;3;700544
2021;Počet  obydlených bytů;Česká republika;4;600759
2021;Počet  obydlených bytů;Česká republika;5;169495
2021;Počet  obydlených bytů;Česká republika;6 a více;73789
2021;Počet  obydlených bytů;Hlavní město Praha;Obydlené byty celkem;627705
2021;Počet  obydlených bytů;Hlavní město Praha;1;275733
2021;Počet  obydlených bytů;Hlavní město Praha;2;181840
2021;Počet  obydlených bytů;Hlavní město Praha;3;84671
2021;Počet  obydlených bytů;Hlavní město Praha;4;65696
2021;Počet  obydlených bytů;Hlavní město Praha;5;15104
2021;Počet  obydlených bytů;Hlavní město Praha;6 a více;4661
2021;Počet  obydlených bytů;Středočeský kraj;Obydlené byty celkem;561642
2021;Počet  obydlených bytů;Středočeský kraj;1;176554
2021;Počet  obydlených bytů;Středočeský kraj;2;162268
2021;Počet  obydlených bytů;Středočeský kraj;3;96609
2021;Počet  obydlených bytů;Středočeský kraj;4;90321
2021;Počet  obydlených bytů;Středočeský kraj;5;25629
2021;Počet  obydlených bytů;Středočeský kraj;6 a více;10261
2021;Počet  obydlených bytů;Jihočeský kraj;Obydlené byty celkem;265601
2021;Počet  obydlených bytů;Jihočeský kraj;1;91472
2021;Počet  obydlených bytů;Jihočeský kraj;2;80309
2021;Počet  obydlených bytů;Jihočeský kraj;3;41651
2021;Počet  obydlených bytů;Jihočeský kraj;4;37099
2021;Počet  obydlených bytů;Jihočeský kraj;5;10531
2021;Počet  obydlených bytů;Jihočeský kraj;6 a více;4539
2021;Počet  obydlených bytů;Plzeňský kraj;Obydlené byty celkem;247030
2021;Počet  obydlených bytů;Plzeňský kraj;1;87240
2021;Počet  obydlených bytů;Plzeňský kraj;2;75943
2021;Počet  obydlených bytů;Plzeňský kraj;3;38882
2021;Počet  obydlených bytů;Plzeňský kraj;4;32923
2021;Počet  obydlených bytů;Plzeňský kraj;5;8483
2021;Počet  obydlených bytů;Plzeňský kraj;6 a více;3559
2021;Počet  obydlených bytů;Karlovarský kraj;Obydlené byty celkem;125299
2021;Počet  obydlených bytů;Karlovarský kraj;1;50507
2021;Počet  obydlených bytů;Karlovarský kraj;2;37639
2021;Počet  obydlených bytů;Karlovarský kraj;3;18649
2021;Počet  obydlených bytů;Karlovarský kraj;4;13298
2021;Počet  obydlených bytů;Karlovarský kraj;5;3617
2021;Počet  obydlených bytů;Karlovarský kraj;6 a více;1589
2021;Počet  obydlených bytů;Ústecký kraj;Obydlené byty celkem;353285
2021;Počet  obydlených bytů;Ústecký kraj;1;138733
2021;Počet  obydlených bytů;Ústecký kraj;2;105757
2021;Počet  obydlených bytů;Ústecký kraj;3;54024
2021;Počet  obydlených bytů;Ústecký kraj;4;39573
2021;Počet  obydlených bytů;Ústecký kraj;5;10381
2021;Počet  obydlených bytů;Ústecký kraj;6 a více;4817
2021;Počet  obydlených bytů;Liberecký kraj;Obydlené byty celkem;187627
2021;Počet  obydlených bytů;Liberecký kraj;1;68813
2021;Počet  obydlených bytů;Liberecký kraj;2;55958
2021;Počet  obydlených bytů;Liberecký kraj;3;29223
2021;Počet  obydlených bytů;Liberecký kraj;4;24060
2021;Počet  obydlených bytů;Liberecký kraj;5;6662
2021;Počet  obydlených bytů;Liberecký kraj;6 a více;2911
2021;Počet  obydlených bytů;Královéhradecký kraj;Obydlené byty celkem;228569
2021;Počet  obydlených bytů;Královéhradecký kraj;1;79117
2021;Počet  obydlených bytů;Královéhradecký kraj;2;70208
2021;Počet  obydlených bytů;Královéhradecký kraj;3;35607
2021;Počet  obydlených bytů;Královéhradecký kraj;4;31101
2021;Počet  obydlených bytů;Královéhradecký kraj;5;8855
2021;Počet  obydlených bytů;Královéhradecký kraj;6 a více;3681
2021;Počet  obydlených bytů;Pardubický kraj;Obydlené byty celkem;209133
2021;Počet  obydlených bytů;Pardubický kraj;1;67736
2021;Počet  obydlených bytů;Pardubický kraj;2;63891
2021;Počet  obydlených bytů;Pardubický kraj;3;33396
2021;Počet  obydlených bytů;Pardubický kraj;4;31033
2021;Počet  obydlených bytů;Pardubický kraj;5;9074
2021;Počet  obydlených bytů;Pardubický kraj;6 a více;4003
2021;Počet  obydlených bytů;Kraj Vysočina;Obydlené byty celkem;195098
2021;Počet  obydlených bytů;Kraj Vysočina;1;58652
2021;Počet  obydlených bytů;Kraj Vysočina;2;58967
2021;Počet  obydlených bytů;Kraj Vysočina;3;31517
2021;Počet  obydlených bytů;Kraj Vysočina;4;30310
2021;Počet  obydlených bytů;Kraj Vysočina;5;10296
2021;Počet  obydlených bytů;Kraj Vysočina;6 a více;5356
2021;Počet  obydlených bytů;Jihomoravský kraj;Obydlené byty celkem;490005
2021;Počet  obydlených bytů;Jihomoravský kraj;1;161560
2021;Počet  obydlených bytů;Jihomoravský kraj;2;145060
2021;Počet  obydlených bytů;Jihomoravský kraj;3;80199
2021;Počet  obydlených bytů;Jihomoravský kraj;4;71682
2021;Počet  obydlených bytů;Jihomoravský kraj;5;21415
2021;Počet  obydlených bytů;Jihomoravský kraj;6 a více;10089
2021;Počet  obydlených bytů;Olomoucký kraj;Obydlené byty celkem;259885
2021;Počet  obydlených bytů;Olomoucký kraj;1;87686
2021;Počet  obydlených bytů;Olomoucký kraj;2;80045
2021;Počet  obydlených bytů;Olomoucký kraj;3;41415
2021;Počet  obydlených bytů;Olomoucký kraj;4;36353
2021;Počet  obydlených bytů;Olomoucký kraj;5;10074
2021;Počet  obydlených bytů;Olomoucký kraj;6 a více;4312
2021;Počet  obydlených bytů;Zlínský kraj;Obydlené byty celkem;226219
2021;Počet  obydlených bytů;Zlínský kraj;1;70807
2021;Počet  obydlených bytů;Zlínský kraj;2;67471
2021;Počet  obydlených bytů;Zlínský kraj;3;37095
2021;Počet  obydlených bytů;Zlínský kraj;4;34164
2021;Počet  obydlených bytů;Zlínský kraj;5;11301
2021;Počet  obydlených bytů;Zlínský kraj;6 a více;5381
2021;Počet  obydlených bytů;Moravskoslezský kraj;Obydlené byty celkem;503041
2021;Počet  obydlených bytů;Moravskoslezský kraj;1;182864
2021;Počet  obydlených bytů;Moravskoslezský kraj;2;152722
2021;Počet  obydlených bytů;Moravskoslezský kraj;3;77606
2021;Počet  obydlených bytů;Moravskoslezský kraj;4;63146
2021;Počet  obydlených bytů;Moravskoslezský kraj;5;18073
2021;Počet  obydlených bytů;Moravskoslezský kraj;6 a více;8630
