Ukazatel,Rok sčítání,Území,Vybavenost bytu - plyn,value
Počet  obydlených bytů,2021,Česká republika,Obydlené byty celkem,4480139
Počet  obydlených bytů,2021,Česká republika,Plyn zaveden do bytu,3075471
Počet  obydlených bytů,2021,Česká republika,Z veřejné sítě,3052311
Počet  obydlených bytů,2021,Česká republika,Z domovního (lokálního) zásobníku,23160
Počet  obydlených bytů,2021,Hlavní město Praha,Obydlené byty celkem,627705
Počet  obydlených bytů,2021,Hlavní město Praha,Plyn zaveden do bytu,456862
Počet  obydlených bytů,2021,Hlavní město Praha,Z veřejné sítě,453589
Počet  obydlených bytů,2021,Hlavní město Praha,Z domovního (lokálního) zásobníku,3273
Počet  obydlených bytů,2021,Středočeský kraj,Obydlené byty celkem,561642
Počet  obydlených bytů,2021,Středočeský kraj,Plyn zaveden do bytu,314121
Počet  obydlených bytů,2021,Středočeský kraj,Z veřejné sítě,310473
Počet  obydlených bytů,2021,Středočeský kraj,Z domovního (lokálního) zásobníku,3648
Počet  obydlených bytů,2021,Jihočeský kraj,Obydlené byty celkem,265601
Počet  obydlených bytů,2021,Jihočeský kraj,Plyn zaveden do bytu,121487
Počet  obydlených bytů,2021,Jihočeský kraj,Z veřejné sítě,119805
Počet  obydlených bytů,2021,Jihočeský kraj,Z domovního (lokálního) zásobníku,1682
Počet  obydlených bytů,2021,Plzeňský kraj,Obydlené byty celkem,247030
Počet  obydlených bytů,2021,Plzeňský kraj,Plyn zaveden do bytu,166879
Počet  obydlených bytů,2021,Plzeňský kraj,Z veřejné sítě,165271
Počet  obydlených bytů,2021,Plzeňský kraj,Z domovního (lokálního) zásobníku,1608
Počet  obydlených bytů,2021,Karlovarský kraj,Obydlené byty celkem,125299
Počet  obydlených bytů,2021,Karlovarský kraj,Plyn zaveden do bytu,92519
Počet  obydlených bytů,2021,Karlovarský kraj,Z veřejné sítě,91238
Počet  obydlených bytů,2021,Karlovarský kraj,Z domovního (lokálního) zásobníku,1281
Počet  obydlených bytů,2021,Ústecký kraj,Obydlené byty celkem,353285
Počet  obydlených bytů,2021,Ústecký kraj,Plyn zaveden do bytu,254401
Počet  obydlených bytů,2021,Ústecký kraj,Z veřejné sítě,252291
Počet  obydlených bytů,2021,Ústecký kraj,Z domovního (lokálního) zásobníku,2110
Počet  obydlených bytů,2021,Liberecký kraj,Obydlené byty celkem,187627
Počet  obydlených bytů,2021,Liberecký kraj,Plyn zaveden do bytu,102954
Počet  obydlených bytů,2021,Liberecký kraj,Z veřejné sítě,101758
Počet  obydlených bytů,2021,Liberecký kraj,Z domovního (lokálního) zásobníku,1196
Počet  obydlených bytů,2021,Královéhradecký kraj,Obydlené byty celkem,228569
Počet  obydlených bytů,2021,Královéhradecký kraj,Plyn zaveden do bytu,127964
Počet  obydlených bytů,2021,Královéhradecký kraj,Z veřejné sítě,126825
Počet  obydlených bytů,2021,Královéhradecký kraj,Z domovního (lokálního) zásobníku,1139
Počet  obydlených bytů,2021,Pardubický kraj,Obydlené byty celkem,209133
Počet  obydlených bytů,2021,Pardubický kraj,Plyn zaveden do bytu,143176
Počet  obydlených bytů,2021,Pardubický kraj,Z veřejné sítě,142323
Počet  obydlených bytů,2021,Pardubický kraj,Z domovního (lokálního) zásobníku,853
Počet  obydlených bytů,2021,Kraj Vysočina,Obydlené byty celkem,195098
Počet  obydlených bytů,2021,Kraj Vysočina,Plyn zaveden do bytu,122067
Počet  obydlených bytů,2021,Kraj Vysočina,Z veřejné sítě,121421
Počet  obydlených bytů,2021,Kraj Vysočina,Z domovního (lokálního) zásobníku,646
Počet  obydlených bytů,2021,Jihomoravský kraj,Obydlené byty celkem,490005
Počet  obydlených bytů,2021,Jihomoravský kraj,Plyn zaveden do bytu,398804
Počet  obydlených bytů,2021,Jihomoravský kraj,Z veřejné sítě,397113
Počet  obydlených bytů,2021,Jihomoravský kraj,Z domovního (lokálního) zásobníku,1691
Počet  obydlených bytů,2021,Olomoucký kraj,Obydlené byty celkem,259885
Počet  obydlených bytů,2021,Olomoucký kraj,Plyn zaveden do bytu,195365
Počet  obydlených bytů,2021,Olomoucký kraj,Z veřejné sítě,194322
Počet  obydlených bytů,2021,Olomoucký kraj,Z domovního (lokálního) zásobníku,1043
Počet  obydlených bytů,2021,Zlínský kraj,Obydlené byty celkem,226219
Počet  obydlených bytů,2021,Zlínský kraj,Plyn zaveden do bytu,165152
Počet  obydlených bytů,2021,Zlínský kraj,Z veřejné sítě,164428
Počet  obydlených bytů,2021,Zlínský kraj,Z domovního (lokálního) zásobníku,724
Počet  obydlených bytů,2021,Moravskoslezský kraj,Obydlené byty celkem,503041
Počet  obydlených bytů,2021,Moravskoslezský kraj,Plyn zaveden do bytu,413720
Počet  obydlených bytů,2021,Moravskoslezský kraj,Z veřejné sítě,411454
Počet  obydlených bytů,2021,Moravskoslezský kraj,Z domovního (lokálního) zásobníku,2266
