Rok sčítání,Ukazatel,Území,Energie používaná k vytápění,value
2021,Počet  obydlených bytů,Česká republika,Obydlené byty celkem,4480139
2021,Počet  obydlených bytů,Česká republika,Energie z kotelny mimo dům,1497565
2021,Počet  obydlených bytů,Česká republika,"Uhlí, koks, uhelné brikety",240623
2021,Počet  obydlených bytů,Česká republika,Plyn,1542132
2021,Počet  obydlených bytů,Česká republika,Elektřina,390376
2021,Počet  obydlených bytů,Česká republika,"Dřevo, dřevěné pelety",381536
2021,Počet  obydlených bytů,Hlavní město Praha,Obydlené byty celkem,627705
2021,Počet  obydlených bytů,Hlavní město Praha,Energie z kotelny mimo dům,303513
2021,Počet  obydlených bytů,Hlavní město Praha,"Uhlí, koks, uhelné brikety",916
2021,Počet  obydlených bytů,Hlavní město Praha,Plyn,206715
2021,Počet  obydlených bytů,Hlavní město Praha,Elektřina,51700
2021,Počet  obydlených bytů,Hlavní město Praha,"Dřevo, dřevěné pelety",1832
2021,Počet  obydlených bytů,Středočeský kraj,Obydlené byty celkem,561642
2021,Počet  obydlených bytů,Středočeský kraj,Energie z kotelny mimo dům,112219
2021,Počet  obydlených bytů,Středočeský kraj,"Uhlí, koks, uhelné brikety",52245
2021,Počet  obydlených bytů,Středočeský kraj,Plyn,192484
2021,Počet  obydlených bytů,Středočeský kraj,Elektřina,82888
2021,Počet  obydlených bytů,Středočeský kraj,"Dřevo, dřevěné pelety",49081
2021,Počet  obydlených bytů,Jihočeský kraj,Obydlené byty celkem,265601
2021,Počet  obydlených bytů,Jihočeský kraj,Energie z kotelny mimo dům,84211
2021,Počet  obydlených bytů,Jihočeský kraj,"Uhlí, koks, uhelné brikety",22598
2021,Počet  obydlených bytů,Jihočeský kraj,Plyn,61503
2021,Počet  obydlených bytů,Jihočeský kraj,Elektřina,25652
2021,Počet  obydlených bytů,Jihočeský kraj,"Dřevo, dřevěné pelety",43298
2021,Počet  obydlených bytů,Plzeňský kraj,Obydlené byty celkem,247030
