Ukazatel,Rok sčítání,Území,Hospodařící domácnosti podle typu domácnosti,value
Počet hospodařících domácností,2021,Česká republika,Domácnosti celkem,4813103
Počet hospodařících domácností,2021,Česká republika,Rodinné domácnosti celkem,2844045
Počet hospodařících domácností,2021,Česká republika,Domácnosti tvořené 1 rodinou ,2773930
Počet hospodařících domácností,2021,Česká republika,Domácnosti tvořené 2 a více rodinami,70115
Počet hospodařících domácností,2021,Česká republika,Nerodinné domácnosti celkem,1969058
Počet hospodařících domácností,2021,Česká republika,Domácnosti jednotlivce,1880336
Počet hospodařících domácností,2021,Česká republika,Vícečlenné nerodinné domácnosti,88722
Počet hospodařících domácností,2021,Hlavní město Praha,Domácnosti celkem,658001
Počet hospodařících domácností,2021,Hlavní město Praha,Rodinné domácnosti celkem,328604
Počet hospodařících domácností,2021,Hlavní město Praha,Domácnosti tvořené 1 rodinou ,323764
Počet hospodařících domácností,2021,Hlavní město Praha,Domácnosti tvořené 2 a více rodinami,4840
Počet hospodařících domácností,2021,Hlavní město Praha,Nerodinné domácnosti celkem,329397
Počet hospodařících domácností,2021,Hlavní město Praha,Domácnosti jednotlivce,308279
Počet hospodařících domácností,2021,Hlavní město Praha,Vícečlenné nerodinné domácnosti,21118
Počet hospodařících domácností,2021,Středočeský kraj,Domácnosti celkem,612940
Počet hospodařících domácností,2021,Středočeský kraj,Rodinné domácnosti celkem,387087
Počet hospodařících domácností,2021,Středočeský kraj,Domácnosti tvořené 1 rodinou ,376494
Počet hospodařících domácností,2021,Středočeský kraj,Domácnosti tvořené 2 a více rodinami,10593
Počet hospodařících domácností,2021,Středočeský kraj,Nerodinné domácnosti celkem,225853
Počet hospodařících domácností,2021,Středočeský kraj,Domácnosti jednotlivce,216053
Počet hospodařících domácností,2021,Středočeský kraj,Vícečlenné nerodinné domácnosti,9800
Počet hospodařících domácností,2021,Jihočeský kraj,Domácnosti celkem,284812
Počet hospodařících domácností,2021,Jihočeský kraj,Rodinné domácnosti celkem,173495
Počet hospodařících domácností,2021,Jihočeský kraj,Domácnosti tvořené 1 rodinou ,169007
Počet hospodařících domácností,2021,Jihočeský kraj,Domácnosti tvořené 2 a více rodinami,4488
Počet hospodařících domácností,2021,Jihočeský kraj,Nerodinné domácnosti celkem,111317
Počet hospodařících domácností,2021,Jihočeský kraj,Domácnosti jednotlivce,107171
Počet hospodařících domácností,2021,Jihočeský kraj,Vícečlenné nerodinné domácnosti,4146
