Ukazatel;Rok sčítání;Území;Frekvence vyjížďky;value
Vyjíždějící do zaměstnání;2021;Česká republika;Vyjíždějící celkem;3642644
Vyjíždějící do zaměstnání;2021;Česká republika;5x týdně a častěji;2603661
Vyjíždějící do zaměstnání;2021;Česká republika;1x - 4x týdně;596935
Vyjíždějící do zaměstnání;2021;Česká republika;Pravidelně, ale méně než 1x týdně;23060
Vyjíždějící do zaměstnání;2021;Česká republika;Nepravidelně;168800
Vyjíždějící do zaměstnání;2021;Česká republika;Z jiného místa než z obvyklého bydliště;19665
Vyjíždějící do zaměstnání;2021;Česká republika;Nezjištěno;230523
Vyjíždějící do zaměstnání;2021;Hlavní město Praha;Vyjíždějící celkem;496421
Vyjíždějící do zaměstnání;2021;Hlavní město Praha;5x týdně a častěji;301673
Vyjíždějící do zaměstnání;2021;Hlavní město Praha;1x - 4x týdně;123179
Vyjíždějící do zaměstnání;2021;Hlavní město Praha;Pravidelně, ale méně než 1x týdně;3679
Vyjíždějící do zaměstnání;2021;Hlavní město Praha;Nepravidelně;25065
Vyjíždějící do zaměstnání;2021;Hlavní město Praha;Z jiného místa než z obvyklého bydliště;1795
Vyjíždějící do zaměstnání;2021;Hlavní město Praha;Nezjištěno;41030
Vyjíždějící do zaměstnání;2021;Středočeský kraj;Vyjíždějící celkem;505933
Vyjíždějící do zaměstnání;2021;Středočeský kraj;5x týdně a častěji;347265
Vyjíždějící do zaměstnání;2021;Středočeský kraj;1x - 4x týdně;97201
Vyjíždějící do zaměstnání;2021;Středočeský kraj;Pravidelně, ale méně než 1x týdně;2802
Vyjíždějící do zaměstnání;2021;Středočeský kraj;Nepravidelně;25527
Vyjíždějící do zaměstnání;2021;Středočeský kraj;Z jiného místa než z obvyklého bydliště;1863
Vyjíždějící do zaměstnání;2021;Středočeský kraj;Nezjištěno;31275
Vyjíždějící do zaměstnání;2021;Jihočeský kraj;Vyjíždějící celkem;208298
Vyjíždějící do zaměstnání;2021;Jihočeský kraj;5x týdně a častěji;155710
Vyjíždějící do zaměstnání;2021;Jihočeský kraj;1x - 4x týdně;27469
Vyjíždějící do zaměstnání;2021;Jihočeský kraj;Pravidelně, ale méně než 1x týdně;1460
Vyjíždějící do zaměstnání;2021;Jihočeský kraj;Nepravidelně;9403
Vyjíždějící do zaměstnání;2021;Jihočeský kraj;Z jiného místa než z obvyklého bydliště;1447
Vyjíždějící do zaměstnání;2021;Jihočeský kraj;Nezjištěno;12809
Vyjíždějící do zaměstnání;2021;Plzeňský kraj;Vyjíždějící celkem;208122
Vyjíždějící do zaměstnání;2021;Plzeňský kraj;5x týdně a častěji;156213
Vyjíždějící do zaměstnání;2021;Plzeňský kraj;1x - 4x týdně;27444
Vyjíždějící do zaměstnání;2021;Plzeňský kraj;Pravidelně, ale méně než 1x týdně;1236
Vyjíždějící do zaměstnání;2021;Plzeňský kraj;Nepravidelně;8729
Vyjíždějící do zaměstnání;2021;Plzeňský kraj;Z jiného místa než z obvyklého bydliště;981
Vyjíždějící do zaměstnání;2021;Plzeňský kraj;Nezjištěno;13519
Vyjíždějící do zaměstnání;2021;Karlovarský kraj;Vyjíždějící celkem;86657
Vyjíždějící do zaměstnání;2021;Karlovarský kraj;5x týdně a častěji;63391
Vyjíždějící do zaměstnání;2021;Karlovarský kraj;1x - 4x týdně;11922
Vyjíždějící do zaměstnání;2021;Karlovarský kraj;Pravidelně, ale méně než 1x týdně;772
Vyjíždějící do zaměstnání;2021;Karlovarský kraj;Nepravidelně;4019
Vyjíždějící do zaměstnání;2021;Karlovarský kraj;Z jiného místa než z obvyklého bydliště;769
Vyjíždějící do zaměstnání;2021;Karlovarský kraj;Nezjištěno;5784
Vyjíždějící do zaměstnání;2021;Ústecký kraj;Vyjíždějící celkem;247769
Vyjíždějící do zaměstnání;2021;Ústecký kraj;5x týdně a častěji;171907
Vyjíždějící do zaměstnání;2021;Ústecký kraj;1x - 4x týdně;43980
Vyjíždějící do zaměstnání;2021;Ústecký kraj;Pravidelně, ale méně než 1x týdně;2256
Vyjíždějící do zaměstnání;2021;Ústecký kraj;Nepravidelně;11991
Vyjíždějící do zaměstnání;2021;Ústecký kraj;Z jiného místa než z obvyklého bydliště;1490
Vyjíždějící do zaměstnání;2021;Ústecký kraj;Nezjištěno;16145
Vyjíždějící do zaměstnání;2021;Liberecký kraj;Vyjíždějící celkem;142059
Vyjíždějící do zaměstnání;2021;Liberecký kraj;5x týdně a častěji;104724
Vyjíždějící do zaměstnání;2021;Liberecký kraj;1x - 4x týdně;19808
Vyjíždějící do zaměstnání;2021;Liberecký kraj;Pravidelně, ale méně než 1x týdně;774
Vyjíždějící do zaměstnání;2021;Liberecký kraj;Nepravidelně;6309
