Rok sčítání;Území;Hospodařící domácnosti podle typu domácnosti;Ukazatel;value
2021;Česká republika;Hospodařící domácnosti celkem;Počet hospodařících domácností;4813103
2021;Česká republika;HD tvořené 1 rodinou ;Počet hospodařících domácností;2773930
2021;Česká republika;Manželské páry;Počet hospodařících domácností;1748068
2021;Česká republika;Faktická manželství;Počet hospodařících domácností;509535
2021;Česká republika;Registrovaná partnerství;Počet hospodařících domácností;1964
2021;Česká republika;Faktická partnerství;Počet hospodařících domácností;5773
2021;Česká republika;Neúplné rodiny - osamělý otec;Počet hospodařících domácností;77060
2021;Česká republika;Neúplné rodiny - osamělá matka;Počet hospodařících domácností;431530
2021;Česká republika;HD tvořené 2 a více rodinami;Počet hospodařících domácností;70115
2021;Česká republika;Domácnosti jednotlivců;Počet hospodařících domácností;1880336
2021;Česká republika;Vícečlenné nerodinné domácnosti;Počet hospodařících domácností;88722
