Ukazatel,Rok sčítání,Území,Hospodařící domácnosti podle typu domácnosti,value
Počet hospodařících domácností,2021,Česká republika,Hospodařící domácnosti celkem,4813103
Počet hospodařících domácností,2021,Česká republika,HD tvořené 1 rodinou ,2773930
Počet hospodařících domácností,2021,Česká republika,Manželské páry,1748068
Počet hospodařících domácností,2021,Česká republika,Faktická manželství,509535
Počet hospodařících domácností,2021,Česká republika,Registrovaná partnerství,1964
Počet hospodařících domácností,2021,Česká republika,Faktická partnerství,5773
Počet hospodařících domácností,2021,Česká republika,Neúplné rodiny - osamělý otec,77060
Počet hospodařících domácností,2021,Česká republika,Neúplné rodiny - osamělá matka,431530
Počet hospodařících domácností,2021,Česká republika,HD tvořené 2 a více rodinami,70115
Počet hospodařících domácností,2021,Česká republika,Domácnosti jednotlivců,1880336
Počet hospodařících domácností,2021,Česká republika,Vícečlenné nerodinné domácnosti,88722
Počet hospodařících domácností,2021,Hlavní město Praha,Hospodařící domácnosti celkem,658001
Počet hospodařících domácností,2021,Hlavní město Praha,HD tvořené 1 rodinou ,323764
Počet hospodařících domácností,2021,Hlavní město Praha,Manželské páry,178820
Počet hospodařících domácností,2021,Hlavní město Praha,Faktická manželství,78896
Počet hospodařících domácností,2021,Hlavní město Praha,Registrovaná partnerství,542
Počet hospodařících domácností,2021,Hlavní město Praha,Faktická partnerství,1994
Počet hospodařících domácností,2021,Hlavní město Praha,Neúplné rodiny - osamělý otec,8940
Počet hospodařících domácností,2021,Hlavní město Praha,Neúplné rodiny - osamělá matka,54572
Počet hospodařících domácností,2021,Hlavní město Praha,HD tvořené 2 a více rodinami,4840
Počet hospodařících domácností,2021,Hlavní město Praha,Domácnosti jednotlivců,308279
Počet hospodařících domácností,2021,Hlavní město Praha,Vícečlenné nerodinné domácnosti,21118
Počet hospodařících domácností,2021,Středočeský kraj,Hospodařící domácnosti celkem,612940
Počet hospodařících domácností,2021,Středočeský kraj,HD tvořené 1 rodinou ,376494
Počet hospodařících domácností,2021,Středočeský kraj,Manželské páry,238118
Počet hospodařících domácností,2021,Středočeský kraj,Faktická manželství,71248
Počet hospodařících domácností,2021,Středočeský kraj,Registrovaná partnerství,321
Počet hospodařících domácností,2021,Středočeský kraj,Faktická partnerství,701
Počet hospodařících domácností,2021,Středočeský kraj,Neúplné rodiny - osamělý otec,10919
Počet hospodařících domácností,2021,Středočeský kraj,Neúplné rodiny - osamělá matka,55187
Počet hospodařících domácností,2021,Středočeský kraj,HD tvořené 2 a více rodinami,10593
Počet hospodařících domácností,2021,Středočeský kraj,Domácnosti jednotlivců,216053
Počet hospodařících domácností,2021,Středočeský kraj,Vícečlenné nerodinné domácnosti,9800
Počet hospodařících domácností,2021,Jihočeský kraj,Hospodařící domácnosti celkem,284812
Počet hospodařících domácností,2021,Jihočeský kraj,HD tvořené 1 rodinou ,169007
Počet hospodařících domácností,2021,Jihočeský kraj,Manželské páry,110200
