Ukazatel,Rok sčítání,Území,Rodinný stav,Pohlaví,value
Počet obyvatel (obvyklý pobyt),2011,Česká republika,Obyvatelstvo celkem,Celkem,10436560
Počet obyvatel (obvyklý pobyt),2011,Česká republika,Obyvatelstvo celkem,Ženy,5326794
Počet obyvatel (obvyklý pobyt),2011,Česká republika,Obyvatelstvo celkem,Muži,5109766
Počet obyvatel (obvyklý pobyt),2011,Česká republika,"Svobodní, svobodné",Celkem,4164427
Počet obyvatel (obvyklý pobyt),2011,Česká republika,"Svobodní, svobodné",Ženy,1876830
Počet obyvatel (obvyklý pobyt),2011,Česká republika,"Svobodní, svobodné",Muži,2287597
Počet obyvatel (obvyklý pobyt),2011,Česká republika,"Ženatí, vdané",Celkem,4409474
Počet obyvatel (obvyklý pobyt),2011,Česká republika,"Ženatí, vdané",Ženy,2197895
Počet obyvatel (obvyklý pobyt),2011,Česká republika,"Ženatí, vdané",Muži,2211579
Počet obyvatel (obvyklý pobyt),2011,Česká republika,"Rozvedení, rozvedené",Celkem,1072947
Počet obyvatel (obvyklý pobyt),2011,Česká republika,"Rozvedení, rozvedené",Ženy,606486
Počet obyvatel (obvyklý pobyt),2011,Česká republika,"Rozvedení, rozvedené",Muži,466461
Počet obyvatel (obvyklý pobyt),2011,Česká republika,"Ovdovělí, ovdovělé",Celkem,761146
Počet obyvatel (obvyklý pobyt),2011,Česká republika,"Ovdovělí, ovdovělé",Ženy,634671
Počet obyvatel (obvyklý pobyt),2011,Česká republika,"Ovdovělí, ovdovělé",Muži,126475
