Ukazatel,Rok sčítání,Pohlaví,Území,Rodinný stav,value
Počet obyvatel (obvyklý pobyt),2011,Celkem,Česká republika,Obyvatelstvo celkem,10436560
Počet obyvatel (obvyklý pobyt),2011,Celkem,Česká republika,"Svobodní, svobodné",4164427
Počet obyvatel (obvyklý pobyt),2011,Celkem,Česká republika,"Ženatí, vdané",4409474
Počet obyvatel (obvyklý pobyt),2011,Celkem,Česká republika,"Rozvedení, rozvedené",1072947
Počet obyvatel (obvyklý pobyt),2011,Celkem,Česká republika,"Ovdovělí, ovdovělé",761146
Počet obyvatel (obvyklý pobyt),2011,Celkem,Hlavní město Praha,Obyvatelstvo celkem,1268796
Počet obyvatel (obvyklý pobyt),2011,Celkem,Hlavní město Praha,"Svobodní, svobodné",535604
Počet obyvatel (obvyklý pobyt),2011,Celkem,Hlavní město Praha,"Ženatí, vdané",494760
Počet obyvatel (obvyklý pobyt),2011,Celkem,Hlavní město Praha,"Rozvedení, rozvedené",144226
Počet obyvatel (obvyklý pobyt),2011,Celkem,Hlavní město Praha,"Ovdovělí, ovdovělé",81429
Počet obyvatel (obvyklý pobyt),2011,Celkem,Středočeský kraj,Obyvatelstvo celkem,1289211
Počet obyvatel (obvyklý pobyt),2011,Celkem,Středočeský kraj,"Svobodní, svobodné",507375
Počet obyvatel (obvyklý pobyt),2011,Celkem,Středočeský kraj,"Ženatí, vdané",560242
Počet obyvatel (obvyklý pobyt),2011,Celkem,Středočeský kraj,"Rozvedení, rozvedené",127763
Počet obyvatel (obvyklý pobyt),2011,Celkem,Středočeský kraj,"Ovdovělí, ovdovělé",91216
Počet obyvatel (obvyklý pobyt),2011,Celkem,Jihočeský kraj,Obyvatelstvo celkem,628336
Počet obyvatel (obvyklý pobyt),2011,Celkem,Jihočeský kraj,"Svobodní, svobodné",245650
Počet obyvatel (obvyklý pobyt),2011,Celkem,Jihočeský kraj,"Ženatí, vdané",273128
Počet obyvatel (obvyklý pobyt),2011,Celkem,Jihočeský kraj,"Rozvedení, rozvedené",61802
Počet obyvatel (obvyklý pobyt),2011,Celkem,Jihočeský kraj,"Ovdovělí, ovdovělé",46726
Počet obyvatel (obvyklý pobyt),2011,Celkem,Plzeňský kraj,Obyvatelstvo celkem,570401
Počet obyvatel (obvyklý pobyt),2011,Celkem,Plzeňský kraj,"Svobodní, svobodné",222189
Počet obyvatel (obvyklý pobyt),2011,Celkem,Plzeňský kraj,"Ženatí, vdané",245661
Počet obyvatel (obvyklý pobyt),2011,Celkem,Plzeňský kraj,"Rozvedení, rozvedené",58890
Počet obyvatel (obvyklý pobyt),2011,Celkem,Plzeňský kraj,"Ovdovělí, ovdovělé",42626
Počet obyvatel (obvyklý pobyt),2011,Celkem,Karlovarský kraj,Obyvatelstvo celkem,295595
Počet obyvatel (obvyklý pobyt),2011,Celkem,Karlovarský kraj,"Svobodní, svobodné",121610
Počet obyvatel (obvyklý pobyt),2011,Celkem,Karlovarský kraj,"Ženatí, vdané",113269
Počet obyvatel (obvyklý pobyt),2011,Celkem,Karlovarský kraj,"Rozvedení, rozvedené",39028
Počet obyvatel (obvyklý pobyt),2011,Celkem,Karlovarský kraj,"Ovdovělí, ovdovělé",20676
Počet obyvatel (obvyklý pobyt),2011,Celkem,Ústecký kraj,Obyvatelstvo celkem,808961
Počet obyvatel (obvyklý pobyt),2011,Celkem,Ústecký kraj,"Svobodní, svobodné",331814
Počet obyvatel (obvyklý pobyt),2011,Celkem,Ústecký kraj,"Ženatí, vdané",316501
Počet obyvatel (obvyklý pobyt),2011,Celkem,Ústecký kraj,"Rozvedení, rozvedené",98796
Počet obyvatel (obvyklý pobyt),2011,Celkem,Ústecký kraj,"Ovdovělí, ovdovělé",59632
Počet obyvatel (obvyklý pobyt),2011,Celkem,Liberecký kraj,Obyvatelstvo celkem,432439
Počet obyvatel (obvyklý pobyt),2011,Celkem,Liberecký kraj,"Svobodní, svobodné",174426
Počet obyvatel (obvyklý pobyt),2011,Celkem,Liberecký kraj,"Ženatí, vdané",175934
Počet obyvatel (obvyklý pobyt),2011,Celkem,Liberecký kraj,"Rozvedení, rozvedené",50589
Počet obyvatel (obvyklý pobyt),2011,Celkem,Liberecký kraj,"Ovdovělí, ovdovělé",30652
Počet obyvatel (obvyklý pobyt),2011,Celkem,Královéhradecký kraj,Obyvatelstvo celkem,547916
Počet obyvatel (obvyklý pobyt),2011,Celkem,Královéhradecký kraj,"Svobodní, svobodné",211353
Počet obyvatel (obvyklý pobyt),2011,Celkem,Královéhradecký kraj,"Ženatí, vdané",237663
Počet obyvatel (obvyklý pobyt),2011,Celkem,Královéhradecký kraj,"Rozvedení, rozvedené",56787
Počet obyvatel (obvyklý pobyt),2011,Celkem,Královéhradecký kraj,"Ovdovělí, ovdovělé",41151
Počet obyvatel (obvyklý pobyt),2011,Celkem,Pardubický kraj,Obyvatelstvo celkem,511627
Počet obyvatel (obvyklý pobyt),2011,Celkem,Pardubický kraj,"Svobodní, svobodné",200135
Počet obyvatel (obvyklý pobyt),2011,Celkem,Pardubický kraj,"Ženatí, vdané",225177
Počet obyvatel (obvyklý pobyt),2011,Celkem,Pardubický kraj,"Rozvedení, rozvedené",47434
Počet obyvatel (obvyklý pobyt),2011,Celkem,Pardubický kraj,"Ovdovělí, ovdovělé",37967
Počet obyvatel (obvyklý pobyt),2011,Celkem,Kraj Vysočina,Obyvatelstvo celkem,505565
Počet obyvatel (obvyklý pobyt),2011,Celkem,Kraj Vysočina,"Svobodní, svobodné",197530
Počet obyvatel (obvyklý pobyt),2011,Celkem,Kraj Vysočina,"Ženatí, vdané",229874
Počet obyvatel (obvyklý pobyt),2011,Celkem,Kraj Vysočina,"Rozvedení, rozvedené",39594
Počet obyvatel (obvyklý pobyt),2011,Celkem,Kraj Vysočina,"Ovdovělí, ovdovělé",37890
Počet obyvatel (obvyklý pobyt),2011,Celkem,Jihomoravský kraj,Obyvatelstvo celkem,1163508
Počet obyvatel (obvyklý pobyt),2011,Celkem,Jihomoravský kraj,"Svobodní, svobodné",464592
Počet obyvatel (obvyklý pobyt),2011,Celkem,Jihomoravský kraj,"Ženatí, vdané",503035
Počet obyvatel (obvyklý pobyt),2011,Celkem,Jihomoravský kraj,"Rozvedení, rozvedené",108661
Počet obyvatel (obvyklý pobyt),2011,Celkem,Jihomoravský kraj,"Ovdovělí, ovdovělé",85512
Počet obyvatel (obvyklý pobyt),2011,Celkem,Olomoucký kraj,Obyvatelstvo celkem,628427
Počet obyvatel (obvyklý pobyt),2011,Celkem,Olomoucký kraj,"Svobodní, svobodné",248697
Počet obyvatel (obvyklý pobyt),2011,Celkem,Olomoucký kraj,"Ženatí, vdané",269941
Počet obyvatel (obvyklý pobyt),2011,Celkem,Olomoucký kraj,"Rozvedení, rozvedené",61740
Počet obyvatel (obvyklý pobyt),2011,Celkem,Olomoucký kraj,"Ovdovělí, ovdovělé",47293
Počet obyvatel (obvyklý pobyt),2011,Celkem,Zlínský kraj,Obyvatelstvo celkem,579944
Počet obyvatel (obvyklý pobyt),2011,Celkem,Zlínský kraj,"Svobodní, svobodné",226173
