Ukazatel;Rok sčítání;Pohlaví;Území;Ekonomická aktivita;value
Počet obyvatel (obvyklý pobyt);2011;Celkem;Česká republika;Ekonomicky aktivní celkem;5080573
Počet obyvatel (obvyklý pobyt);2011;Celkem;Česká republika;Zaměstnaní;4580714
Počet obyvatel (obvyklý pobyt);2011;Celkem;Česká republika;Zaměstnaní - pracující důchodci;227956
Počet obyvatel (obvyklý pobyt);2011;Celkem;Česká republika;Zaměstnaní - ženy na mateřské dovolené;95709
Počet obyvatel (obvyklý pobyt);2011;Celkem;Česká republika;Nezaměstnaní;499859
Počet obyvatel (obvyklý pobyt);2011;Celkem;Česká republika;Ekonomicky neaktivní celkem;4784923
Počet obyvatel (obvyklý pobyt);2011;Celkem;Česká republika;Nepracující důchodci;2308294
Počet obyvatel (obvyklý pobyt);2011;Celkem;Česká republika;Žáci, studenti, učni;1446138
Počet obyvatel (obvyklý pobyt);2011;Celkem;Česká republika;Nezjištěno;571064
Počet obyvatel (obvyklý pobyt);2011;Celkem;Hlavní město Praha;Ekonomicky aktivní celkem;644643
Počet obyvatel (obvyklý pobyt);2011;Celkem;Hlavní město Praha;Zaměstnaní;600730
Počet obyvatel (obvyklý pobyt);2011;Celkem;Hlavní město Praha;Zaměstnaní - pracující důchodci;46060
Počet obyvatel (obvyklý pobyt);2011;Celkem;Hlavní město Praha;Zaměstnaní - ženy na mateřské dovolené;12020
Počet obyvatel (obvyklý pobyt);2011;Celkem;Hlavní město Praha;Nezaměstnaní;43913
Počet obyvatel (obvyklý pobyt);2011;Celkem;Hlavní město Praha;Ekonomicky neaktivní celkem;500971
Počet obyvatel (obvyklý pobyt);2011;Celkem;Hlavní město Praha;Nepracující důchodci;231135
Počet obyvatel (obvyklý pobyt);2011;Celkem;Hlavní město Praha;Žáci, studenti, učni;147461
Počet obyvatel (obvyklý pobyt);2011;Celkem;Hlavní město Praha;Nezjištěno;123182
Počet obyvatel (obvyklý pobyt);2011;Celkem;Středočeský kraj;Ekonomicky aktivní celkem;639851
Počet obyvatel (obvyklý pobyt);2011;Celkem;Středočeský kraj;Zaměstnaní;587539
Počet obyvatel (obvyklý pobyt);2011;Celkem;Středočeský kraj;Zaměstnaní - pracující důchodci;29888
Počet obyvatel (obvyklý pobyt);2011;Celkem;Středočeský kraj;Zaměstnaní - ženy na mateřské dovolené;13663
Počet obyvatel (obvyklý pobyt);2011;Celkem;Středočeský kraj;Nezaměstnaní;52312
Počet obyvatel (obvyklý pobyt);2011;Celkem;Středočeský kraj;Ekonomicky neaktivní celkem;582765
Počet obyvatel (obvyklý pobyt);2011;Celkem;Středočeský kraj;Nepracující důchodci;266140
Počet obyvatel (obvyklý pobyt);2011;Celkem;Středočeský kraj;Žáci, studenti, učni;174154
Počet obyvatel (obvyklý pobyt);2011;Celkem;Středočeský kraj;Nezjištěno;66595
