Rok sčítání,Území,Ukazatel,value
2011,Česká republika,Počet domů,2158119
2011,Česká republika,Počet obydlených domů,1800075
2011,Česká republika,Vlastník domu - fyzická osoba,1499512
2011,Česká republika,"Vlastník domu - obec, stát",48948
2011,Česká republika,Vlastník domu - bytové družstvo,31509
2011,Česká republika,Vlastník domu - spoluvlastnictví vlastníků bytů,137687
2011,Česká republika,Období výstavby nebo rekonstrukce - 1919 a dříve,230908
2011,Česká republika,Období výstavby nebo rekonstrukce - 2001 - 2011,219379
2011,Hlavní město Praha,Počet domů,99949
2011,Hlavní město Praha,Počet obydlených domů,92927
2011,Hlavní město Praha,Vlastník domu - fyzická osoba,61920
2011,Hlavní město Praha,"Vlastník domu - obec, stát",5105
2011,Hlavní město Praha,Vlastník domu - bytové družstvo,5372
2011,Hlavní město Praha,Vlastník domu - spoluvlastnictví vlastníků bytů,10899
2011,Hlavní město Praha,Období výstavby nebo rekonstrukce - 1919 a dříve,10025
2011,Hlavní město Praha,Období výstavby nebo rekonstrukce - 2001 - 2011,10720
2011,Středočeský kraj,Počet domů,353037
2011,Středočeský kraj,Počet obydlených domů,286780
2011,Středočeský kraj,Vlastník domu - fyzická osoba,251417
2011,Středočeský kraj,"Vlastník domu - obec, stát",5151
2011,Středočeský kraj,Vlastník domu - bytové družstvo,2691
2011,Středočeský kraj,Vlastník domu - spoluvlastnictví vlastníků bytů,17035
2011,Středočeský kraj,Období výstavby nebo rekonstrukce - 1919 a dříve,38195
2011,Středočeský kraj,Období výstavby nebo rekonstrukce - 2001 - 2011,49087
2011,Jihočeský kraj,Počet domů,163889
2011,Jihočeský kraj,Počet obydlených domů,123048
2011,Jihočeský kraj,Vlastník domu - fyzická osoba,103726
2011,Jihočeský kraj,"Vlastník domu - obec, stát",3661
2011,Jihočeský kraj,Vlastník domu - bytové družstvo,1841
2011,Jihočeský kraj,Vlastník domu - spoluvlastnictví vlastníků bytů,8691
2011,Jihočeský kraj,Období výstavby nebo rekonstrukce - 1919 a dříve,17602
2011,Jihočeský kraj,Období výstavby nebo rekonstrukce - 2001 - 2011,15697
2011,Plzeňský kraj,Počet domů,131052
2011,Plzeňský kraj,Počet obydlených domů,105835
2011,Plzeňský kraj,Vlastník domu - fyzická osoba,87805
2011,Plzeňský kraj,"Vlastník domu - obec, stát",3156
2011,Plzeňský kraj,Vlastník domu - bytové družstvo,970
2011,Plzeňský kraj,Vlastník domu - spoluvlastnictví vlastníků bytů,8687
2011,Plzeňský kraj,Období výstavby nebo rekonstrukce - 1919 a dříve,14476
2011,Plzeňský kraj,Období výstavby nebo rekonstrukce - 2001 - 2011,12603
2011,Karlovarský kraj,Počet domů,44979
2011,Karlovarský kraj,Počet obydlených domů,39845
2011,Karlovarský kraj,Vlastník domu - fyzická osoba,28786
2011,Karlovarský kraj,"Vlastník domu - obec, stát",1863
2011,Karlovarský kraj,Vlastník domu - bytové družstvo,552
2011,Karlovarský kraj,Vlastník domu - spoluvlastnictví vlastníků bytů,5882
2011,Karlovarský kraj,Období výstavby nebo rekonstrukce - 1919 a dříve,7294
2011,Karlovarský kraj,Období výstavby nebo rekonstrukce - 2001 - 2011,4373
2011,Ústecký kraj,Počet domů,135999
2011,Ústecký kraj,Počet obydlených domů,115679
2011,Ústecký kraj,Vlastník domu - fyzická osoba,90701
2011,Ústecký kraj,"Vlastník domu - obec, stát",4598
2011,Ústecký kraj,Vlastník domu - bytové družstvo,3559
2011,Ústecký kraj,Vlastník domu - spoluvlastnictví vlastníků bytů,9539
2011,Ústecký kraj,Období výstavby nebo rekonstrukce - 1919 a dříve,25477
2011,Ústecký kraj,Období výstavby nebo rekonstrukce - 2001 - 2011,11123
2011,Liberecký kraj,Počet domů,92345
2011,Liberecký kraj,Počet obydlených domů,73380
2011,Liberecký kraj,Vlastník domu - fyzická osoba,60580
2011,Liberecký kraj,"Vlastník domu - obec, stát",2624
2011,Liberecký kraj,Vlastník domu - bytové družstvo,1142
2011,Liberecký kraj,Vlastník domu - spoluvlastnictví vlastníků bytů,4598
2011,Liberecký kraj,Období výstavby nebo rekonstrukce - 1919 a dříve,16565
2011,Liberecký kraj,Období výstavby nebo rekonstrukce - 2001 - 2011,7948
2011,Královéhradecký kraj,Počet domů,137051
2011,Královéhradecký kraj,Počet obydlených domů,109736
2011,Královéhradecký kraj,Vlastník domu - fyzická osoba,93471
2011,Královéhradecký kraj,"Vlastník domu - obec, stát",2862
2011,Královéhradecký kraj,Vlastník domu - bytové družstvo,1460
2011,Královéhradecký kraj,Vlastník domu - spoluvlastnictví vlastníků bytů,7527
2011,Královéhradecký kraj,Období výstavby nebo rekonstrukce - 1919 a dříve,16466
2011,Královéhradecký kraj,Období výstavby nebo rekonstrukce - 2001 - 2011,11438
2011,Pardubický kraj,Počet domů,128618
2011,Pardubický kraj,Počet obydlených domů,104850
2011,Pardubický kraj,Vlastník domu - fyzická osoba,89346
2011,Pardubický kraj,"Vlastník domu - obec, stát",2760
2011,Pardubický kraj,Vlastník domu - bytové družstvo,1483
2011,Pardubický kraj,Vlastník domu - spoluvlastnictví vlastníků bytů,7826
2011,Pardubický kraj,Období výstavby nebo rekonstrukce - 1919 a dříve,12520
2011,Pardubický kraj,Období výstavby nebo rekonstrukce - 2001 - 2011,12571
2011,Kraj Vysočina,Počet domů,136766
2011,Kraj Vysočina,Počet obydlených domů,108062
2011,Kraj Vysočina,Vlastník domu - fyzická osoba,93350
2011,Kraj Vysočina,"Vlastník domu - obec, stát",2101
2011,Kraj Vysočina,Vlastník domu - bytové družstvo,1325
2011,Kraj Vysočina,Vlastník domu - spoluvlastnictví vlastníků bytů,7876
2011,Kraj Vysočina,Období výstavby nebo rekonstrukce - 1919 a dříve,11238
2011,Kraj Vysočina,Období výstavby nebo rekonstrukce - 2001 - 2011,11960
2011,Jihomoravský kraj,Počet domů,259567
2011,Jihomoravský kraj,Počet obydlených domů,225006
2011,Jihomoravský kraj,Vlastník domu - fyzická osoba,190417
2011,Jihomoravský kraj,"Vlastník domu - obec, stát",5114
2011,Jihomoravský kraj,Vlastník domu - bytové družstvo,3111
2011,Jihomoravský kraj,Vlastník domu - spoluvlastnictví vlastníků bytů,19092
2011,Jihomoravský kraj,Období výstavby nebo rekonstrukce - 1919 a dříve,21971
2011,Jihomoravský kraj,Období výstavby nebo rekonstrukce - 2001 - 2011,27231
2011,Olomoucký kraj,Počet domů,137345
2011,Olomoucký kraj,Počet obydlených domů,118882
2011,Olomoucký kraj,Vlastník domu - fyzická osoba,101294
2011,Olomoucký kraj,"Vlastník domu - obec, stát",2767
2011,Olomoucký kraj,Vlastník domu - bytové družstvo,1473
2011,Olomoucký kraj,Vlastník domu - spoluvlastnictví vlastníků bytů,9109
2011,Olomoucký kraj,Období výstavby nebo rekonstrukce - 1919 a dříve,16324
2011,Olomoucký kraj,Období výstavby nebo rekonstrukce - 2001 - 2011,13046
2011,Zlínský kraj,Počet domů,141852
2011,Zlínský kraj,Počet obydlených domů,120444
2011,Zlínský kraj,Vlastník domu - fyzická osoba,104050
2011,Zlínský kraj,"Vlastník domu - obec, stát",1605
2011,Zlínský kraj,Vlastník domu - bytové družstvo,1429
2011,Zlínský kraj,Vlastník domu - spoluvlastnictví vlastníků bytů,10283
2011,Zlínský kraj,Období výstavby nebo rekonstrukce - 1919 a dříve,7747
2011,Zlínský kraj,Období výstavby nebo rekonstrukce - 2001 - 2011,12370
2011,Moravskoslezský kraj,Počet domů,195670
2011,Moravskoslezský kraj,Počet obydlených domů,175601
2011,Moravskoslezský kraj,Vlastník domu - fyzická osoba,142649
2011,Moravskoslezský kraj,"Vlastník domu - obec, stát",5581
2011,Moravskoslezský kraj,Vlastník domu - bytové družstvo,5101
2011,Moravskoslezský kraj,Vlastník domu - spoluvlastnictví vlastníků bytů,10643
2011,Moravskoslezský kraj,Období výstavby nebo rekonstrukce - 1919 a dříve,15008
2011,Moravskoslezský kraj,Období výstavby nebo rekonstrukce - 2001 - 2011,19212
