Rok sčítání;Území;Ukazatel;value
2011;Česká republika;Počet  obydlených bytů;4104635
2011;Česká republika;Obydlené byty ve vlastním domě;1470174
2011;Česká republika;Obydlené byty v osobním vlastnictví;824076
2011;Česká republika;Obydlené družstevní byty;385601
2011;Česká republika;Obydlené nájemní/pronajaté byty;920405
2011;Česká republika;Obydlené byty s 1 obytnou místností;201305
2011;Česká republika;Obydlené byty se 2 obytnými místnostmi;524080
2011;Česká republika;Obydlené byty se 3 obytnými místnostmi;1017617
2011;Česká republika;Obydlené byty se 4 obytnými místnostmi;1130229
2011;Česká republika;Obydlené byty s 5 a více obytnými místnostmi;873631
2011;Hlavní město Praha;Počet  obydlených bytů;542168
2011;Hlavní město Praha;Obydlené byty ve vlastním domě;60114
2011;Hlavní město Praha;Obydlené byty v osobním vlastnictví;154866
2011;Hlavní město Praha;Obydlené družstevní byty;69329
2011;Hlavní město Praha;Obydlené nájemní/pronajaté byty;184186
2011;Hlavní město Praha;Obydlené byty s 1 obytnou místností;39562
2011;Hlavní město Praha;Obydlené byty se 2 obytnými místnostmi;107175
2011;Hlavní město Praha;Obydlené byty se 3 obytnými místnostmi;130292
2011;Hlavní město Praha;Obydlené byty se 4 obytnými místnostmi;134535
2011;Hlavní město Praha;Obydlené byty s 5 a více obytnými místnostmi;61204
2011;Středočeský kraj;Počet  obydlených bytů;482860
2011;Středočeský kraj;Obydlené byty ve vlastním domě;240462
2011;Středočeský kraj;Obydlené byty v osobním vlastnictví;80876
2011;Středočeský kraj;Obydlené družstevní byty;26659
2011;Středočeský kraj;Obydlené nájemní/pronajaté byty;71088
2011;Středočeský kraj;Obydlené byty s 1 obytnou místností;18969
2011;Středočeský kraj;Obydlené byty se 2 obytnými místnostmi;52992
2011;Středočeský kraj;Obydlené byty se 3 obytnými místnostmi;111270
2011;Středočeský kraj;Obydlené byty se 4 obytnými místnostmi;123515
2011;Středočeský kraj;Obydlené byty s 5 a více obytnými místnostmi;134041
2011;Jihočeský kraj;Počet  obydlených bytů;247608
2011;Jihočeský kraj;Obydlené byty ve vlastním domě;101109
2011;Jihočeský kraj;Obydlené byty v osobním vlastnictví;47753
2011;Jihočeský kraj;Obydlené družstevní byty;19493
2011;Jihočeský kraj;Obydlené nájemní/pronajaté byty;50628
2011;Jihočeský kraj;Obydlené byty s 1 obytnou místností;10288
2011;Jihočeský kraj;Obydlené byty se 2 obytnými místnostmi;28781
2011;Jihočeský kraj;Obydlené byty se 3 obytnými místnostmi;59576
2011;Jihočeský kraj;Obydlené byty se 4 obytnými místnostmi;72151
2011;Jihočeský kraj;Obydlené byty s 5 a více obytnými místnostmi;58590
2011;Plzeňský kraj;Počet  obydlených bytů;226298
2011;Plzeňský kraj;Obydlené byty ve vlastním domě;85779
2011;Plzeňský kraj;Obydlené byty v osobním vlastnictví;58081
2011;Plzeňský kraj;Obydlené družstevní byty;8319
2011;Plzeňský kraj;Obydlené nájemní/pronajaté byty;46160
2011;Plzeňský kraj;Obydlené byty s 1 obytnou místností;9747
2011;Plzeňský kraj;Obydlené byty se 2 obytnými místnostmi;26359
2011;Plzeňský kraj;Obydlené byty se 3 obytnými místnostmi;58616
2011;Plzeňský kraj;Obydlené byty se 4 obytnými místnostmi;65350
2011;Plzeňský kraj;Obydlené byty s 5 a více obytnými místnostmi;48279
2011;Karlovarský kraj;Počet  obydlených bytů;119403
2011;Karlovarský kraj;Obydlené byty ve vlastním domě;26776
2011;Karlovarský kraj;Obydlené byty v osobním vlastnictví;41850
2011;Karlovarský kraj;Obydlené družstevní byty;5112
2011;Karlovarský kraj;Obydlené nájemní/pronajaté byty;29431
2011;Karlovarský kraj;Obydlené byty s 1 obytnou místností;5858
2011;Karlovarský kraj;Obydlené byty se 2 obytnými místnostmi;16215
2011;Karlovarský kraj;Obydlené byty se 3 obytnými místnostmi;35163
2011;Karlovarský kraj;Obydlené byty se 4 obytnými místnostmi;28258
2011;Karlovarský kraj;Obydlené byty s 5 a více obytnými místnostmi;19304
2011;Ústecký kraj;Počet  obydlených bytů;330981
2011;Ústecký kraj;Obydlené byty ve vlastním domě;85956
