Ukazatel;Území;Věkové skupiny (základní);Rok sčítání;value
Počet obyvatel (obvyklý pobyt);Česká republika;0 - 14 let;1980;2412015
Počet obyvatel (obvyklý pobyt);Česká republika;0 - 14 let;1991;2164436
Počet obyvatel (obvyklý pobyt);Česká republika;0 - 14 let;2001;1654862
Počet obyvatel (obvyklý pobyt);Česká republika;0 - 14 let;2011;1488928
Počet obyvatel (obvyklý pobyt);Česká republika;0 - 14 let;2021;1691760
Počet obyvatel (obvyklý pobyt);Česká republika;15 - 64 let;1980;6492249
Počet obyvatel (obvyklý pobyt);Česká republika;15 - 64 let;1991;6834465
Počet obyvatel (obvyklý pobyt);Česká republika;15 - 64 let;2001;7161144
Počet obyvatel (obvyklý pobyt);Česká republika;15 - 64 let;2011;7267169
Počet obyvatel (obvyklý pobyt);Česká republika;15 - 64 let;2021;6684359
Počet obyvatel (obvyklý pobyt);Česká republika;65 a více let;1980;1387663
Počet obyvatel (obvyklý pobyt);Česká republika;65 a více let;1991;1303314
Počet obyvatel (obvyklý pobyt);Česká republika;65 a více let;2001;1414054
Počet obyvatel (obvyklý pobyt);Česká republika;65 a více let;2011;1644836
Počet obyvatel (obvyklý pobyt);Česká republika;65 a více let;2021;2148048
