Typ indexu,Ukazatel,Očištění,Území,CZ NACE,Měsíce,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",leden 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",únor 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",březen 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",duben 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",květen 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",červen 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",červenec 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",srpen 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",září 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",říjen 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",listopad 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",prosinec 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",leden 2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",únor 2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",březen 2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",duben 2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",květen 2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",červen 2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",červenec 2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",srpen 2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",září 2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",říjen 2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",listopad 2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",prosinec 2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",leden 2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",únor 2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",březen 2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",duben 2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",květen 2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",červen 2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",červenec 2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",srpen 2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",září 2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",říjen 2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",listopad 2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",prosinec 2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",leden 2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",únor 2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",březen 2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",duben 2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",květen 2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",červen 2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",červenec 2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",srpen 2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",září 2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",říjen 2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",listopad 2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",prosinec 2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",leden 2004,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",únor 2004,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",březen 2004,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",duben 2004,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",květen 2004,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",červen 2004,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",červenec 2004,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",srpen 2004,
