Území,CZ NACE,Ukazatel,Roky,value
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2008,477665.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2009,495951.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2010,498990.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2011,504124.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2012,506158.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2013,499668.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2014,505698.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2015,510051.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2016,526199.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2017,538551.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2018,560209.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2019,576792.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2020,589396.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2021,603985.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2022,629465.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet aktivních podniků,2023,648986.0
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Počet zaměstnaných osob celkem ve fyzických osobách,2008,1308887.36035997
