Území;CZ NACE;Ukazatel;Roky;value
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2008;41785.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2009;42094.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2010;41873.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2011;41232.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2012;40064.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2013;38944.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2014;38610.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2015;38159.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2016;39016.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2017;39791.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2018;40878.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2019;41571.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2020;42465.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2021;44258.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2022;46781.0
Česko;49 až 53 Sekce H - Doprava a skladování;Počet aktivních podniků;2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2008;305800.635598436
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2009;292676.287777355
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2010;284020.657067719
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2011;279027.144966278
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2012;267444.327578149
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2013;262886.320949374
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2014;264532.368230279
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2015;271389.068767198
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2016;281679.943124126
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2017;287995.5306358
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2018;293523.828953846
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2019;295257.210391681
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2020;287399.676744336
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2021;290529.910182046
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2022;291431.903993157
Česko;49 až 53 Sekce H - Doprava a skladování;Počet zaměstnaných osob celkem ve fyzických osobách;2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2008;261887.247744984
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2009;248931.815713934
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2010;240300.963767931
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2011;234334.634202949
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2012;225906.262323191
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2013;220100.232925552
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2014;221429.72994709
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2015;227885.216966061
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2016;236524.403421211
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2017;242653.501464842
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2018;248092.473201601
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2019;248873.096851072
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2020;241014.8564987
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2021;239650.1905503
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2022;239117.390853862
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2008;256886.339260101
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2009;245192.078471336
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2010;236695.550681932
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2011;231001.707432465
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2012;222648.157602052
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2013;217010.36438223
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2014;218577.8676607
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2015;225022.642766426
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2016;233347.990006039
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2017;239954.329215743
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2018;245048.814345255
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2019;244874.211219947
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2020;237138.842555433
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2021;235220.810901517
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2022;234458.292469939
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2008;22232.7133570471
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2009;22331.7323602371
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2010;22351.2123261108
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2011;22479.5300892698
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2012;22685.988639801
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2013;22656.9256513642
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2014;23172.1929022944
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2015;23871.1622283912
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2016;24962.6576778876
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2017;26655.8438019253
