Typ indexu,Ukazatel,Očištění,Území,CZ NACE,Čtvrtletí,value
Meziroční index,Index produkce služeb - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",1. čtvrtletí 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2. čtvrtletí 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",3. čtvrtletí 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",4. čtvrtletí 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",1. čtvrtletí 2015,
Meziroční index,Index produkce služeb - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2. čtvrtletí 2015,
Meziroční index,Index produkce služeb - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",3. čtvrtletí 2015,
Meziroční index,Index produkce služeb - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",4. čtvrtletí 2015,
Meziroční index,Index produkce služeb - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",1. čtvrtletí 2016,100.9240529562
Meziroční index,Index produkce služeb - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2. čtvrtletí 2016,99.8510428864
