Stát,Typ ceny,Čtvrtletí,Ukazatel,Typ indexu,value
Česko,Běžné ceny,2. čtvrtletí 2025,Index stavební produkce - Celkem (%),Meziroční index,113.4725845889
Česko,Běžné ceny,2. čtvrtletí 2025,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),136.4083906167
Česko,Běžné ceny,2. čtvrtletí 2025,Index stavební produkce - Pozemní stavby (%),Meziroční index,111.7017318846
Česko,Běžné ceny,2. čtvrtletí 2025,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),132.8598254967
Česko,Běžné ceny,2. čtvrtletí 2025,Index stavební produkce - Inženýrské stavby (%),Meziroční index,116.7368652006
Česko,Běžné ceny,2. čtvrtletí 2025,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),143.1523429067
Česko,Běžné ceny,1. čtvrtletí 2025,Index stavební produkce - Celkem (%),Meziroční index,110.5044326145
Česko,Běžné ceny,1. čtvrtletí 2025,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),89.7546407367
Česko,Běžné ceny,1. čtvrtletí 2025,Index stavební produkce - Pozemní stavby (%),Meziroční index,110.3942524613
Česko,Běžné ceny,1. čtvrtletí 2025,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),98.31049985
Česko,Běžné ceny,1. čtvrtletí 2025,Index stavební produkce - Inženýrské stavby (%),Meziroční index,110.7855236223
Česko,Běžné ceny,1. čtvrtletí 2025,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),73.4944612667
Česko,Běžné ceny,4. čtvrtletí 2024,Index stavební produkce - Celkem (%),Meziroční index,105.3790610769
Česko,Běžné ceny,4. čtvrtletí 2024,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),144.0836193367
Česko,Běžné ceny,4. čtvrtletí 2024,Index stavební produkce - Pozemní stavby (%),Meziroční index,104.6469560418
Česko,Běžné ceny,4. čtvrtletí 2024,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),135.8743338733
Česko,Běžné ceny,4. čtvrtletí 2024,Index stavební produkce - Inženýrské stavby (%),Meziroční index,106.5848657368
Česko,Běžné ceny,4. čtvrtletí 2024,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),159.68514494
Česko,Běžné ceny,3. čtvrtletí 2024,Index stavební produkce - Celkem (%),Meziroční index,102.2195498234
Česko,Běžné ceny,3. čtvrtletí 2024,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),134.46436286
Česko,Běžné ceny,3. čtvrtletí 2024,Index stavební produkce - Pozemní stavby (%),Meziroční index,100.7806018588
Česko,Běžné ceny,3. čtvrtletí 2024,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),128.1620169567
Česko,Běžné ceny,3. čtvrtletí 2024,Index stavební produkce - Inženýrské stavby (%),Meziroční index,104.7060934348
Česko,Běžné ceny,3. čtvrtletí 2024,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),146.4418012667
Česko,Běžné ceny,2. čtvrtletí 2024,Index stavební produkce - Celkem (%),Meziroční index,97.4419228335
Česko,Běžné ceny,2. čtvrtletí 2024,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),120.2126408867
Česko,Běžné ceny,2. čtvrtletí 2024,Index stavební produkce - Pozemní stavby (%),Meziroční index,97.0098412084
Česko,Běžné ceny,2. čtvrtletí 2024,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),118.9415985367
Česko,Běžné ceny,2. čtvrtletí 2024,Index stavební produkce - Inženýrské stavby (%),Meziroční index,98.2485656551
Česko,Běžné ceny,2. čtvrtletí 2024,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),122.6282225933
Česko,Běžné ceny,1. čtvrtletí 2024,Index stavební produkce - Celkem (%),Meziroční index,96.0042194252
Česko,Běžné ceny,1. čtvrtletí 2024,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),81.22266104
Česko,Běžné ceny,1. čtvrtletí 2024,Index stavební produkce - Pozemní stavby (%),Meziroční index,92.7207754432
Česko,Běžné ceny,1. čtvrtletí 2024,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),89.05400205
Česko,Běžné ceny,1. čtvrtletí 2024,Index stavební produkce - Inženýrské stavby (%),Meziroční index,105.5389609889
Česko,Běžné ceny,1. čtvrtletí 2024,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),66.3394086733
Česko,Běžné ceny,4. čtvrtletí 2023,Index stavební produkce - Celkem (%),Meziroční index,100.1667605087
Česko,Běžné ceny,4. čtvrtletí 2023,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),136.7288888933
Česko,Běžné ceny,4. čtvrtletí 2023,Index stavební produkce - Pozemní stavby (%),Meziroční index,98.9097275213
