Stát,Ukazatel,Typ ceny,Čtvrtletí,Typ indexu,Očištění,value
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2025,Meziroční index,Bez očištění,110.2575597462
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2025,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",110.9016697779
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2025,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",110.4344633289
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2025,Bazický index (2021 = 100),Bez očištění,110.1435303967
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2025,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",111.2007479667
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2025,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",107.9734428467
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2025,Meziroční index,Bez očištění,107.31893218
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2025,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",107.1894268259
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2025,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",106.4969470855
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2025,Bazický index (2021 = 100),Bez očištění,72.7745924767
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2025,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",73.10041663
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2025,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",106.6394260567
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2024,Meziroční index,Bez očištění,103.1325710439
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",103.1934650725
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.4117309621
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2024,Bazický index (2021 = 100),Bez očištění,118.2160229033
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",118.54786609
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",102.38059099
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2024,Meziroční index,Bez očištění,100.2674755615
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",98.4931091846
