Stát,Ukazatel,Typ ceny,Roky,Typ indexu,Očištění,value
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2024,Meziroční index,Bez očištění,98.8498929275
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",98.578503576
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",98.5753342171
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2024,Bazický index (2021 = 100),Bez očištění,99.2334697233
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",99.3354308625
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.8178014583
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2023,Meziroční index,Bez očištění,97.2639909989
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",97.5830769517
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",97.3931140029
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2023,Bazický index (2021 = 100),Bez očištění,100.3880396675
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",100.767842135
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.2604240717
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2022,Meziroční index,Bez očištění,103.2119272875
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",103.2636449717
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.9708249483
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2022,Bazický index (2021 = 100),Bez očištění,103.2119272883
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",103.2636449708
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.9708249483
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2021,Meziroční index,Bez očištění,102.650652553
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",102.3346830729
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.6671463379
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2021,Bazický index (2021 = 100),Bez očištění,100.0000000008
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",99.9999999992
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.0
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2020,Meziroční index,Bez očištění,92.8616973494
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",92.9563354325
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",94.2571696115
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2020,Bazický index (2021 = 100),Bez očištění,97.4177927892
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",97.7185808333
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",98.3601916667
