Území;Ukazatel;CZ-NACE;Měsíce;Očištění;Typ indexu;value
Česko;Index stavební produkce (%);Celkem;březen 2025;Bez očištění;Meziroční index;114.3444685181
Česko;Index stavební produkce (%);Celkem;březen 2025;Bez očištění;Bazický index (2021 = 100);91.990809
Česko;Index stavební produkce (%);Celkem;březen 2025;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;112.1019903047
Česko;Index stavební produkce (%);Celkem;březen 2025;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);93.33613725
Česko;Index stavební produkce (%);Celkem;březen 2025;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;111.3732108148
Česko;Index stavební produkce (%);Celkem;březen 2025;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);108.0740722
Česko;Index stavební produkce (%);Celkem;únor 2025;Bez očištění;Meziroční index;98.9543708083
Česko;Index stavební produkce (%);Celkem;únor 2025;Bez očištění;Bazický index (2021 = 100);67.0519586
Česko;Index stavební produkce (%);Celkem;únor 2025;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;100.8806268388
Česko;Index stavební produkce (%);Celkem;únor 2025;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);67.22389358
Česko;Index stavební produkce (%);Celkem;únor 2025;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;100.7504551587
Česko;Index stavební produkce (%);Celkem;únor 2025;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);104.40073287
Česko;Index stavební produkce (%);Celkem;leden 2025;Bez očištění;Meziroční index;108.234606019
Česko;Index stavební produkce (%);Celkem;leden 2025;Bez očištění;Bazický index (2021 = 100);59.77089553
Česko;Index stavební produkce (%);Celkem;leden 2025;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;108.2347373466
Česko;Index stavební produkce (%);Celkem;leden 2025;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);59.25450518
Česko;Index stavební produkce (%);Celkem;leden 2025;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;107.257127525
Česko;Index stavební produkce (%);Celkem;leden 2025;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);105.0577664
Česko;Index stavební produkce (%);Celkem;prosinec 2024;Bez očištění;Meziroční index;110.8536580462
Česko;Index stavební produkce (%);Celkem;prosinec 2024;Bez očištění;Bazický index (2021 = 100);108.76886793
Česko;Index stavební produkce (%);Celkem;prosinec 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;110.845993768
Česko;Index stavební produkce (%);Celkem;prosinec 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);111.18544548
Česko;Index stavební produkce (%);Celkem;prosinec 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;109.3361351317
Česko;Index stavební produkce (%);Celkem;prosinec 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);106.34274197
Česko;Index stavební produkce (%);Celkem;listopad 2024;Bez očištění;Meziroční index;102.4491429989
Česko;Index stavební produkce (%);Celkem;listopad 2024;Bez očištění;Bazický index (2021 = 100);125.17352932
Česko;Index stavební produkce (%);Celkem;listopad 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;102.4508535033
Česko;Index stavební produkce (%);Celkem;listopad 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);124.80443513
Česko;Index stavební produkce (%);Celkem;listopad 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;102.8158913192
Česko;Index stavební produkce (%);Celkem;listopad 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);100.77741753
Česko;Index stavební produkce (%);Celkem;říjen 2024;Bez očištění;Meziroční index;97.6777179834
Česko;Index stavební produkce (%);Celkem;říjen 2024;Bez očištění;Bazický index (2021 = 100);120.70567146
Česko;Index stavební produkce (%);Celkem;říjen 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;97.6763568129
Česko;Index stavební produkce (%);Celkem;říjen 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);119.69006609
Česko;Index stavební produkce (%);Celkem;říjen 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;98.1349788713
Česko;Index stavební produkce (%);Celkem;říjen 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);99.91379551
Česko;Index stavební produkce (%);Celkem;září 2024;Bez očištění;Meziroční index;95.3824520907
Česko;Index stavební produkce (%);Celkem;září 2024;Bez očištění;Bazický index (2021 = 100);109.23791161
Česko;Index stavební produkce (%);Celkem;září 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;93.5335867283
Česko;Index stavební produkce (%);Celkem;září 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);108.90902847
Česko;Index stavební produkce (%);Celkem;září 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;94.4019681352
Česko;Index stavební produkce (%);Celkem;září 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);96.20708024
Česko;Index stavební produkce (%);Celkem;srpen 2024;Bez očištění;Meziroční index;98.3651868214
Česko;Index stavební produkce (%);Celkem;srpen 2024;Bez očištění;Bazický index (2021 = 100);112.18801604
Česko;Index stavební produkce (%);Celkem;srpen 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;100.302372821
Česko;Index stavební produkce (%);Celkem;srpen 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);112.7890041
Česko;Index stavební produkce (%);Celkem;srpen 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;100.2950458293
Česko;Index stavební produkce (%);Celkem;srpen 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);100.49409231
Česko;Index stavební produkce (%);Celkem;červenec 2024;Bez očištění;Meziroční index;107.764658649
Česko;Index stavební produkce (%);Celkem;červenec 2024;Bez očištění;Bazický index (2021 = 100);111.60336167
Česko;Index stavební produkce (%);Celkem;červenec 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;101.7099135426
Česko;Index stavební produkce (%);Celkem;červenec 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);109.17830987
Česko;Index stavební produkce (%);Celkem;červenec 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;101.5232792806
Česko;Index stavební produkce (%);Celkem;červenec 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);102.12376365
Česko;Index stavební produkce (%);Celkem;červen 2024;Bez očištění;Meziroční index;89.082484999
Česko;Index stavební produkce (%);Celkem;červen 2024;Bez očištění;Bazický index (2021 = 100);103.95008652
Česko;Index stavební produkce (%);Celkem;červen 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;92.5986788567
Česko;Index stavební produkce (%);Celkem;červen 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);107.14689022
Česko;Index stavební produkce (%);Celkem;červen 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;92.8982097205
Česko;Index stavební produkce (%);Celkem;červen 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);96.80118479
Česko;Index stavební produkce (%);Celkem;květen 2024;Bez očištění;Meziroční index;93.6797236037
Česko;Index stavební produkce (%);Celkem;květen 2024;Bez očištění;Bazický index (2021 = 100);98.95236837
Česko;Index stavební produkce (%);Celkem;květen 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;93.6829605393
Česko;Index stavební produkce (%);Celkem;květen 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);98.65428481
Česko;Index stavební produkce (%);Celkem;květen 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;94.7445814738
Česko;Index stavební produkce (%);Celkem;květen 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);96.56739315
Česko;Index stavební produkce (%);Celkem;duben 2024;Bez očištění;Meziroční index;106.8158967896
Česko;Index stavební produkce (%);Celkem;duben 2024;Bez očištění;Bazický index (2021 = 100);96.78728244
Česko;Index stavební produkce (%);Celkem;duben 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;100.7361880503
Česko;Index stavební produkce (%);Celkem;duben 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);95.0596582
Česko;Index stavební produkce (%);Celkem;duben 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;101.2754343943
Česko;Index stavební produkce (%);Celkem;duben 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);100.74261846
Česko;Index stavební produkce (%);Celkem;březen 2024;Bez očištění;Meziroční index;88.0376414666
Česko;Index stavební produkce (%);Celkem;březen 2024;Bez očištění;Bazický index (2021 = 100);80.45059826
Česko;Index stavební produkce (%);Celkem;březen 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;93.3706420725
Česko;Index stavební produkce (%);Celkem;březen 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);83.26001795
Česko;Index stavební produkce (%);Celkem;březen 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;93.7074378337
Česko;Index stavební produkce (%);Celkem;březen 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);97.03776286
Česko;Index stavební produkce (%);Celkem;únor 2024;Bez očištění;Meziroční index;103.8171356163
Česko;Index stavební produkce (%);Celkem;únor 2024;Bez očištění;Bazický index (2021 = 100);67.76048198
Česko;Index stavební produkce (%);Celkem;únor 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;101.8348086922
Česko;Index stavební produkce (%);Celkem;únor 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);66.63706966
Česko;Index stavební produkce (%);Celkem;únor 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;102.1416321599
Česko;Index stavební produkce (%);Celkem;únor 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);103.62308806
Česko;Index stavební produkce (%);Celkem;leden 2024;Bez očištění;Meziroční index;93.5053169404
Česko;Index stavební produkce (%);Celkem;leden 2024;Bez očištění;Bazický index (2021 = 100);55.22346108
Česko;Index stavební produkce (%);Celkem;leden 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;93.5163642361
Česko;Index stavební produkce (%);Celkem;leden 2024;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);54.74629184
Česko;Index stavební produkce (%);Celkem;leden 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;93.2013224703
Česko;Index stavební produkce (%);Celkem;leden 2024;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);97.94944991
Česko;Index stavební produkce (%);Celkem;prosinec 2023;Bez očištění;Meziroční index;93.1708902009
Česko;Index stavební produkce (%);Celkem;prosinec 2023;Bez očištění;Bazický index (2021 = 100);98.11933124
Česko;Index stavební produkce (%);Celkem;prosinec 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;96.8429301362
Česko;Index stavební produkce (%);Celkem;prosinec 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);100.30623724
Česko;Index stavební produkce (%);Celkem;prosinec 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;95.9750178258
Česko;Index stavební produkce (%);Celkem;prosinec 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);97.26221056
Česko;Index stavební produkce (%);Celkem;listopad 2023;Bez očištění;Meziroční index;94.9052969323
Česko;Index stavební produkce (%);Celkem;listopad 2023;Bez očištění;Bazický index (2021 = 100);122.18113852
Česko;Index stavební produkce (%);Celkem;listopad 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;94.9139295396
Česko;Index stavební produkce (%);Celkem;listopad 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);121.81883397
Česko;Index stavební produkce (%);Celkem;listopad 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;95.341867135
Česko;Index stavební produkce (%);Celkem;listopad 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);98.01735533
Česko;Index stavební produkce (%);Celkem;říjen 2023;Bez očištění;Meziroční index;103.5155332463
Česko;Index stavební produkce (%);Celkem;říjen 2023;Bez očištění;Bazický index (2021 = 100);123.57544172
Česko;Index stavební produkce (%);Celkem;říjen 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;99.5507165408
