Území,Ukazatel,CZ-NACE,Čtvrtletí,Očištění,Typ indexu,value
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2025,Bez očištění,Meziroční index,113.2093469356
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2025,Bez očištění,Bazický index (2021 = 100),105.3590463567
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2025,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,113.9575163272
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2025,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),106.34122761
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2025,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,113.4563062359
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2025,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),103.78467942
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2025,Bez očištění,Meziroční index,113.7961339428
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2025,Bez očištění,Bazický index (2021 = 100),81.4161893333
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2025,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,113.7514205563
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2025,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),81.74775105
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2025,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,112.6077624328
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2025,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),103.05082906
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2024,Bez očištění,Meziroční index,106.5283673001
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2024,Bez očištění,Bazický index (2021 = 100),105.2343571733
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2024,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,106.5738550218
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2024,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),105.56808661
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2024,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,106.852082559
