Stát,Kumulace měsíců,Ukazatel,value
Česko,srpen 2025,Počet stavebních povolení v ČR,40207.0
Česko,srpen 2025,Počet vydaných stavebních povolení - budovy,24854.0
Česko,srpen 2025,Počet vydaných stavebních povolení - budovy bytové,14799.0
Česko,srpen 2025,Počet vydaných stavebních povolení - budovy nebytové,10055.0
Česko,srpen 2025,Počet vydaných stavebních povolení - inženýrské stavby,15353.0
Česko,srpen 2025,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",335853.0
Česko,srpen 2025,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",221019.0
Česko,srpen 2025,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",109251.0
Česko,srpen 2025,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",111768.0
Česko,srpen 2025,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",114834.0
Česko,červenec 2025,Počet stavebních povolení v ČR,34603.0
Česko,červenec 2025,Počet vydaných stavebních povolení - budovy,21298.0
Česko,červenec 2025,Počet vydaných stavebních povolení - budovy bytové,12705.0
Česko,červenec 2025,Počet vydaných stavebních povolení - budovy nebytové,8593.0
Česko,červenec 2025,Počet vydaných stavebních povolení - inženýrské stavby,13305.0
Česko,červenec 2025,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",279131.0
Česko,červenec 2025,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",188140.0
Česko,červenec 2025,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",91961.0
Česko,červenec 2025,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",96179.0
Česko,červenec 2025,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",90991.0
Česko,červen 2025,Počet stavebních povolení v ČR,29200.0
Česko,červen 2025,Počet vydaných stavebních povolení - budovy,17787.0
Česko,červen 2025,Počet vydaných stavebních povolení - budovy bytové,10578.0
Česko,červen 2025,Počet vydaných stavebních povolení - budovy nebytové,7209.0
Česko,červen 2025,Počet vydaných stavebních povolení - inženýrské stavby,11413.0
Česko,červen 2025,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",224936.0
Česko,červen 2025,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",160951.0
Česko,červen 2025,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",78706.0
Česko,červen 2025,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",82245.0
Česko,červen 2025,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",63985.0
Česko,květen 2025,Počet stavebních povolení v ČR,23751.0
Česko,květen 2025,Počet vydaných stavebních povolení - budovy,14400.0
Česko,květen 2025,Počet vydaných stavebních povolení - budovy bytové,8533.0
Česko,květen 2025,Počet vydaných stavebních povolení - budovy nebytové,5867.0
Česko,květen 2025,Počet vydaných stavebních povolení - inženýrské stavby,9351.0
Česko,květen 2025,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",187901.0
Česko,květen 2025,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",135323.0
Česko,květen 2025,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",65071.0
Česko,květen 2025,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",70252.0
Česko,květen 2025,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",52578.0
Česko,duben 2025,Počet stavebních povolení v ČR,18568.0
Česko,duben 2025,Počet vydaných stavebních povolení - budovy,11242.0
Česko,duben 2025,Počet vydaných stavebních povolení - budovy bytové,6621.0
Česko,duben 2025,Počet vydaných stavebních povolení - budovy nebytové,4621.0
Česko,duben 2025,Počet vydaných stavebních povolení - inženýrské stavby,7326.0
Česko,duben 2025,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",155775.0
Česko,duben 2025,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",112147.0
Česko,duben 2025,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",52330.0
Česko,duben 2025,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",59817.0
